,,Ayrshire,Scotland
Gass Water,,Ayrshire,Scotland
Gatehead,KA2,Ayrshire,Scotland
Gateside,KA15,Ayrshire,Scotland
Girdle Toll,KA11,Ayrshire,Scotland
Glenbuck,KA18,Ayrshire,Scotland
Glengarnock,KA14,Ayrshire,Scotland
Glenmuir Water,,Ayrshire,Scotland
Goatfell,,Ayrshire,Scotland
Gortonallister,,Ayrshire,Scotland
Grange,KA1,Ayrshire,Scotland
Great Cumbrae Isle,,Ayrshire,Scotland
Greenholm,KA16,Ayrshire,Scotland
Halket,,Ayrshire,Scotland
Hansel Village,,Ayrshire,Scotland
Haugh,,Ayrshire,Scotland
Hayhill,,Ayrshire,Scotland
Heads of Ayr,,Ayrshire,Scotland
Heathfield,KA8,Ayrshire,Scotland
Heronsford,,Ayrshire,Scotland
Highfield,KA24,Ayrshire,Scotland
Hillhead,KA3,Ayrshire,Scotland
Hollybush,KA6,Ayrshire,Scotland
Holmhead,DG7,Ayrshire,Scotland
Holmston,KA7,Ayrshire,Scotland
Holy Island,KA27,Ayrshire,Scotland
Hurlford,KA1,Ayrshire,Scotland
Imachar,KA27,Ayrshire,Scotland
Iorsa Water,,Ayrshire,Scotland
Irvine,KA11,Ayrshire,Scotland
Isle of Arran,KA27,Ayrshire,Scotland
Joppa,KA6,Ayrshire,Scotland
Kames,KA18,Ayrshire,Scotland
Kilbirnie,KA25,Ayrshire,Scotland
Kildonan,KA27,Ayrshire,Scotland
Kilgrammie,,Ayrshire,Scotland
Kilmarnock,KA1,Ayrshire,Scotland
Kilmaurs,KA3,Ayrshire,Scotland
Kilmory,,Ayrshire,Scotland
Kilmory Water,,Ayrshire,Scotland
Kilpatrick,KA27,Ayrshire,Scotland
Kilwinning,KA13,Ayrshire,Scotland
Kincaidston,KA7,Ayrshire,Scotland
Kingscross,KA27,Ayrshire,Scotland
Kingscross Point,,Ayrshire,Scotland
Kingsford,KA3,Ayrshire,Scotland
Kirkmichael,KA19,Ayrshire,Scotland
Kirkoswald,KA19,Ayrshire,Scotland
Kirktoun,KA3,Ayrshire,Scotland
Knockenkelly,KA27,Ayrshire,Scotland
Knockentiber,KA2,Ayrshire,Scotland
Knockinlaw,KA3,Ayrshire,Scotland
Lagg,KA27,Ayrshire,Scotland
Laigh Fenwick,,Ayrshire,Scotland
Laigh Glengall,,Ayrshire,Scotland
Lamlash,KA27,Ayrshire,Scotland
Largs,KA29,Ayrshire,Scotland
Largybeg,KA27,Ayrshire,Scotland
Largymeanoch,,Ayrshire,Scotland
Largymore,KA27,Ayrshire,Scotland
Lendalfoot,KA26,Ayrshire,Scotland
Levencorroch,KA27,Ayrshire,Scotland
Little Cumbrae Isle,,Ayrshire,Scotland
Littlemill,KA6,Ayrshire,Scotland
Loans,KA10,Ayrshire,Scotland
Loch Bradan Reservoir,,Ayrshire,Scotland
Lochranza,KA27,Ayrshire,Scotland
Lochside,KA8,Ayrshire,Scotland
Logan,KA18,Ayrshire,Scotland
Longbar,KA14,Ayrshire,Scotland
Longpark,KA3,Ayrshire,Scotland
Low Coylton,,Ayrshire,Scotland
Lugar,KA18,Ayrshire,Scotland
Lugar Water,,Ayrshire,Scotland
Lugton,KA3,Ayrshire,Scotland
Lugton Water,,Ayrshire,Scotland
Machrie,KA27,Ayrshire,Scotland
Machrie Water,,Ayrshire,Scotland
Maidens,KA26,Ayrshire,Scotland
Mainholm,,Ayrshire,Scotland
Mansfield,,Ayrshire,Scotland
Margnaheglish,KA27,Ayrshire,Scotland
Masonhill,KA7,Ayrshire,Scotland
Mauchline,KA5,Ayrshire,Scotland
Maybole,KA19,Ayrshire,Scotland
Meadowfoot,,Ayrshire,Scotland
Meigle,,Ayrshire,Scotland
Merkland,DG7,Ayrshire,Scotland
Millport,KA28,Ayrshire,Scotland
Minishant,KA7,Ayrshire,Scotland
Moneyacres,,Ayrshire,Scotland
Monkton,KA9,Ayrshire,Scotland
Moscow,KA4,Ayrshire,Scotland
Mossblown,KA6,Ayrshire,Scotland
Muirhead,KA10,Ayrshire,Scotland
Muirkirk,KA18,Ayrshire,Scotland
Netherthird,DG7,Ayrshire,Scotland
New Cumnock,KA18,Ayrshire,Scotland
Newmilns,KA16,Ayrshire,Scotland
Newton,,Ayrshire,Scotland
Newton on Ayr,KA8,Ayrshire,Scotland
Nith,,Ayrshire,Scotland
North Corriegills,,Ayrshire,Scotland
North Feorline,,Ayrshire,Scotland
North Kiscadale,,Ayrshire,Scotland
Old Dailly,KA26,Ayrshire,Scotland
Old Toll,,Ayrshire,Scotland
Onthank,KA3,Ayrshire,Scotland
Pandeewon Burn,,Ayrshire,Scotland
Park End,,Ayrshire,Scotland
Pathhead,KA18,Ayrshire,Scotland
Patna,KA6,Ayrshire,Scotland
Penwhapple Burn,,Ayrshire,Scotland
Penwhapple Reservoir,,Ayrshire,Scotland
Perceton,KA11,Ayrshire,Scotland
Pinmore,KA26,Ayrshire,Scotland
Pinwherry,KA26,Ayrshire,Scotland
Pirnmill,KA27,Ayrshire,Scotland
Polnessan,,Ayrshire,Scotland
Portencross,KA23,Ayrshire,Scotland
Poundland,KA26,Ayrshire,Scotland
Prestwick,KA9,Ayrshire,Scotland
Rankinston,KA6,Ayrshire,Scotland
Riccarton,KA1,Ayrshire,Scotland
Ruglen,,Ayrshire,Scotland
Rye Water,,Ayrshire,Scotland
Saltcoats,KA21,Ayrshire,Scotland
Sannox,,Ayrshire,Scotland
Seafield,KA7,Ayrshire,Scotland
Seamill,KA23,Ayrshire,Scotland
Shannochie,KA27,Ayrshire,Scotland
Shewalton,,Ayrshire,Scotland
Shiskine,KA27,Ayrshire,Scotland
Shortlees,KA1,Ayrshire,Scotland
Sinclairston,KA18,Ayrshire,Scotland
Skares,KA18,Ayrshire,Scotland
Skelmorlie,PA17,Ayrshire,Scotland
Sliddery,KA27,Ayrshire,Scotland
Sliddery Water,,Ayrshire,Scotland
Slidderywater Foot,,Ayrshire,Scotland
Smallburn,KA18,Ayrshire,Scotland
Sorn,KA5,Ayrshire,Scotland
Sornhill,KA4,Ayrshire,Scotland
Sourlie,KA11,Ayrshire,Scotland
South Corriegills,,Ayrshire,Scotland
South Feorline,,Ayrshire,Scotland
South Kiscadale,,Ayrshire,Scotland
Springside,KA11,Ayrshire,Scotland
St Quivox,KA9,Ayrshire,Scotland
Stair,KA5,Ayrshire,Scotland
Stanecastle,KA11,Ayrshire,Scotland
Stevenston,KA20,Ayrshire,Scotland
Stewarton,KA3,Ayrshire,Scotland
Stinchar,,Ayrshire,Scotland
Straiton,KA19,Ayrshire,Scotland
Strathwhillan,KA27,Ayrshire,Scotland
Symington,KA1,Ayrshire,Scotland
Tarbolton,KA5,Ayrshire,Scotland
The Den,KA24,Ayrshire,Scotland
Thirdpart,,Ayrshire,Scotland
Torbeg,KA27,Ayrshire,Scotland
Tormore,KA27,Ayrshire,Scotland
Torranyard,,Ayrshire,Scotland
Torrylinn,,Ayrshire,Scotland
Townhead,,Ayrshire,Scotland
Trabboch,KA5,Ayrshire,Scotland
Troon,KA10,Ayrshire,Scotland
Turnberry,KA26,Ayrshire,Scotland
Uplawmoor,,Ayrshire,Scotland
Upper Skelmorlie,PA17,Ayrshire,Scotland
Wallacetown,KA19,Ayrshire,Scotland
Water of Fail,,Ayrshire,Scotland
Water of Girvan,,Ayrshire,Scotland
Water of Minnoch,,Ayrshire,Scotland
Waterside,KA3,Ayrshire,Scotland
Welton,,Ayrshire,Scotland
West Bennan,,Ayrshire,Scotland
West Kilbride,KA23,Ayrshire,Scotland
Whitefarland,,Ayrshire,Scotland
Whitefaulds,,Ayrshire,Scotland
Whiteflat,,Ayrshire,Scotland
Whitelees,KA1,Ayrshire,Scotland
Whitespout Lane,,Ayrshire,Scotland
Whiting Bay,KA27,Ayrshire,Scotland
Whitletts,KA8,Ayrshire,Scotland
Windy-Yett,,Ayrshire,Scotland
Woodfield,KA8,Ayrshire,Scotland
