,,Dorset,England
Longfleet,,Dorset,England
Longham,BH22,Dorset,England
Loscombe,,Dorset,England
Lower Ansty,,Dorset,England
Lower Blandford St Mary,,Dorset,England
Lower Bockhampton,DT2,Dorset,England
Lower Daggons,,Dorset,England
Lower Eype,,Dorset,England
Lower Halstock Leigh,,Dorset,England
Lower Hamworthy,,Dorset,England
Lower Holwell,,Dorset,England
Lower Kingcombe,DT2,Dorset,England
Lower Mannington,,Dorset,England
Lower Row,,Dorset,England
Lower Strode,,Dorset,England
Lower Whatcombe,,Dorset,England
Lower Wraxall,DT2,Dorset,England
Lulworth Camp,BH20,Dorset,England
Lydden,,Dorset,England
Lydlinch,DT10,Dorset,England
Lyme Regis,DT7,Dorset,England
Lytchett Matravers,BH16,Dorset,England
Lytchett Minster,BH16,Dorset,England
Madjeston,SP8,Dorset,England
Maiden Newton,DT2,Dorset,England
Mangerton,,Dorset,England
Mannington,BH21,Dorset,England
Manston,DT10,Dorset,England
Manswood,BH21,Dorset,England
Mapperton,DT8,Dorset,England
Mappowder,DT10,Dorset,England
Margaret Marsh,SP7,Dorset,England
Marnhull,DT10,Dorset,England
Marshalsea,DT6,Dorset,England
Marshwood,DT6,Dorset,England
Martinstown,DT2,Dorset,England
Maudlin,,Dorset,England
Maudlin Cross,,Dorset,England
Meerhay,,Dorset,England
Melbury Abbas,SP7,Dorset,England
Melbury Bubb,DT2,Dorset,England
Melbury Osmond,DT2,Dorset,England
Melbury Sampford,DT2,Dorset,England
Melcombe Bingham,DT2,Dorset,England
Melcombe Regis,DT4,Dorset,England
Melplash,DT6,Dorset,England
Merley,,Dorset,England
Merriott,,Dorset,England
Merritown,,Dorset,England
Merry Field Hill,,Dorset,England
Meyrick Park,,Dorset,England
Middle Bockhampton,,Dorset,England
Middlemarsh,DT9,Dorset,England
Milborne St Andrew,DT11,Dorset,England
Miles Cross,,Dorset,England
Mill Throop,,Dorset,England
Milton Abbas,DT11,Dorset,England
Milton on Stour,SP8,Dorset,England
Minchington,DT11,Dorset,England
Minterne Magna,DT2,Dorset,England
Minterne Parva,,Dorset,England
Monkton Up Wimborne,BH21,Dorset,England
Monkwood,,Dorset,England
Moorbath,,Dorset,England
Moordown,,Dorset,England
Moorside,,Dorset,England
Morcombelake,DT6,Dorset,England
Morden,BH20,Dorset,England
More Crichel,,Dorset,England
Moreton,DT2,Dorset,England
Mosterton,DT8,Dorset,England
Motcombe,SP7,Dorset,England
Mounters,,Dorset,England
Muckleford,,Dorset,England
Mudeford,BH23,Dorset,England
Muscliff,,Dorset,England
Neacroft,BH23,Dorset,England
Nether Cerne,DT2,Dorset,England
Nether Compton,DT9,Dorset,England
Netherbury,DT6,Dorset,England
Netherlay,,Dorset,England
Netherstoke,,Dorset,England
Nettlecombe,DT6,Dorset,England
New Buildings,,Dorset,England
New Swanage,,Dorset,England
New Town,,Dorset,England
Newport,,Dorset,England
Newton,SP5,Dorset,England
Newton Peveril,,Dorset,England
Newtown,,Dorset,England
Norden,BH20,Dorset,England
North Bockhampton,,Dorset,England
North Bowood,,Dorset,England
North Chideock,,Dorset,England
North End,,Dorset,England
North Poorton,DT6,Dorset,England
North Wootton,DT9,Dorset,England
Northbourne,,Dorset,England
Northbrook,,Dorset,England
Northport,,Dorset,England
Norwood,,Dorset,England
Nottington,,Dorset,England
Oakdale,,Dorset,England
Oakley,,Dorset,England
Oathill,,Dorset,England
Oborne,DT9,Dorset,England
Okeford Fitzpaine,DT11,Dorset,England
Organford,,Dorset,England
Osehill Green,,Dorset,England
Osmington,DT3,Dorset,England
Osmington Mills,DT3,Dorset,England
Over Compton,DT9,Dorset,England
Overcombe,DT3,Dorset,England
Owermoigne,DT2,Dorset,England
Oxbridge,,Dorset,England
Packers Hill,,Dorset,England
Pallington,,Dorset,England
Pamphill,BH21,Dorset,England
Park Gate,,Dorset,England
Parkstone,,Dorset,England
Parley Green,,Dorset,England
Peacemarsh,SP8,Dorset,England
Penn,,Dorset,England
Pentridge,SP5,Dorset,England
Piddle (Trent),,Dorset,England
Piddlehinton,DT2,Dorset,England
Piddletrenthide,DT2,Dorset,England
Pidney,,Dorset,England
Pig Oak,,Dorset,England
Pilford,,Dorset,England
Pillwell,,Dorset,England
Pilsdon,DT6,Dorset,England
Pimperne,DT11,Dorset,England
Pleck,,Dorset,England
Pleck (Little Ansty),,Dorset,England
Plush,DT2,Dorset,England
Pokesdown,,Dorset,England
Poole,BH16,Dorset,England
Poolestown,,Dorset,England
Portesham,DT3,Dorset,England
Portway,,Dorset,England
Post Green,,Dorset,England
Powerstock,DT6,Dorset,England
Poyntington,DT9,Dorset,England
Preston,DT3,Dorset,England
Puddletown,DT2,Dorset,England
Pulham,DT2,Dorset,England
Puncknowle,DT2,Dorset,England
Purewell,,Dorset,England
Purse Caundle,DT9,Dorset,England
Putton,,Dorset,England
Puxey,,Dorset,England
Pymore,,Dorset,England
Queen Oak,,Dorset,England
Radipole,DT3,Dorset,England
Rampisham,DT2,Dorset,England
Red Hill,,Dorset,England
Redbridge,,Dorset,England
Redford,,Dorset,England
Redlands,,Dorset,England
Rew,,Dorset,England
Ridge,BH20,Dorset,England
Rixon,,Dorset,England
Rodden,DT3,Dorset,England
Rodwell,,Dorset,England
Rolls Mill,,Dorset,England
Romford,BH31,Dorset,England
Rossmore,,Dorset,England
Rushcombe Bottom,,Dorset,England
Rushton,,Dorset,England
Ryall,DT6,Dorset,England
Ryme Intrinseca,DT9,Dorset,England
Saddle Street,,Dorset,England
Salwayash,DT6,Dorset,England
Sandbanks,,Dorset,England
Sandford,BH20,Dorset,England
Sandford Orcas,DT9,Dorset,England
Sandhills,DT9,Dorset,England
Sandleheath,SP6,Dorset,England
Sandpit,,Dorset,England
School House,,Dorset,England
Seaborough,DT8,Dorset,England
Seatown,DT6,Dorset,England
Shaftesbury,SP7,Dorset,England
Shaggs,,Dorset,England
Shapwick,DT11,Dorset,England
Sharnhill Green,,Dorset,England
Sherborne,DT9,Dorset,England
Sherford,,Dorset,England
Shillingstone,DT11,Dorset,England
Shipton Gorge,DT6,Dorset,England
Shortmoor,,Dorset,England
Shroton (Iwerne Courtney),,Dorset,England
Silton,SP8,Dorset,England
Sitterton,,Dorset,England
Sixpenny Handley,SP5,Dorset,England
Skilling,,Dorset,England
Sleight,,Dorset,England
Slepe,BH16,Dorset,England
Sockety,,Dorset,England
Somerford,,Dorset,England
South Bockhampton,,Dorset,England
South Bowood,DT6,Dorset,England
South Perrott,DT8,Dorset,England
South Poorton,,Dorset,England
Southbourne,,Dorset,England
Southill,,Dorset,England
Southlands,,Dorset,England
Southover,,Dorset,England
Southwell,DT5,Dorset,England
Spetisbury,DT11,Dorset,England
Springbourne,,Dorset,England
Spyway,,Dorset,England
St Ives,BH24,Dorset,England
St James,,Dorset,England
St Leonards,BH24,Dorset,England
Stalbridge,DT10,Dorset,England
Stalbridge Weston,DT10,Dorset,England
Stallen,,Dorset,England
Stanbridge,BH21,Dorset,England
Stanley Green,,Dorset,England
Stanpit,,Dorset,England
Stapehill,BH21,Dorset,England
Steeple,BH20,Dorset,England
Sterte,,Dorset,England
Stinsford,DT2,Dorset,England
Stoborough,BH20,Dorset,England
Stoborough Green,BH20,Dorset,England
Stockwood,DT2,Dorset,England
Stoke Abbott,DT8,Dorset,England
Stoke Wake,DT11,Dorset,England
Stoke Water,,Dorset,England
Stokeford,BH20,Dorset,England
Stony Knaps,,Dorset,England
Stour,,Dorset,England
Stour Provost,SP8,Dorset,England
Stour Row,SP7,Dorset,England
Stourpaine,DT11,Dorset,England
Stourton Caundle,DT10,Dorset,England
Stratton,DT2,Dorset,England
Strouden,,Dorset,England
Stubhampton,DT11,Dorset,England
Studland,BH19,Dorset,England
Sturminster Common,DT10,Dorset,England
Sturminster Marshall,BH21,Dorset,England
Sturminster Newton,DT10,Dorset,England
Sutton Holms,BH21,Dorset,England
Sutton Poyntz,DT3,Dorset,England
Sutton Waldron,DT11,Dorset,England
Swanage,BH19,Dorset,England
Swyre,DT2,Dorset,England
Sydling St Nicholas,DT2,Dorset,England
Symondsbury,DT6,Dorset,England
Synderford,,Dorset,England
Tadden,BH21,Dorset,England
Tadnoll,,Dorset,England
Talbot Heath,,Dorset,England
Talbot Village,,Dorset,England
Talbot Woods,,Dorset,England
Tarrant Crawford,DT11,Dorset,England
Tarrant Gunville,DT11,Dorset,England
Tarrant Hinton,DT11,Dorset,England
Tarrant Keyneston,DT11,Dorset,England
Tarrant Launceston,DT11,Dorset,England
Tarrant Monkton,DT11,Dorset,England
Tarrant Rushton,DT11,Dorset,England
The Bridge,,Dorset,England
The Common,SP5,Dorset,England
The Mount,,Dorset,England
Thorncombe,TA20,Dorset,England
Thornford,DT9,Dorset,England
Thornicombe,DT11,Dorset,England
Three Gates,,Dorset,England
Three Legged Cross,BH21,Dorset,England
Throop,,Dorset,England
Tiley,,Dorset,England
Tincleton,DT2,Dorset,England
Todber,DT10,Dorset,England
Tollard Farnham,,Dorset,England
Toller Fratrum,DT2,Dorset,England
Toller Porcorum,DT2,Dorset,England
Toller Whelme,DT8,Dorset,England
Tollerford,,Dorset,England
Tolpuddle,DT2,Dorset,England
Totnell,,Dorset,England
Trent,DT9,Dorset,England
Trent (Piddle),,Dorset,England
Tuckton,,Dorset,England
Turbary Common,,Dorset,England
Turlin Moor,BH16,Dorset,England
Turners Puddle,DT2,Dorset,England
Turnworth,DT11,Dorset,England
Twyford,SP7,Dorset,England
Tyneham,BH20,Dorset,England
Ulwell,BH19,Dorset,England
Up Cerne,DT2,Dorset,England
Up Sydling,DT2,Dorset,England
Uphall,DT2,Dorset,England
Uploders,DT6,Dorset,England
Uppington,BH21,Dorset,England
Upton,BH16,Dorset,England
Upwey,DT3,Dorset,England
Verwood,BH31,Dorset,England
Walditch,DT6,Dorset,England
Walkford,,Dorset,England
Wallisdown,,Dorset,England
Walton Elm,,Dorset,England
Wareham,BH20,Dorset,England
Wareham Forest,,Dorset,England
Warmwell,DT2,Dorset,England
Warren,,Dorset,England
Waterditch,,Dorset,England
Waterloo,,Dorset,England
Watton,,Dorset,England
Waytown,DT6,Dorset,England
Well Bottom,,Dorset,England
West Bay,DT6,Dorset,England
West Bexington,DT2,Dorset,England
West Bourton,,Dorset,England
West Chelborough,DT2,Dorset,England
West Cliff,,Dorset,England
West Compton,DT2,Dorset,England
West End,,Dorset,England
West Holme,BH20,Dorset,England
West Howe,,Dorset,England
West Hurn,,Dorset,England
West Knighton,DT2,Dorset,England
West Lulworth,BH20,Dorset,England
West Melbury,,Dorset,England
West Milton,DT6,Dorset,England
West Moors,BH22,Dorset,England
West Morden,,Dorset,England
West Orchard,SP7,Dorset,England
West Parley,BH22,Dorset,England
West Pulham,,Dorset,England
West Southbourne,,Dorset,England
West Stafford,DT2,Dorset,England
West Stour,SP8,Dorset,England
Westbourne,,Dorset,England
Westfields,,Dorset,England
Westham,DT4,Dorset,England
Weston,DT5,Dorset,England
Weymouth,DT3,Dorset,England
Whetley Cross,DT8,Dorset,England
Whitchurch Canonicorum,DT6,Dorset,England
Whitcombe,DT2,Dorset,England
White Hill,,Dorset,England
White Lackington,DT2,Dorset,England
Whitecross,,Dorset,England
Whitefield,,Dorset,England
Whiteway,,Dorset,England
Whitmore,BH21,Dorset,England
Wick,SP5,Dorset,England
Wigbeth,,Dorset,England
Wimborne Minster,BH21,Dorset,England
Wimborne St Giles,BH21,Dorset,England
Winfrith Newburgh,DT2,Dorset,England
Winkton,BH23,Dorset,England
Winterborne Came,DT2,Dorset,England
Winterborne Clenston,DT11,Dorset,England
Winterborne Herringston,,Dorset,England
Winterborne Houghton,DT11,Dorset,England
Winterborne Kingston,DT11,Dorset,England
Winterborne Monkton,DT2,Dorset,England
Winterborne Muston,,Dorset,England
Winterborne Stickland,DT11,Dorset,England
Winterborne Tomson,,Dorset,England
Winterborne Whitechurch,DT11,Dorset,England
Winterborne Zelston,DT11,Dorset,England
Winterbourne Abbas,DT2,Dorset,England
Winterbourne Steepleton,DT2,Dorset,England
Winton,,Dorset,England
Witchampton,BH21,Dorset,England
Wolverton,,Dorset,England
Wonston,,Dorset,England
Woodbridge,,Dorset,England
Woodcutts,SP5,Dorset,England
Woodlake,,Dorset,England
Woodlands,BH21,Dorset,England
Woodlands Common,,Dorset,England
Woodrow,,Dorset,England
Woodsford,DT2,Dorset,England
Woodville,,Dorset,England
Woodyates,SP5,Dorset,England
Wool,BH20,Dorset,England
Woolgarston,,Dorset,England
Woolland,DT11,Dorset,England
Woolsbridge,,Dorset,England
Wooth,,Dorset,England
Wootton Fitzpaine,DT6,Dorset,England
Worbarrow,,Dorset,England
Worgret,,Dorset,England
Worth Matravers,BH19,Dorset,England
Wraxall,,Dorset,England
Wyke,SP8,Dorset,England
Wyke Regis,DT4,Dorset,England
Wynford Eagle,DT2,Dorset,England
Yeo,,Dorset,England
Yetminster,DT9,Dorset,England
Yondover,,Dorset,England
Zeals,,Dorset,England
