,,Wiltshire,England
Chedglow,SN16,Wiltshire,England
Chelworth,SN16,Wiltshire,England
Chelworth Lower Green,,Wiltshire,England
Chelworth Upper Green,,Wiltshire,England
Cherhill,SN11,Wiltshire,England
Chicklade,SP3,Wiltshire,England
Chicksgrove,,Wiltshire,England
Chilmark,SP3,Wiltshire,England
Chilton Foliat,RG17,Wiltshire,England
Chippenham,SN14,Wiltshire,England
Chirton,SN10,Wiltshire,England
Chisbury,SN8,Wiltshire,England
Chiseldon,SN4,Wiltshire,England
Chitterne,BA12,Wiltshire,England
Chittoe,SN15,Wiltshire,England
Cholderton,SP4,Wiltshire,England
Christian Malford,SN15,Wiltshire,England
Church End,SN15,Wiltshire,England
Churchfields,,Wiltshire,England
Chute Cadley,SP11,Wiltshire,England
Chute Standen,SP11,Wiltshire,England
Clanville,SP11,Wiltshire,England
Clatford,,Wiltshire,England
Clearwood,,Wiltshire,England
Clench,,Wiltshire,England
Clench Common,SN8,Wiltshire,England
Clevancy,SN11,Wiltshire,England
Cleverton,SN15,Wiltshire,England
Cloatley,,Wiltshire,England
Cloatley End,,Wiltshire,England
Clyffe Pypard,SN4,Wiltshire,England
Coate,SN10,Wiltshire,England
Codford St Mary,BA12,Wiltshire,England
Codford St Peter,BA12,Wiltshire,England
Cold Harbour,,Wiltshire,England
Cole,,Wiltshire,England
Colerne,SN14,Wiltshire,England
Coleshill,SN6,Wiltshire,England
Collingbourne Ducis,SN8,Wiltshire,England
Collingbourne Kingston,SN8,Wiltshire,England
Common Platt,,Wiltshire,England
"Common, The",,Wiltshire,England
Compton,,Wiltshire,England
Compton Bassett,SN11,Wiltshire,England
Compton Chamberlayne,SP3,Wiltshire,England
Conkwell,,Wiltshire,England
Conock,,Wiltshire,England
Coombe,,Wiltshire,England
Coombe Bissett,SP5,Wiltshire,England
Coped Hall,,Wiltshire,England
Corsham,SN13,Wiltshire,England
Corsley,BA12,Wiltshire,England
Corsley Heath,BA12,Wiltshire,England
Corston,SN16,Wiltshire,England
Corton,BA12,Wiltshire,England
Cotmarsh,,Wiltshire,England
Cotswold Community,,Wiltshire,England
Coulston,BA13,Wiltshire,England
Covingham,,Wiltshire,England
Cowesfield Green,,Wiltshire,England
Cricklade,SN6,Wiltshire,England
Crockerton,BA12,Wiltshire,England
Crockerton Green,,Wiltshire,England
Crofton,SN8,Wiltshire,England
Crooked Soley,,Wiltshire,England
Cross Keys,SN13,Wiltshire,England
Croucheston,,Wiltshire,England
Crudwell,SN16,Wiltshire,England
Dauntsey,SN15,Wiltshire,England
Dauntsey Lock,,Wiltshire,England
Deptford,BA12,Wiltshire,England
Derry Fields,,Wiltshire,England
Derry Hill,SN11,Wiltshire,England
Dertfords,,Wiltshire,England
Devizes,SN10,Wiltshire,England
Didmarton,,Wiltshire,England
Dilton Marsh,BA13,Wiltshire,England
Dinton,SP3,Wiltshire,England
Ditchampton,,Wiltshire,England
Ditteridge,SN14,Wiltshire,England
Donhead St Andrew,SP7,Wiltshire,England
Donhead St Mary,SP7,Wiltshire,England
Dorcan,,Wiltshire,England
Downton,SP5,Wiltshire,England
Draycot Cerne,,Wiltshire,England
Draycot Fitz Payne,,Wiltshire,England
Draycot Foliat,,Wiltshire,England
Drynham,,Wiltshire,England
Dunfield,,Wiltshire,England
Dunge,,Wiltshire,England
Dunkirk,,Wiltshire,England
Durley,SN8,Wiltshire,England
Durrington,SP4,Wiltshire,England
Dursley,,Wiltshire,England
East Chisenbury,SN9,Wiltshire,England
East Everleigh,,Wiltshire,England
East Grafton,SN8,Wiltshire,England
East Grimstead,SP5,Wiltshire,England
East Hatch,SP3,Wiltshire,England
East Kennett,SN8,Wiltshire,England
East Knoyle,SP3,Wiltshire,England
East Town,,Wiltshire,England
East Tytherton,SN15,Wiltshire,England
East Winterslow,,Wiltshire,England
Eastcott,SN10,Wiltshire,England
Eastcourt,SN16,Wiltshire,England
Easterton,SN10,Wiltshire,England
Easterton Sands,,Wiltshire,England
Easton,SN13,Wiltshire,England
Easton Grey,SN16,Wiltshire,England
Easton Royal,SN9,Wiltshire,England
Easton Town,,Wiltshire,England
Eastrip,,Wiltshire,England
Ebbesbourne Wake,,Wiltshire,England
Ebble,,Wiltshire,England
Eden Vale,,Wiltshire,England
Edington,BA13,Wiltshire,England
Elcombe,,Wiltshire,England
Eldene,,Wiltshire,England
Elm Cross,,Wiltshire,England
Elston,,Wiltshire,England
Enford,SN9,Wiltshire,England
Erlestoke,SN10,Wiltshire,England
Etchilhampton,SN10,Wiltshire,England
Even Swindon,,Wiltshire,England
Everleigh,SN8,Wiltshire,England
Faberstown,,Wiltshire,England
Fairwood,,Wiltshire,England
Farleigh Wick,,Wiltshire,England
Farley,SP5,Wiltshire,England
Ferne,,Wiltshire,England
Fiddington Sands,,Wiltshire,England
Fifield,,Wiltshire,England
Fifield Bavant,SP5,Wiltshire,England
Figheldean,SP4,Wiltshire,England
Filands,,Wiltshire,England
Firsdown,,Wiltshire,England
Fisherton de la Mere,BA12,Wiltshire,England
Fittleton,SP4,Wiltshire,England
Fonthill Bishop,SP3,Wiltshire,England
Fonthill Gifford,SP3,Wiltshire,England
Ford,SN14,Wiltshire,England
Forest Hill,,Wiltshire,England
Forewoods Common,,Wiltshire,England
Fosbury,SN8,Wiltshire,England
Foscote,,Wiltshire,England
Fovant,SP3,Wiltshire,England
Fox Holes,,Wiltshire,England
Foxham,SN15,Wiltshire,England
Foxley,SN16,Wiltshire,England
Freshbrook,,Wiltshire,England
Frome,,Wiltshire,England
Froxfield,SN8,Wiltshire,England
Fugglestone St Peter,SP2,Wiltshire,England
Fyfield,SN8,Wiltshire,England
Gare Hill,,Wiltshire,England
Garsdon,SN16,Wiltshire,England
Gasper,,Wiltshire,England
Gastard,SN13,Wiltshire,England
Giddeahall,,Wiltshire,England
Goatacre,SN11,Wiltshire,England
Gomeldon,SP4,Wiltshire,England
Gorse Hill,,Wiltshire,England
Great Ashley,,Wiltshire,England
Great Bedwyn,SN8,Wiltshire,England
Great Chalfield,,Wiltshire,England
Great Cheverell,SN10,Wiltshire,England
Great Durnford,SP4,Wiltshire,England
Great Hinton,BA14,Wiltshire,England
Great Somerford,SN15,Wiltshire,England
Great Wishford,SP2,Wiltshire,England
Greatfield,,Wiltshire,England
Green Hill,,Wiltshire,England
"Green, The",,Wiltshire,England
Greenmeadow,,Wiltshire,England
Greenwich,,Wiltshire,England
Grittleton,SN14,Wiltshire,England
Hackthorn,,Wiltshire,England
Hailstone Hill,,Wiltshire,England
Half Way Firs,,Wiltshire,England
Halfway,,Wiltshire,England
Ham,SN8,Wiltshire,England
Ham Green,,Wiltshire,England
"Ham, The",,Wiltshire,England
Hampton,,Wiltshire,England
Hamptworth,SP5,Wiltshire,England
Hanging Langford,SP3,Wiltshire,England
Hankerton,SN16,Wiltshire,England
Hannington,SN6,Wiltshire,England
Hannington Wick,SN6,Wiltshire,England
Haresfield,,Wiltshire,England
Harnham,SP2,Wiltshire,England
Hawkeridge,BA13,Wiltshire,England
Haxton,,Wiltshire,England
Haydon,,Wiltshire,England
Haydon Wick,,Wiltshire,England
Hayes Knoll,,Wiltshire,England
Heddington,SN11,Wiltshire,England
Heddington Wick,,Wiltshire,England
Henfords Marsh,,Wiltshire,England
Henley,,Wiltshire,England
Heytesbury,BA12,Wiltshire,England
Heywood,BA13,Wiltshire,England
Higher Pertwood,,Wiltshire,England
Highway,SN11,Wiltshire,England
Highworth,SN6,Wiltshire,England
Hilcott,SN9,Wiltshire,England
Hill Deverill,,Wiltshire,England
Hillside,,Wiltshire,England
Hilmarton,SN11,Wiltshire,England
Hilperton,BA14,Wiltshire,England
Hilperton Marsh,,Wiltshire,England
Hindon,SP3,Wiltshire,England
Hinton Parva,SN4,Wiltshire,England
Hisomley,,Wiltshire,England
Hitcombe Bottom,,Wiltshire,England
Hodson,,Wiltshire,England
Hoggington,,Wiltshire,England
Holloway,,Wiltshire,England
Holt,BA14,Wiltshire,England
Homington,SP5,Wiltshire,England
Honeystreet,,Wiltshire,England
Hook,SN4,Wiltshire,England
Hook Street,,Wiltshire,England
Hoopers Pool,,Wiltshire,England
Horningsham,BA12,Wiltshire,England
Horpit,,Wiltshire,England
Horsedown,,Wiltshire,England
Horsey Down,,Wiltshire,England
Horton,SN10,Wiltshire,England
Hudswell,,Wiltshire,England
Huish,SN8,Wiltshire,England
Hullavington,SN14,Wiltshire,England
Huntenhull Green,,Wiltshire,England
Hurdcott,,Wiltshire,England
Idmiston,SP4,Wiltshire,England
Idstone,SN6,Wiltshire,England
Imber,,Wiltshire,England
Inmarsh,,Wiltshire,England
Ireland,,Wiltshire,England
Keevil,BA14,Wiltshire,England
Kellaways,,Wiltshire,England
Kemble Wick,,Wiltshire,England
Kempsford,,Wiltshire,England
Kennet,SN10,Wiltshire,England
Kennet and Avon Canal,,Wiltshire,England
Kepnal,,Wiltshire,England
Kilmington,BA12,Wiltshire,England
Kilmington Common,,Wiltshire,England
Kinghay,,Wiltshire,England
Kingsdown,,Wiltshire,England
Kingshill,,Wiltshire,England
Kingston Deverill,BA12,Wiltshire,England
Kington Langley,SN15,Wiltshire,England
Kington St Michael,SN14,Wiltshire,England
Knapp,,Wiltshire,England
Knighton,,Wiltshire,England
Knook,BA12,Wiltshire,England
Knowle,,Wiltshire,England
Lacock,SN15,Wiltshire,England
Lake,SP4,Wiltshire,England
Landford,SP5,Wiltshire,England
Landfordwood,,Wiltshire,England
Lane End,,Wiltshire,England
Langley Burrell,SN15,Wiltshire,England
Larkhill,SP4,Wiltshire,England
Latton,SN6,Wiltshire,England
Laverstock,SP1,Wiltshire,England
Lavington Sands,,Wiltshire,England
Lawn,,Wiltshire,England
Lea,SN16,Wiltshire,England
Leafield,,Wiltshire,England
Leigh,SN6,Wiltshire,England
Leigh Delamere,SN14,Wiltshire,England
Liddington,SN4,Wiltshire,England
Liden,,Wiltshire,England
Limpers Hill,,Wiltshire,England
Little Ashley,,Wiltshire,England
Little Bedwyn,SN8,Wiltshire,England
Little Chalfield,,Wiltshire,England
Little Cheverell,SN10,Wiltshire,England
Little Durnford,,Wiltshire,England
Little Horton,,Wiltshire,England
Little Langford,SP3,Wiltshire,England
Little Marsh,,Wiltshire,England
Little Salisbury,,Wiltshire,England
Little Somerford,SN15,Wiltshire,England
Littlecott,,Wiltshire,England
Littleton,,Wiltshire,England
Littleton Drew,SN14,Wiltshire,England
Littleton Panell,SN10,Wiltshire,England
Littleworth,,Wiltshire,England
Lockeridge,SN8,Wiltshire,England
Lockeridge Dene,,Wiltshire,England
Long Cross,,Wiltshire,England
Long Dean,,Wiltshire,England
Longbridge Deverill,BA12,Wiltshire,England
Longfield,,Wiltshire,England
Longhedge,,Wiltshire,England
Longstreet,SN9,Wiltshire,England
Lover,SP5,Wiltshire,England
Low Bridge,,Wiltshire,England
Lower Blunsdon,,Wiltshire,England
Lower Chicksgrove,,Wiltshire,England
Lower Chute,SP11,Wiltshire,England
Lower Everleigh,,Wiltshire,England
Lower Moor,,Wiltshire,England
Lower Seagry,SN15,Wiltshire,England
Lower Stanton St Quintin,SN14,Wiltshire,England
Lower Stratton,,Wiltshire,England
Lower Studley,,Wiltshire,England
Lower Wanborough,,Wiltshire,England
Lower Woodford,SP4,Wiltshire,England
Lower Wraxall,,Wiltshire,England
Lower Zeals,,Wiltshire,England
Luckington,SN14,Wiltshire,England
Ludgershall,SP11,Wiltshire,England
Ludwell,SP7,Wiltshire,England
Lydiard Green,,Wiltshire,England
Lydiard Millicent,SN5,Wiltshire,England
Lydiard Plain,,Wiltshire,England
Lydiard Tregoze,,Wiltshire,England
Lye Green,,Wiltshire,England
Lyneham,SN15,Wiltshire,England
Maddington,,Wiltshire,England
Maiden Bradley,BA12,Wiltshire,England
Malmesbury,SN16,Wiltshire,England
Manningford Abbots,SN9,Wiltshire,England
Manningford Bohune,SN9,Wiltshire,England
Manningford Bruce,SN9,Wiltshire,England
Manton,SN8,Wiltshire,England
Marden,SN10,Wiltshire,England
Market Lavington,SN10,Wiltshire,England
Marlborough,SN8,Wiltshire,England
Marr Green,,Wiltshire,England
Marston,SN10,Wiltshire,England
Marston Hill,,Wiltshire,England
Marten,,Wiltshire,England
Mead End,SP5,Wiltshire,England
Melksham,SN12,Wiltshire,England
Melksham Forest,SN12,Wiltshire,England
Mere,BA12,Wiltshire,England
Middle Winterslow,SP5,Wiltshire,England
Middle Woodford,SP4,Wiltshire,England
Middlehill,,Wiltshire,England
Middlewick,,Wiltshire,England
Milbourne,,Wiltshire,England
Mildenhall,SN8,Wiltshire,England
Mile Elm,SN11,Wiltshire,England
Milford,,Wiltshire,England
Milkhouse Water,,Wiltshire,England
Milkwell,,Wiltshire,England
Milston,SP4,Wiltshire,England
Milton,,Wiltshire,England
Milton Lilbourne,SN9,Wiltshire,England
Minety,SN16,Wiltshire,England
Misselfore,,Wiltshire,England
Monkton Deverill,BA12,Wiltshire,England
Monkton Farleigh,BA15,Wiltshire,England
Moor Green,,Wiltshire,England
Mooray,,Wiltshire,England
Moredon,,Wiltshire,England
Mount Cowdown,,Wiltshire,England
Mount Sorrel,,Wiltshire,England
Mountain Bower,,Wiltshire,England
Murcott,,Wiltshire,England
Nadder,,Wiltshire,England
Neston,SN13,Wiltshire,England
Netheravon,SP4,Wiltshire,England
Netherhampton,SP2,Wiltshire,England
Nettleton,SN14,Wiltshire,England
Nettleton Green,,Wiltshire,England
Nettleton Shrub,,Wiltshire,England
Netton,SP4,Wiltshire,England
New Mill,,Wiltshire,England
New Town,,Wiltshire,England
New Zealand,,Wiltshire,England
Newbury,,Wiltshire,England
Newton,SP5,Wiltshire,England
Newton Tony,SP4,Wiltshire,England
Newtown,SP3,Wiltshire,England
Nine Elms,SN5,Wiltshire,England
Nomansland,SP5,Wiltshire,England
Norleaze,,Wiltshire,England
Normanton,,Wiltshire,England
Norrington Common,SN12,Wiltshire,England
North Bradley,BA14,Wiltshire,England
North End,,Wiltshire,England
North Newnton,SN9,Wiltshire,England
North Tidworth,SP9,Wiltshire,England
North Wraxall,SN14,Wiltshire,England
North Wroughton,SN4,Wiltshire,England
Northbrook,,Wiltshire,England
Norton,SN16,Wiltshire,England
Norton Bavant,BA12,Wiltshire,England
Norton Ferris,BA12,Wiltshire,England
Notton,SN15,Wiltshire,England
Nunton,SP5,Wiltshire,England
Nursteed,,Wiltshire,England
Nythe,,Wiltshire,England
Oaksey,SN16,Wiltshire,England
Oare,SN8,Wiltshire,England
Odstock,SP5,Wiltshire,England
Ogbourne Maizey,SN8,Wiltshire,England
Ogbourne St Andrew,SN8,Wiltshire,England
Ogbourne St George,SN8,Wiltshire,England
Okus,,Wiltshire,England
Old Town,,Wiltshire,England
Orcheston,SP3,Wiltshire,England
Outmarsh,,Wiltshire,England
Overtown,,Wiltshire,England
Oxenwood,SN8,Wiltshire,England
Park,,Wiltshire,England
Patney,SN10,Wiltshire,England
Peckingell,,Wiltshire,England
Penhill,,Wiltshire,England
Penknap,,Wiltshire,England
Perham Down,SP11,Wiltshire,England
Perry Green,,Wiltshire,England
Pewsey,SN9,Wiltshire,England
Pewsey Wharf,,Wiltshire,England
Pickwick,,Wiltshire,England
Pinckney Green,,Wiltshire,England
Pinehurst,,Wiltshire,England
Pinkney,,Wiltshire,England
Pitton,SP5,Wiltshire,England
"Pitts, The",,Wiltshire,England
Plaitford,SP5,Wiltshire,England
Portash,,Wiltshire,England
Porton,SP4,Wiltshire,England
Potterne,SN10,Wiltshire,England
Potterne Wick,SN10,Wiltshire,England
Poulshot,SN10,Wiltshire,England
Preston,SN15,Wiltshire,England
Purlpit,,Wiltshire,England
Purton,SN5,Wiltshire,England
Purton Common,,Wiltshire,England
Purton Stoke,SN5,Wiltshire,England
Quemerford,SN11,Wiltshire,England
Quidhampton,SP2,Wiltshire,England
Ragnal,,Wiltshire,England
Ram Alley,,Wiltshire,England
Ramsbury,SN8,Wiltshire,England
Ratford,,Wiltshire,England
Ratfyn,,Wiltshire,England
Ray,,Wiltshire,England
Redlands,,Wiltshire,England
Redlynch,SP5,Wiltshire,England
Redstocks,,Wiltshire,England
Restrop,,Wiltshire,England
Reybridge,,Wiltshire,England
Ridge,SP3,Wiltshire,England
Rivar,SN8,Wiltshire,England
Rockley,SN8,Wiltshire,England
Rodbourne,SN16,Wiltshire,England
Rodbourne Bottom,,Wiltshire,England
Rollestone,SP3,Wiltshire,England
Rollestone Camp,,Wiltshire,England
Rook Street,,Wiltshire,England
Roughmoor,,Wiltshire,England
Roundway,SN10,Wiltshire,England
Rowde,SN10,Wiltshire,England
Rudloe,,Wiltshire,England
Rushall,SN9,Wiltshire,England
Salisbury,SP1,Wiltshire,England
Salisbury Plain,,Wiltshire,England
Salterton,,Wiltshire,England
Sambourne,,Wiltshire,England
Sandy Lane,SN15,Wiltshire,England
Sawyers Hill,,Wiltshire,England
Seagry Heath,,Wiltshire,England
Sedgehill,SP7,Wiltshire,England
Seend,SN12,Wiltshire,England
Seend Cleeve,SN12,Wiltshire,England
Seend Head,,Wiltshire,England
Sells Green,SN12,Wiltshire,England
Sem Hill,,Wiltshire,England
Semington,BA14,Wiltshire,England
Semley,SP7,Wiltshire,England
Serrington,,Wiltshire,England
Sevenhampton,SN6,Wiltshire,England
Shalbourne,SN8,Wiltshire,England
Sharcott,,Wiltshire,England
Shaw,SN12,Wiltshire,England
Sherrington,BA12,Wiltshire,England
Sherston,SN16,Wiltshire,England
Short Street,,Wiltshire,England
Shrewton,SP3,Wiltshire,England
Shute End,,Wiltshire,England
Slaughterford,SN14,Wiltshire,England
Sodom,,Wiltshire,England
Sopworth,SN14,Wiltshire,England
South Marston,,Wiltshire,England
South Newton,SP2,Wiltshire,England
South Tidworth,SP9,Wiltshire,England
South Wraxall,BA15,Wiltshire,England
Southbrook,,Wiltshire,England
Southcott,,Wiltshire,England
Southwick,BA14,Wiltshire,England
Spirthill,SN11,Wiltshire,England
St Katharines,,Wiltshire,England
Stanley,SN15,Wiltshire,England
Stanton Fitzwarren,SN6,Wiltshire,England
Stanton St Bernard,SN8,Wiltshire,England
Stanton St Quintin,SN14,Wiltshire,England
Stapleford,SP3,Wiltshire,England
Startley,SN15,Wiltshire,England
Staverton,BA14,Wiltshire,England
Steeple Ashton,BA14,Wiltshire,England
Steeple Langford,SP3,Wiltshire,England
Stert,SN10,Wiltshire,England
Stibb Green,SN8,Wiltshire,England
Stitchcombe,,Wiltshire,England
Stockley,SN11,Wiltshire,England
Stockton,BA12,Wiltshire,England
Stoford,SP2,Wiltshire,England
Stoke Farthing,,Wiltshire,England
Stormore,,Wiltshire,England
Stourton,BA12,Wiltshire,England
Straight Soley,,Wiltshire,England
Strangways,,Wiltshire,England
Stratford Sub Castle,SP1,Wiltshire,England
Stratford Tony,SP5,Wiltshire,England
Stratton St Margaret,,Wiltshire,England
Studley,SN11,Wiltshire,England
Studley Green,,Wiltshire,England
Sturford,,Wiltshire,England
Sunton,,Wiltshire,England
Sutton Benger,SN15,Wiltshire,England
Sutton Mandeville,SP3,Wiltshire,England
Sutton Row,,Wiltshire,England
Sutton Veny,BA12,Wiltshire,England
Swallowcliffe,SP3,Wiltshire,England
Swanborough,,Wiltshire,England
Swindon,SN4,Wiltshire,England
Tanis,,Wiltshire,England
Teffont Evias,SP3,Wiltshire,England
Teffont Magna,SP3,Wiltshire,England
Temple,,Wiltshire,England
Thames,,Wiltshire,England
The Banks,,Wiltshire,England
The Barton,,Wiltshire,England
The Common,SP5,Wiltshire,England
The Fox,,Wiltshire,England
The Gibb,,Wiltshire,England
The Linleys,,Wiltshire,England
The Ridge,,Wiltshire,England
The Shoe,SN14,Wiltshire,England
The Spa,,Wiltshire,England
The Stocks,,Wiltshire,England
The Strand,,Wiltshire,England
The Warren,,Wiltshire,England
Thickwood,SN14,Wiltshire,England
Thingley,,Wiltshire,England
Thornend,,Wiltshire,England
Thornhill,,Wiltshire,England
Thoulstone,,Wiltshire,England
Tidcombe,SN8,Wiltshire,England
Tilshead,SP3,Wiltshire,England
Tisbury,SP3,Wiltshire,England
Tockenham,SN4,Wiltshire,England
Tockenham Wick,SN4,Wiltshire,England
Tollard Royal,SP5,Wiltshire,England
Toothill,,Wiltshire,England
Townsend,,Wiltshire,England
Trowbridge,BA14,Wiltshire,England
Trowle Common,BA14,Wiltshire,England
Tuckingmill,,Wiltshire,England
Turleigh,,Wiltshire,England
Tytherington,BA12,Wiltshire,England
Tytherton Lucas,SN15,Wiltshire,England
Uffcott,SN4,Wiltshire,England
Ugford,,Wiltshire,England
Underhill,,Wiltshire,England
Upavon,SN9,Wiltshire,England
Upper Chicksgrove,,Wiltshire,England
Upper Chute,SP11,Wiltshire,England
Upper Inglesham,SN6,Wiltshire,England
Upper Minety,SN16,Wiltshire,England
Upper Pickwick,,Wiltshire,England
Upper Seagry,SN15,Wiltshire,England
Upper Stratton,,Wiltshire,England
Upper Studley,,Wiltshire,England
Upper Town,,Wiltshire,England
Upper Up,,Wiltshire,England
Upper Upham,SN8,Wiltshire,England
Upper Woodford,SP4,Wiltshire,England
Upper Wraxall,SN14,Wiltshire,England
Upton,SP11,Wiltshire,England
Upton Lovell,BA12,Wiltshire,England
Upton Scudamore,BA12,Wiltshire,England
Urchfont,SN10,Wiltshire,England
Vastern,,Wiltshire,England
Vernham Bank,,Wiltshire,England
Vernham Row,,Wiltshire,England
Wadswick,,Wiltshire,England
Walcot,,Wiltshire,England
Wanborough,SN4,Wiltshire,England
Wardour,,Wiltshire,England
Warminster,BA12,Wiltshire,England
Warminster Common,,Wiltshire,England
Waterhay,,Wiltshire,England
Wedhampton,SN10,Wiltshire,England
West Amesbury,SP4,Wiltshire,England
West Ashton,BA14,Wiltshire,England
West Chisenbury,,Wiltshire,England
West Crudwell,,Wiltshire,England
West Dean,SP5,Wiltshire,England
West End,,Wiltshire,England
West Grafton,SN8,Wiltshire,England
West Grimstead,SP5,Wiltshire,England
West Hatch,,Wiltshire,England
West Hill,,Wiltshire,England
West Kennett,SN8,Wiltshire,England
West Kington,SN14,Wiltshire,England
West Kington Wick,,Wiltshire,England
West Knoyle,BA12,Wiltshire,England
West Lavington,SN10,Wiltshire,England
West Overton,SN8,Wiltshire,England
West Stowell,SN8,Wiltshire,England
West Winterslow,SP5,Wiltshire,England
West Yatton,,Wiltshire,England
Westbrook,,Wiltshire,England
Westbury,BA13,Wiltshire,England
Westbury Leigh,BA13,Wiltshire,England
Westcourt,,Wiltshire,England
Westdown Camp,,Wiltshire,England
Westlea,,Wiltshire,England
Westrop,,Wiltshire,England
Westwells,,Wiltshire,England
Westwood,BA15,Wiltshire,England
Wexcombe,SN8,Wiltshire,England
Whaddon,SP5,Wiltshire,England
Whitbourne Moor,,Wiltshire,England
White Cross,,Wiltshire,England
Whiteparish,SP5,Wiltshire,England
Whitepits,,Wiltshire,England
Whitley,,Wiltshire,England
Whittonditch,SN8,Wiltshire,England
Wick,SP5,Wiltshire,England
Widbrook,,Wiltshire,England
Widham,,Wiltshire,England
Wilcot,SN9,Wiltshire,England
Willesley,GL8,Wiltshire,England
Wilsford,SN9,Wiltshire,England
Wilton,SN8,Wiltshire,England
Wingfield,BA14,Wiltshire,England
Winterbourne Bassett,SN4,Wiltshire,England
Winterbourne Dauntsey,SP4,Wiltshire,England
Winterbourne Earls,SP4,Wiltshire,England
