,,North Yorkshire,England
Barmby on the Marsh,DN14,North Yorkshire,England
Barmston,YO25,North Yorkshire,England
Barnoldswick,,North Yorkshire,England
Barrowcliff,,North Yorkshire,England
Barton,DL10,North Yorkshire,England
Barton Hill,,North Yorkshire,England
Barton-le-Street,YO17,North Yorkshire,England
Barton-le-Willows,,North Yorkshire,England
Battersby,TS9,North Yorkshire,England
Beadlam,,North Yorkshire,England
Beal,DN14,North Yorkshire,England
Beamsley,BD23,North Yorkshire,England
Beckermonds,,North Yorkshire,England
Beckwith,,North Yorkshire,England
Beckwithshaw,HG3,North Yorkshire,England
Bedale,DL8,North Yorkshire,England
Bedale Beck,,North Yorkshire,England
Bedlam,,North Yorkshire,England
Beeford,YO25,North Yorkshire,England
Bell Busk,BD23,North Yorkshire,England
Bellasize,DN14,North Yorkshire,England
Bellerby,DL8,North Yorkshire,England
Bempton,,North Yorkshire,England
Beningbrough,YO30,North Yorkshire,England
Bennetland,,North Yorkshire,England
Bentley,,North Yorkshire,England
Berrygate Hill,,North Yorkshire,England
Bessingby,,North Yorkshire,England
Beswick,YO25,North Yorkshire,England
Beverley,,North Yorkshire,England
Beverley and Barmston Drain,,North Yorkshire,England
Bewerley,HG3,North Yorkshire,England
Bewholme,YO25,North Yorkshire,England
Bickerton,LS22,North Yorkshire,England
Bielby,,North Yorkshire,England
Bielby Beck,,North Yorkshire,England
Biggin,LS25,North Yorkshire,England
Bilbrough,YO23,North Yorkshire,England
Bilton,HG1,North Yorkshire,England
Bilton Haggs,,North Yorkshire,England
Binsoe,HG4,North Yorkshire,England
Birdforth,,North Yorkshire,England
Birdforth Beck,,North Yorkshire,England
Birdsall,YO17,North Yorkshire,England
Birkby,DL7,North Yorkshire,England
Birkin,WF11,North Yorkshire,England
Birstwith,HG3,North Yorkshire,England
Bishop Burton,,North Yorkshire,England
Bishop Monkton,HG3,North Yorkshire,England
Bishop Thornton,HG3,North Yorkshire,England
Bishop Wilton,,North Yorkshire,England
Bishopthorpe,YO23,North Yorkshire,England
Bishopton,,North Yorkshire,England
Blackfoss Beck,,North Yorkshire,England
Blacktoft,DN14,North Yorkshire,England
Blackwell,DL2,North Yorkshire,England
Blades,DL11,North Yorkshire,England
Bland Hill,HG3,North Yorkshire,England
Blubberhouses,,North Yorkshire,England
Boltby,YO7,North Yorkshire,England
Bolton,,North Yorkshire,England
Bolton Abbey,BD23,North Yorkshire,England
Bolton Bridge,BD23,North Yorkshire,England
Bolton Percy,,North Yorkshire,England
Bolton-on-Swale,DL10,North Yorkshire,England
Boothferry,,North Yorkshire,England
Booze,,North Yorkshire,England
Bordley,BD23,North Yorkshire,England
Boroughbridge,YO5,North Yorkshire,England
Borrowby,TS13,North Yorkshire,England
Bossall,,North Yorkshire,England
Bouthwaite,,North Yorkshire,England
Boynton,,North Yorkshire,England
Brackenbottom,,North Yorkshire,England
Brackenthwaite,,North Yorkshire,England
Brafferton,,North Yorkshire,England
Braidley,,North Yorkshire,England
Bramley Head,,North Yorkshire,England
Brandesburton,YO25,North Yorkshire,England
Brandsby,YO61,North Yorkshire,England
Brantingham,,North Yorkshire,England
Branton Green,,North Yorkshire,England
Brawby,YO17,North Yorkshire,England
Brawith,,North Yorkshire,England
Braythorn,,North Yorkshire,England
Brayton,YO8,North Yorkshire,England
Brearton,HG3,North Yorkshire,England
Breighton,YO8,North Yorkshire,England
Bridge Hewick,HG4,North Yorkshire,England
Bridgehouse Gate,,North Yorkshire,England
Bridlington,,North Yorkshire,England
Briggswath,,North Yorkshire,England
Brigham,YO25,North Yorkshire,England
Brind,,North Yorkshire,England
Briscoerigg,,North Yorkshire,England
Broad Ings,,North Yorkshire,England
Brokes,,North Yorkshire,England
Brompton,DL6,North Yorkshire,England
Brompton-by-Sawdon,,North Yorkshire,England
Brompton-on-Swale,,North Yorkshire,England
Broomfleet,,North Yorkshire,England
Brough,,North Yorkshire,England
Broughton,BD23,North Yorkshire,England
Broughton Beck,,North Yorkshire,England
Broughton Bridge Beck,,North Yorkshire,England
Brown Bank,,North Yorkshire,England
Bubwith,YO8,North Yorkshire,England
Buckden,BD23,North Yorkshire,England
Buckton,,North Yorkshire,England
Bugthorpe,,North Yorkshire,England
Bullamoor,,North Yorkshire,England
Bulmer,YO60,North Yorkshire,England
Bulmer Beck,,North Yorkshire,England
Burn,YO8,North Yorkshire,England
Burn Bridge,,North Yorkshire,England
Burnby,,North Yorkshire,England
Burneston,DL8,North Yorkshire,England
Burniston,YO13,North Yorkshire,England
Burnsall,BD23,North Yorkshire,England
Burnt Yates,HG3,North Yorkshire,England
Burrill,DL8,North Yorkshire,England
Bursea,,North Yorkshire,England
Burshill,YO25,North Yorkshire,England
Burstwick,,North Yorkshire,England
Burstwick Drain,,North Yorkshire,England
Burtersett,DL8,North Yorkshire,England
Burton Agnes,YO25,North Yorkshire,England
Burton Beck,,North Yorkshire,England
Burton Fleming,YO25,North Yorkshire,England
Burton in Lonsdale,LA6,North Yorkshire,England
Burton Leonard,HG3,North Yorkshire,England
Burton Pidsea,,North Yorkshire,England
Burton Salmon,LS25,North Yorkshire,England
Burythorpe,YO17,North Yorkshire,England
Buttercrambe,,North Yorkshire,England
Butterwick,YO17,North Yorkshire,England
Byland Abbey,,North Yorkshire,England
Calcutt,,North Yorkshire,England
Caldbergh,DL8,North Yorkshire,England
Caldwell,DL11,North Yorkshire,England
Calton,BD23,North Yorkshire,England
Camblesforth,YO8,North Yorkshire,England
Camerton,,North Yorkshire,England
Camp Hill,,North Yorkshire,England
Carlbury,,North Yorkshire,England
Carlesmoor,,North Yorkshire,England
Carleton,BD23,North Yorkshire,England
Carlton,DL8,North Yorkshire,England
Carlton Husthwaite,YO7,North Yorkshire,England
Carlton in Cleveland,TS9,North Yorkshire,England
Carlton Miniott,YO7,North Yorkshire,England
Carnaby,,North Yorkshire,England
Carperby,DL8,North Yorkshire,England
Carr Beck,,North Yorkshire,England
Carthorpe,DL8,North Yorkshire,England
Castle Bolton,DL8,North Yorkshire,England
Castleton,YO21,North Yorkshire,England
Cattal,,North Yorkshire,England
Catterick,DL10,North Yorkshire,England
Catterick Bridge,,North Yorkshire,England
Catterton,LS24,North Yorkshire,England
Catton,YO7,North Yorkshire,England
Catwick,,North Yorkshire,England
Cawkeld,,North Yorkshire,England
Cawood,YO8,North Yorkshire,England
Cawthorne,,North Yorkshire,England
Cawton,,North Yorkshire,England
Cayton,YO11,North Yorkshire,England
Chapel Fields,,North Yorkshire,England
Chapel Haddlesey,YO8,North Yorkshire,England
Chapel-le-Dale,LA6,North Yorkshire,England
Cherry Burton,,North Yorkshire,England
Chop Gate,TS9,North Yorkshire,England
Church End,YO25,North Yorkshire,England
Church Fenton,LS24,North Yorkshire,England
Church Houses,,North Yorkshire,England
Clapham,LA2,North Yorkshire,England
Clapham Green,,North Yorkshire,England
Claxton,,North Yorkshire,England
Cleasby,DL2,North Yorkshire,England
Cleveland Hills,,North Yorkshire,England
Cliffe,YO8,North Yorkshire,England
Clifton,YO30,North Yorkshire,England
Clint,HG3,North Yorkshire,England
Clints,,North Yorkshire,England
Cloughton,YO13,North Yorkshire,England
Cloughton Newlands,YO13,North Yorkshire,England
Cobby Syke,,North Yorkshire,England
Cock Beck,,North Yorkshire,England
Cock Hill,,North Yorkshire,England
Cockayne,,North Yorkshire,England
Cod Beck,,North Yorkshire,England
Colburn,,North Yorkshire,England
Cold Cotes,,North Yorkshire,England
Cold Kirby,YO7,North Yorkshire,England
Colsterdale,HG4,North Yorkshire,England
Colton,LS24,North Yorkshire,England
Commondale,YO21,North Yorkshire,England
Coneysthorpe,,North Yorkshire,England
Coneythorpe,HG5,North Yorkshire,England
Coniston,,North Yorkshire,England
Coniston Cold,BD23,North Yorkshire,England
Conistone,BD23,North Yorkshire,England
Cononley,,North Yorkshire,England
Cononley Woodside,,North Yorkshire,England
Constable Burton,DL8,North Yorkshire,England
Copgrove,HG3,North Yorkshire,England
Copmanthorpe,YO23,North Yorkshire,England
Copt Hewick,HG4,North Yorkshire,England
Cotterdale,DL8,North Yorkshire,England
Cottingham,,North Yorkshire,England
Coulton,,North Yorkshire,England
Countersett,DL8,North Yorkshire,England
Cover,,North Yorkshire,England
Coverham,DL8,North Yorkshire,England
Cowesby,YO7,North Yorkshire,England
Cowling,DL8,North Yorkshire,England
Cowthorpe,LS22,North Yorkshire,England
Coxwold,YO61,North Yorkshire,England
Crackpot,DL11,North Yorkshire,England
Cracoe,BD23,North Yorkshire,England
Crakehill,YO7,North Yorkshire,England
Crambe,,North Yorkshire,England
Crambeck,,North Yorkshire,England
Cranswick,,North Yorkshire,England
Crathorne,TS15,North Yorkshire,England
Cray,BD23,North Yorkshire,England
Crayke,YO61,North Yorkshire,England
Cridling Stubbs,WF11,North Yorkshire,England
Crimple Beck (River Crimple),,North Yorkshire,England
Crockey Hill,YO19,North Yorkshire,England
Croft-on-Tees,DL2,North Yorkshire,England
"Crofts, The",,North Yorkshire,England
Cropton,YO18,North Yorkshire,England
Crosby Court,,North Yorkshire,England
Cross Hills,,North Yorkshire,England
Cross Holme,,North Yorkshire,England
Cross Lanes,,North Yorkshire,England
Crossgates,,North Yorkshire,England
Crowdon,,North Yorkshire,England
Cubeck,,North Yorkshire,England
Cundall,YO61,North Yorkshire,England
Dacre,HG3,North Yorkshire,England
Dacre Banks,HG3,North Yorkshire,England
Dalby,,North Yorkshire,England
Dale End,,North Yorkshire,England
Dallow,,North Yorkshire,England
Dalton,DL11,North Yorkshire,England
Dalton-on-Tees,DL2,North Yorkshire,England
Danby,YO21,North Yorkshire,England
Danby Wiske,DL7,North Yorkshire,England
Danthorpe,,North Yorkshire,England
Darley,HG3,North Yorkshire,England
Darley Head,,North Yorkshire,England
Daw Cross,,North Yorkshire,England
Dawker Hill,,North Yorkshire,England
Deepdale,BD23,North Yorkshire,England
Deerstones,,North Yorkshire,England
Deighton,DL6,North Yorkshire,England
Derwent,,North Yorkshire,England
Dishforth,YO7,North Yorkshire,England
Dove,,North Yorkshire,England
Downholme,DL11,North Yorkshire,England
Draughton,BD23,North Yorkshire,England
Drax,YO8,North Yorkshire,England
Drebley,BD23,North Yorkshire,England
Driffield,YO25,North Yorkshire,England
Driffield Canal,,North Yorkshire,England
Dringhoe,,North Yorkshire,England
Dringhouses,,North Yorkshire,England
Duerley Beck,,North Yorkshire,England
Duggleby,YO17,North Yorkshire,England
Dunnington,YO19,North Yorkshire,England
Dunsley,YO21,North Yorkshire,England
Dunswell,,North Yorkshire,England
Earby Beck,,North Yorkshire,England
Earswick,YO32,North Yorkshire,England
Easby,TS9,North Yorkshire,England
Easington,TS13,North Yorkshire,England
Easington Beck,,North Yorkshire,England
Easingwold,YO6,North Yorkshire,England
East Appleton,DL10,North Yorkshire,England
East Ayton,YO12,North Yorkshire,England
East Barnby,YO21,North Yorkshire,England
East Common,,North Yorkshire,England
East Cottingwith,,North Yorkshire,England
East Cowick,DN14,North Yorkshire,England
East Cowton,DL7,North Yorkshire,England
East Ella,,North Yorkshire,England
East End,,North Yorkshire,England
East Harlsey,DL6,North Yorkshire,England
East Hauxwell,DL8,North Yorkshire,England
East Heslerton,YO17,North Yorkshire,England
East Knapton,YO17,North Yorkshire,England
East Layton,DL11,North Yorkshire,England
East Lutton,YO17,North Yorkshire,England
East Marton,BD23,North Yorkshire,England
East Ness,,North Yorkshire,England
East Newton,,North Yorkshire,England
East Rounton,DL6,North Yorkshire,England
East Witton,DL8,North Yorkshire,England
Eastburn,YO25,North Yorkshire,England
Eastby,BD23,North Yorkshire,England
Eastfield,YO11,North Yorkshire,England
Eastrington,DN14,North Yorkshire,England
Eavestone,HG4,North Yorkshire,England
Ebberston,YO13,North Yorkshire,England
Eggborough,,North Yorkshire,England
Egton,YO21,North Yorkshire,England
Egton Bridge,YO21,North Yorkshire,England
Eldroth,LA2,North Yorkshire,England
Ellerbeck,DL6,North Yorkshire,England
Ellerburn,,North Yorkshire,England
Ellerby,TS13,North Yorkshire,England
Ellerker,,North Yorkshire,England
Ellerton,DL10,North Yorkshire,England
Ellingstring,HG4,North Yorkshire,England
Elloughton,,North Yorkshire,England
Elmswell,YO25,North Yorkshire,England
Elslack,BD23,North Yorkshire,England
Elstronwick,,North Yorkshire,England
Elvington,YO41,North Yorkshire,England
Embsay,BD23,North Yorkshire,England
Enterpen,TS15,North Yorkshire,England
Eppleby,DL11,North Yorkshire,England
Eppleworth,,North Yorkshire,England
Eryholme,DL2,North Yorkshire,England
Escrick,YO19,North Yorkshire,England
Eshton,BD23,North Yorkshire,England
Eshton Beck,,North Yorkshire,England
Esk,,North Yorkshire,England
Esk Valley,,North Yorkshire,England
Etton,,North Yorkshire,England
Everingham,,North Yorkshire,England
Everthorpe,,North Yorkshire,England
Exelby,DL8,North Yorkshire,England
Faceby,TS9,North Yorkshire,England
Fadmoor,YO62,North Yorkshire,England
Fairburn,WF11,North Yorkshire,England
Falsgrave,YO12,North Yorkshire,England
Fangdale Beck,TS9,North Yorkshire,England
Fangfoss,,North Yorkshire,England
Farlington,,North Yorkshire,England
Farnham,HG5,North Yorkshire,England
Farnhill,,North Yorkshire,England
Farnley,LS21,North Yorkshire,England
Fawdington,,North Yorkshire,England
Faxfleet,DN14,North Yorkshire,England
Fearby,HG4,North Yorkshire,England
Feetham,DL11,North Yorkshire,England
Feizor,LA2,North Yorkshire,England
Felixkirk,YO7,North Yorkshire,England
Ferrensby,HG5,North Yorkshire,England
Fewston,HG3,North Yorkshire,England
Fewston Bents,,North Yorkshire,England
Fewston Reservoir,,North Yorkshire,England
Filey,YO14,North Yorkshire,England
Fimber,YO25,North Yorkshire,England
Finghall,DL8,North Yorkshire,England
Firby,,North Yorkshire,England
Fishpool,,North Yorkshire,England
Fitling,,North Yorkshire,England
Flamborough,,North Yorkshire,England
Flamborough Head,,North Yorkshire,England
Flasby,BD23,North Yorkshire,England
Flawith,,North Yorkshire,England
Flaxby,HG5,North Yorkshire,England
Flaxton,YO60,North Yorkshire,England
Fleets,,North Yorkshire,England
Flinton,,North Yorkshire,England
Flixton,YO11,North Yorkshire,England
Foggathorpe,YO8,North Yorkshire,England
Folkton,YO11,North Yorkshire,England
Follifoot,HG3,North Yorkshire,England
Forcett,DL11,North Yorkshire,England
Fordon,YO25,North Yorkshire,England
Foredale,,North Yorkshire,England
Forest Lane Head,,North Yorkshire,England
Forest Moor,,North Yorkshire,England
Foss,,North Yorkshire,England
Foston,,North Yorkshire,England
Foston on the Wolds,YO25,North Yorkshire,England
Foulness,,North Yorkshire,England
Foxholes,YO25,North Yorkshire,England
Foxton,,North Yorkshire,England
Foxup,BD23,North Yorkshire,England
Fraisthorpe,,North Yorkshire,England
Fremington,DL11,North Yorkshire,England
Fridaythorpe,YO25,North Yorkshire,England
Frodingham Beck,,North Yorkshire,England
Fryton,,North Yorkshire,England
Fulford,,North Yorkshire,England
Full Sutton,YO41,North Yorkshire,England
Fylingthorpe,YO22,North Yorkshire,England
Galphay,HG4,North Yorkshire,England
Gammersgill,DL8,North Yorkshire,England
Ganthorpe,YO60,North Yorkshire,England
Ganton,YO12,North Yorkshire,England
Gardham,,North Yorkshire,England
Gargrave,BD23,North Yorkshire,England
Garriston,,North Yorkshire,England
Garton,,North Yorkshire,England
Garton-on-the-wolds,YO25,North Yorkshire,England
Gate Helmsley,YO41,North Yorkshire,England
Gateforth,YO8,North Yorkshire,England
Gatenby,DL7,North Yorkshire,England
Gayle,,North Yorkshire,England
Gayles,DL11,North Yorkshire,England
Gembling,YO25,North Yorkshire,England
Giggleswick,BD24,North Yorkshire,England
Gilberdyke,,North Yorkshire,England
Gill,,North Yorkshire,England
Gill Beck,,North Yorkshire,England
Gillamoor,,North Yorkshire,England
Gilling Beck,,North Yorkshire,England
Gilling East,YO62,North Yorkshire,England
Gilling West,DL10,North Yorkshire,England
Glaisdale,YO21,North Yorkshire,England
Glasshouses,HG3,North Yorkshire,England
Goathland,YO22,North Yorkshire,England
Goldsborough,HG5,North Yorkshire,England
Gollinglith Foot,,North Yorkshire,England
Goodmanham,,North Yorkshire,England
Goole,DN14,North Yorkshire,England
Goulton,,North Yorkshire,England
Gouthwaite Reservoir,,North Yorkshire,England
Gowdall,DN14,North Yorkshire,England
Gowthorpe,,North Yorkshire,England
Goxhill,,North Yorkshire,England
Grafton,,North Yorkshire,England
Grange,TS9,North Yorkshire,England
Gransmoor,YO25,North Yorkshire,England
Grantley,HG4,North Yorkshire,England
Grantley Hall,,North Yorkshire,England
Grassington,BD23,North Yorkshire,England
Great Ayton,TS9,North Yorkshire,England
Great Barugh,YO17,North Yorkshire,England
Great Broughton,TS9,North Yorkshire,England
Great Busby,TS9,North Yorkshire,England
Great Cowden,,North Yorkshire,England
Great Crakehall,DL8,North Yorkshire,England
Great Edstone,YO62,North Yorkshire,England
Great Fencote,DL7,North Yorkshire,England
Great Habton,YO17,North Yorkshire,England
Great Hatfield,,North Yorkshire,England
Great Heck,DN14,North Yorkshire,England
Great Kelk,YO25,North Yorkshire,England
Great Kendale,,North Yorkshire,England
Great Langton,DL7,North Yorkshire,England
Great Ouseburn,,North Yorkshire,England
Great Smeaton,DL6,North Yorkshire,England
Great Thirkleby,,North Yorkshire,England
Green Close,,North Yorkshire,England
Green End,,North Yorkshire,England
Green Hammerton,YO26,North Yorkshire,England
Greenhow Hill,HG3,North Yorkshire,England
Greenoak,,North Yorkshire,England
Greta,,North Yorkshire,England
Grewelthorpe,HG4,North Yorkshire,England
Greygarth,,North Yorkshire,England
Greystonegill,,North Yorkshire,England
Grimston,,North Yorkshire,England
Grindale,,North Yorkshire,England
Grinton,DL11,North Yorkshire,England
Gristhorpe,YO14,North Yorkshire,England
Grosmont,YO22,North Yorkshire,England
Grovehill,,North Yorkshire,England
Gundy,,North Yorkshire,England
Gunnerside,DL11,North Yorkshire,England
Gypsey Race,,North Yorkshire,England
Hackforth,DL8,North Yorkshire,England
Hackness,YO13,North Yorkshire,England
Haisthorpe,YO25,North Yorkshire,England
Hall Garth,,North Yorkshire,England
Halsham,,North Yorkshire,England
Halton East,BD23,North Yorkshire,England
Halton Gill,BD23,North Yorkshire,England
Halton West,BD23,North Yorkshire,England
Hambleton,TS9,North Yorkshire,England
Hampsthwaite,HG3,North Yorkshire,England
Hanlith,BD23,North Yorkshire,England
Hardgate,,North Yorkshire,England
Hardraw,DL8,North Yorkshire,England
Harlow Carr,,North Yorkshire,England
Harlow Hill,,North Yorkshire,England
Harlthorpe,YO8,North Yorkshire,England
Harmby,DL8,North Yorkshire,England
Harome,YO62,North Yorkshire,England
Harpham,YO25,North Yorkshire,England
Harrogate,HG1,North Yorkshire,England
Harswell,,North Yorkshire,England
Hartforth,,North Yorkshire,England
Hartlington,,North Yorkshire,England
Hartoft End,,North Yorkshire,England
Harton,,North Yorkshire,England
Hartwith,,North Yorkshire,England
Harwood Dale,YO13,North Yorkshire,England
Hawes,DL8,North Yorkshire,England
Hawkswick,BD23,North Yorkshire,England
Hawnby,,North Yorkshire,England
Haxby,YO32,North Yorkshire,England
Hayton,,North Yorkshire,England
Hazlewood,,North Yorkshire,England
Healaugh,DL11,North Yorkshire,England
Healey,HG4,North Yorkshire,England
Heathfield,,North Yorkshire,England
Heathwaite,,North Yorkshire,England
Hebden,BD23,North Yorkshire,England
Hedon,,North Yorkshire,England
Hedon Haven,,North Yorkshire,England
Hellifield,BD23,North Yorkshire,England
Hellifield Green,,North Yorkshire,England
Helm,,North Yorkshire,England
Helmsley,YO41,North Yorkshire,England
Helperby,,North Yorkshire,England
Helperthorpe,YO17,North Yorkshire,England
Helwith Bridge,BD24,North Yorkshire,England
Hemingbrough,YO8,North Yorkshire,England
Hensall,DN14,North Yorkshire,England
Hertford,,North Yorkshire,England
Heslington,,North Yorkshire,England
Hessay,,North Yorkshire,England
Hessle,,North Yorkshire,England
Hetton,BD23,North Yorkshire,England
Hew Green,,North Yorkshire,England
Heworth,,North Yorkshire,England
Heyshaw,HG3,North Yorkshire,England
High Bentham,LA2,North Yorkshire,England
High Birstwith,,North Yorkshire,England
High Bradley,,North Yorkshire,England
High Catton,,North Yorkshire,England
High Coniscliffe,DL2,North Yorkshire,England
High Eggborough,,North Yorkshire,England
High Ellington,HG4,North Yorkshire,England
High Harrogate,HG1,North Yorkshire,England
High Hawsker,YO22,North Yorkshire,England
High Hunsley,,North Yorkshire,England
High Hutton,,North Yorkshire,England
High Kilburn,,North Yorkshire,England
High Marishes,,North Yorkshire,England
High Shaw,DL8,North Yorkshire,England
High Stakesby,,North Yorkshire,England
High Worsall,,North Yorkshire,England
Highfield,YO8,North Yorkshire,England
Hilderthorpe,,North Yorkshire,England
Hill End,BD23,North Yorkshire,England
Hill Top,,North Yorkshire,England
Hillam,LS25,North Yorkshire,England
Hilston,,North Yorkshire,England
Hinderwell,TS13,North Yorkshire,England
Hipswell,,North Yorkshire,England
Hirst Courtney,YO8,North Yorkshire,England
Hive,,North Yorkshire,England
Hodge Beck,,North Yorkshire,England
Holbeck,,North Yorkshire,England
Holgate,,North Yorkshire,England
Holly Hill,,North Yorkshire,England
Hollym,,North Yorkshire,England
Holme,LA6,North Yorkshire,England
Holme Green,,North Yorkshire,England
Holme on the Wolds,,North Yorkshire,England
Holme-on-Spalding-Moor,,North Yorkshire,England
Holmpton,,North Yorkshire,England
Holtby,YO19,North Yorkshire,England
Hook,DN14,North Yorkshire,England
Hopperton,,North Yorkshire,England
Hornby,DL6,North Yorkshire,England
Hornsea,,North Yorkshire,England
Hornsea Burton,,North Yorkshire,England
Horsehouse,DL8,North Yorkshire,England
Horton in Ribblesdale,BD24,North Yorkshire,England
Hotham,,North Yorkshire,England
Houlsyke,YO21,North Yorkshire,England
Hovingham,YO62,North Yorkshire,England
Howden,DN14,North Yorkshire,England
Howe,YO7,North Yorkshire,England
Howgill,BD23,North Yorkshire,England
Howsham,YO60,North Yorkshire,England
Hubberholme,BD23,North Yorkshire,England
Huby,LS17,North Yorkshire,England
Hudswell,DL11,North Yorkshire,England
Huggate,,North Yorkshire,England
Humbleton,,North Yorkshire,England
Humbleton Beck,,North Yorkshire,England
Hunmanby,YO14,North Yorkshire,England
Hunmanby Moor,,North Yorkshire,England
Hunsingore,LS22,North Yorkshire,England
Huntington,YO32,North Yorkshire,England
Hunton,DL8,North Yorkshire,England
Hurgill,,North Yorkshire,England
Hurn,,North Yorkshire,England
Husthwaite,YO61,North Yorkshire,England
Hut Green,,North Yorkshire,England
Hutton,,North Yorkshire,England
Hutton Bonville,DL7,North Yorkshire,England
Hutton Buscel,YO13,North Yorkshire,England
Hutton Conyers,HG4,North Yorkshire,England
Hutton Cranswick,YO25,North Yorkshire,England
Hutton Hang,,North Yorkshire,England
Hutton Rudby,TS15,North Yorkshire,England
Hutton Sessay,YO7,North Yorkshire,England
Hutton Wandesley,,North Yorkshire,England
Hutton-le-Hole,YO62,North Yorkshire,England
Huttons Ambo,,North Yorkshire,England
Ickornshaw,,North Yorkshire,England
Ilton,HG4,North Yorkshire,England
Ingerthorpe,HG3,North Yorkshire,England
Ingleby Arncliffe,DL6,North Yorkshire,England
Ingleby Cross,DL6,North Yorkshire,England
Ingleby Greenhow,TS9,North Yorkshire,England
Ingleton,DL2,North Yorkshire,England
Ingmanthorpe,,North Yorkshire,England
Irton,YO12,North Yorkshire,England
Ivelet,DL11,North Yorkshire,England
Jennyfield,,North Yorkshire,England
Junction,,North Yorkshire,England
Kearby Town End,,North Yorkshire,England
Kearton,DL11,North Yorkshire,England
Keasden,LA2,North Yorkshire,England
Keld,DL11,North Yorkshire,England
Keld Houses,,North Yorkshire,England
Keldholme,,North Yorkshire,England
Kelfield,YO19,North Yorkshire,England
Kellingley,WF11,North Yorkshire,England
Kellington,DN14,North Yorkshire,England
Kennythorpe,YO17,North Yorkshire,England
Kepwick,YO7,North Yorkshire,England
Kettlesing,HG3,North Yorkshire,England
Kettlesing Bottom,HG3,North Yorkshire,England
Kettlewell,BD23,North Yorkshire,England
Kex Beck,,North Yorkshire,England
Kexby,YO41,North Yorkshire,England
Key Green,,North Yorkshire,England
Keyingham,,North Yorkshire,England
Keyingham Drain,,North Yorkshire,England
Kilburn,,North Yorkshire,England
Kildale,YO21,North Yorkshire,England
Kildwick,,North Yorkshire,England
Kilham,YO25,North Yorkshire,England
Killinghall,HG3,North Yorkshire,England
Kilnsea,,North Yorkshire,England
Kilnsey,BD23,North Yorkshire,England
Kilnwick,YO25,North Yorkshire,England
Kilnwick Percy,,North Yorkshire,England
Kilpin,DN14,North Yorkshire,England
Kilpin Pike,,North Yorkshire,England
Kingstonia,,North Yorkshire,England
Kiplin,DL10,North Yorkshire,England
Kirby Grindalythe,YO17,North Yorkshire,England
Kirby Hill,DL11,North Yorkshire,England
Kirby Knowle,YO7,North Yorkshire,England
