,,Warwickshire,England
Churchover,CV23,Warwickshire,England
Claverdon,CV35,Warwickshire,England
Claydon,OX17,Warwickshire,England
Cliff,,Warwickshire,England
Clifford Chambers,CV37,Warwickshire,England
Clifton upon Dunsmore,CV23,Warwickshire,England
Cloudesley Bush,,Warwickshire,England
Coalpit Field,,Warwickshire,England
Cock Bevington,,Warwickshire,England
Cole End,,Warwickshire,England
Coleshill,B46,Warwickshire,England
Collycroft,CV12,Warwickshire,England
Combrook,CV35,Warwickshire,England
Copston Magna,LE10,Warwickshire,England
Copt Green,,Warwickshire,England
Corley,CV7,Warwickshire,England
Corley Ash,CV7,Warwickshire,England
Cosford,,Warwickshire,England
Coughton,B49,Warwickshire,England
Coughton Fields,,Warwickshire,England
Coventry Canal,,Warwickshire,England
Crackley,,Warwickshire,England
Cranhill,,Warwickshire,England
Crimscote,,Warwickshire,England
Cubbington,CV32,Warwickshire,England
Danzey Green,,Warwickshire,England
Darley Green,,Warwickshire,England
Darlingscote,,Warwickshire,England
Deppers Bridge,,Warwickshire,England
Devitts Green,,Warwickshire,England
Dordon,,Warwickshire,England
Dorsington,CV37,Warwickshire,England
Draycote,CV23,Warwickshire,England
Drayton,OX15,Warwickshire,England
Duke End,,Warwickshire,England
Dunchurch,CV22,Warwickshire,England
Dunnington,B49,Warwickshire,England
Dunsmore,,Warwickshire,England
Earlswood,B94,Warwickshire,England
Easenhall,CV23,Warwickshire,England
Eathorpe,CV33,Warwickshire,England
Edge Hill,OX15,Warwickshire,England
Edgehill,,Warwickshire,England
Edstone,B95,Warwickshire,England
Emscote,,Warwickshire,England
Ettington,CV37,Warwickshire,England
Exhall,B49,Warwickshire,England
Farnborough,OX17,Warwickshire,England
Fenny Compton,CV33,Warwickshire,England
Fillongley,CV7,Warwickshire,England
Finwood,,Warwickshire,England
Five Ways,,Warwickshire,England
Flecknoe,CV23,Warwickshire,England
Forshaw Heath,,Warwickshire,England
Foul End,,Warwickshire,England
Frankton,CV23,Warwickshire,England
Freasley,,Warwickshire,England
Fulready,CV37,Warwickshire,England
Furnace End,,Warwickshire,England
Galley Common,CV10,Warwickshire,England
Gaydon,CV35,Warwickshire,England
Geat Wolford,,Warwickshire,England
Gibbet Hill,CV4,Warwickshire,England
Gilson,,Warwickshire,England
Goodyers End,CV12,Warwickshire,England
Gorcott Hill,B80,Warwickshire,England
Grand Union Canal,,Warwickshire,England
Grandborough,CV23,Warwickshire,England
Great Alne,B49,Warwickshire,England
Green End,,Warwickshire,England
Green Lane,,Warwickshire,England
Grendon,CV9,Warwickshire,England
Grendon Common,,Warwickshire,England
Greystones,,Warwickshire,England
Griff,CV10,Warwickshire,England
Gross Green,,Warwickshire,England
Grove End,,Warwickshire,England
Halford,CV36,Warwickshire,England
Hall End,,Warwickshire,England
Hallend,,Warwickshire,England
Hampton Lucy,CV35,Warwickshire,England
Hampton Magna,,Warwickshire,England
Hampton on the Hill,CV35,Warwickshire,England
Harborough Magna,CV23,Warwickshire,England
Harborough Parva,,Warwickshire,England
Harbury,CV33,Warwickshire,England
Hartshill,CV10,Warwickshire,England
Hartshill Green,,Warwickshire,England
Haseley,CV35,Warwickshire,England
Haseley Green,,Warwickshire,England
Haseley Knob,,Warwickshire,England
Haselor,B49,Warwickshire,England
Hatton,CV35,Warwickshire,England
Heath End,,Warwickshire,England
Heathcote,,Warwickshire,England
Henley-in-Arden,B95,Warwickshire,England
High Cross,,Warwickshire,England
Hill,,Warwickshire,England
Hill Top,CV11,Warwickshire,England
Hill Wootton,,Warwickshire,England
Hillmorton,CV22,Warwickshire,England
Hockley Heath,B94,Warwickshire,England
Hollyhurst,,Warwickshire,England
Holywell,,Warwickshire,England
Honiley,CV8,Warwickshire,England
Honington,CV36,Warwickshire,England
Hopsford,,Warwickshire,England
Howe Green,,Warwickshire,England
Hunningham,CV33,Warwickshire,England
Hunningham Hill,,Warwickshire,England
Hunts Green,,Warwickshire,England
Hurley,CV9,Warwickshire,England
Hurley Common,,Warwickshire,England
Idlicote,CV36,Warwickshire,England
Illshaw Heath,,Warwickshire,England
Ilmington,CV36,Warwickshire,England
Ingon,CV37,Warwickshire,England
Iron Cross,WR11,Warwickshire,England
Itchen,,Warwickshire,England
Kemps Green,,Warwickshire,England
Kenilworth,CV8,Warwickshire,England
Kineton,CV35,Warwickshire,England
Kingsbury,,Warwickshire,England
Kingswood,B94,Warwickshire,England
Kingswood Brook,,Warwickshire,England
Kinwalsey,,Warwickshire,England
Kirby Corner,CV4,Warwickshire,England
Kite Green,,Warwickshire,England
Kites Hardwick,CV23,Warwickshire,England
Knightcote,CV33,Warwickshire,England
Ladbroke,CV33,Warwickshire,England
Ladyes Hill,,Warwickshire,England
Langley,CV37,Warwickshire,England
Langley Green,,Warwickshire,England
Lapworth,B94,Warwickshire,England
Lawford Heath,,Warwickshire,England
Lea Marston,,Warwickshire,England
Leam,,Warwickshire,England
Leamington Hastings,CV23,Warwickshire,England
Leek Wootton,CV35,Warwickshire,England
Leicester Grange,,Warwickshire,England
Lighthorne,CV35,Warwickshire,England
Lighthorne Heath,,Warwickshire,England
Lighthorne Rough,,Warwickshire,England
Lillington,,Warwickshire,England
Little Alne,B95,Warwickshire,England
Little Britain,,Warwickshire,England
Little Compton,GL56,Warwickshire,England
Little Kineton,CV35,Warwickshire,England
Little Lawford,CV23,Warwickshire,England
Little Morrell,,Warwickshire,England
Little Packington,,Warwickshire,England
Little Walton,,Warwickshire,England
Little Warton,,Warwickshire,England
Little Wolford,CV36,Warwickshire,England
Littlewood Green,,Warwickshire,England
Littleworth,,Warwickshire,England
Long Compton,CV36,Warwickshire,England
Long Itchington,CV23,Warwickshire,England
Long Lawford,CV23,Warwickshire,England
Long Marston,CV37,Warwickshire,England
Longbridge,CV34,Warwickshire,England
Lower Binton,,Warwickshire,England
Lower Brailes,OX15,Warwickshire,England
Lower Clopton,,Warwickshire,England
Lower Green,,Warwickshire,England
Lower Norton,,Warwickshire,England
Lower Quinton,CV37,Warwickshire,England
Lower Shuckburgh,NN11,Warwickshire,England
Lower Tysoe,CV35,Warwickshire,England
Lowsonford,B95,Warwickshire,England
Loxley,CV35,Warwickshire,England
Luddington,CV37,Warwickshire,England
Lye Green,,Warwickshire,England
Mancetter,CV9,Warwickshire,England
Mappleborough Green,B80,Warwickshire,England
Marlcliff,,Warwickshire,England
Marston,,Warwickshire,England
Marston Doles,,Warwickshire,England
Marston Jabbett,,Warwickshire,England
Marton,CV23,Warwickshire,England
Marton Moor,,Warwickshire,England
Maxstoke,B46,Warwickshire,England
Middle Tysoe,CV35,Warwickshire,England
Middleton,,Warwickshire,England
Middletown,,Warwickshire,England
Milverton,,Warwickshire,England
Monks Kirby,CV23,Warwickshire,England
Monwode Lea,,Warwickshire,England
Moreton Morrell,CV35,Warwickshire,England
Moreton Paddox,,Warwickshire,England
Morton Bagot,B80,Warwickshire,England
Mount Pleasant,,Warwickshire,England
Mousley End,,Warwickshire,England
Myton,,Warwickshire,England
Napton on the Hill,CV23,Warwickshire,England
Nebsworth,,Warwickshire,England
Nether Whitacre,B46,Warwickshire,England
Nethercote,OX17,Warwickshire,England
New Arley,CV7,Warwickshire,England
New Bilton,,Warwickshire,England
New End,B96,Warwickshire,England
Newbold on Avon,CV21,Warwickshire,England
Newbold Pacey,CV35,Warwickshire,England
Newbold-on-Stour,,Warwickshire,England
Newhall Green,,Warwickshire,England
Newnham,NN11,Warwickshire,England
Newton,CV23,Warwickshire,England
Newton Regis,,Warwickshire,England
Northend,CV33,Warwickshire,England
Norton Lindsey,CV35,Warwickshire,England
Nuneaton,CV11,Warwickshire,England
Nuthurst,B94,Warwickshire,England
Offchurch,CV33,Warwickshire,England
Old Arley,CV7,Warwickshire,England
Old Milverton,CV32,Warwickshire,England
Oldberrow,B95,Warwickshire,England
Oldbury,CV10,Warwickshire,England
Outhill,,Warwickshire,England
Outwoods,,Warwickshire,England
Over Whitacre,B46,Warwickshire,England
Overslade,,Warwickshire,England
Oversley Green,B49,Warwickshire,England
Oxford Canal,,Warwickshire,England
Oxhill,CV35,Warwickshire,England
Packmores,,Warwickshire,England
Packwood,,Warwickshire,England
Packwood Gullet,,Warwickshire,England
Pailton,CV23,Warwickshire,England
Pathlow,,Warwickshire,England
Piccadilly,,Warwickshire,England
Pillerton Hersey,CV35,Warwickshire,England
Pillerton Priors,CV35,Warwickshire,England
Pinley Green,CV35,Warwickshire,England
Plough Hill,,Warwickshire,England
Polesworth,,Warwickshire,England
Preston Bagot,B95,Warwickshire,England
Preston Fields,,Warwickshire,England
Preston Green,,Warwickshire,England
Preston on Stour,CV37,Warwickshire,England
Princethorpe,CV23,Warwickshire,England
Priors Hardwick,CV23,Warwickshire,England
Priors Marston,CV23,Warwickshire,England
Radford Semele,CV31,Warwickshire,England
Radway,CV35,Warwickshire,England
Ratley,OX15,Warwickshire,England
Red Hill,B49,Warwickshire,England
Ridge Lane,CV10,Warwickshire,England
Rowington,CV35,Warwickshire,England
Rowington Green,CV35,Warwickshire,England
Royal Leamington Spa,CV32,Warwickshire,England
Rugby,CV21,Warwickshire,England
Ryton,,Warwickshire,England
Ryton-on-Dunsmore,CV8,Warwickshire,England
Salford Priors,WR11,Warwickshire,England
Salter Street,,Warwickshire,England
Sambourne,B96,Warwickshire,England
Sawbridge,,Warwickshire,England
Seckington,,Warwickshire,England
Shelfield,,Warwickshire,England
Shelfield Green,,Warwickshire,England
Shelford,,Warwickshire,England
Sherbourne,CV35,Warwickshire,England
Shilton,CV7,Warwickshire,England
Shipston-on-Stour,CV36,Warwickshire,England
Shottery,CV37,Warwickshire,England
Shotteswell,OX17,Warwickshire,England
Shrewley,CV35,Warwickshire,England
Shrewley Common,,Warwickshire,England
Shustoke,B46,Warwickshire,England
Shuttington,,Warwickshire,England
Smockington,,Warwickshire,England
Snitterfield,CV37,Warwickshire,England
Southam,CV33,Warwickshire,England
Sowe,,Warwickshire,England
Spernall,,Warwickshire,England
St Helena,,Warwickshire,England
St Johns,,Warwickshire,England
St Nicolas Park,CV11,Warwickshire,England
Stareton,,Warwickshire,England
Stockingford,CV10,Warwickshire,England
Stockton,CV23,Warwickshire,England
Stoke End,,Warwickshire,England
Stoneleigh,CV8,Warwickshire,England
Stoneton,,Warwickshire,England
Stour,,Warwickshire,England
Stourton,CV36,Warwickshire,England
Stourton Hill,,Warwickshire,England
Stratford upon-Avon,,Warwickshire,England
Stratford-upon-Avon Canal,,Warwickshire,England
Street Ashton,,Warwickshire,England
Stretton under Fosse,CV23,Warwickshire,England
Stretton-on-Dunsmore,CV23,Warwickshire,England
Stretton-on-Fosse,GL56,Warwickshire,England
Studley,B80,Warwickshire,England
Sutton-under-Brailes,CV36,Warwickshire,England
Tachbrook Mallory,,Warwickshire,England
Tame,,Warwickshire,England
Tanworth-in-Arden,,Warwickshire,England
Tattle Bank,,Warwickshire,England
Temple Grafton,B49,Warwickshire,England
Temple Herdewyke,,Warwickshire,England
The Cape,,Warwickshire,England
The Green,,Warwickshire,England
The Model Village,,Warwickshire,England
The Spring,,Warwickshire,England
Thurlaston,CV23,Warwickshire,England
Tiddington,CV37,Warwickshire,England
Tidmington,CV36,Warwickshire,England
Toft,,Warwickshire,England
Tollbar End,,Warwickshire,England
Tomlow,,Warwickshire,England
Tredington,CV36,Warwickshire,England
Ufton,CV33,Warwickshire,England
Ullenhall,B95,Warwickshire,England
Upper Brailes,OX15,Warwickshire,England
Upper Quinton,CV37,Warwickshire,England
Upper Tysoe,CV35,Warwickshire,England
Upton,OX15,Warwickshire,England
Walcote,B49,Warwickshire,England
Walton,CV35,Warwickshire,England
Wappenbury,CV33,Warwickshire,England
Warmington,OX17,Warwickshire,England
Warton,,Warwickshire,England
Warwick,CV31,Warwickshire,England
Washford,,Warwickshire,England
Wasperton,CV35,Warwickshire,England
Waste Green,,Warwickshire,England
Water Orton,B46,Warwickshire,England
Weddington,CV10,Warwickshire,England
Weethley,B49,Warwickshire,England
Weethley Bank,,Warwickshire,England
Weethley Gate,,Warwickshire,England
Welford-on-Avon,CV37,Warwickshire,England
Wellesbourne,CV35,Warwickshire,England
Weston in Arden,,Warwickshire,England
Weston under Wetherley,CV33,Warwickshire,England
Weston-on-Avon,,Warwickshire,England
Westwood Heath,CV4,Warwickshire,England
Wharf,,Warwickshire,England
Whatcote,CV36,Warwickshire,England
Whateley,,Warwickshire,England
Whichford,CV36,Warwickshire,England
Whitacre Heath,,Warwickshire,England
Whitemoor,,Warwickshire,England
WHITESTONE,CV11,Warwickshire,England
Whitnash,CV31,Warwickshire,England
Whittington,,Warwickshire,England
Wibtoft,,Warwickshire,England
Wigston Parva,LE10,Warwickshire,England
Willey,CV23,Warwickshire,England
Willington,CV36,Warwickshire,England
Willoughby,CV23,Warwickshire,England
Wilmcote,CV37,Warwickshire,England
Wimpstone,CV37,Warwickshire,England
Winderton,OX15,Warwickshire,England
Windy Arbour,,Warwickshire,England
Wishaw,,Warwickshire,England
Witherley,CV9,Warwickshire,England
Withybrook,CV7,Warwickshire,England
Wixford,B49,Warwickshire,England
Wolfhampcote,CV23,Warwickshire,England
Wolston,CV8,Warwickshire,England
Wolverton,CV35,Warwickshire,England
Wolvey,LE10,Warwickshire,England
Wolvey Heath,,Warwickshire,England
Wood Bevington,,Warwickshire,England
Wood End,B94,Warwickshire,England
Woodloes Park,,Warwickshire,England
Woolscott,CV23,Warwickshire,England
Wootton Wawen,B95,Warwickshire,England
Wormleighton,CV23,Warwickshire,England
Wroxhall,CV35,Warwickshire,England
Yarningale Common,,Warwickshire,England
Yew Green,,Warwickshire,England
