,,Northamptonshire,England
Far Cotton,NN4,Northamptonshire,England
Farndish,NN29,Northamptonshire,England
Farthinghoe,NN13,Northamptonshire,England
Farthingstone,NN12,Northamptonshire,England
Finedon,NN9,Northamptonshire,England
Flore,NN7,Northamptonshire,England
Foscote,,Northamptonshire,England
Fotheringhay,PE8,Northamptonshire,England
Furtho,,Northamptonshire,England
Gayton,NN7,Northamptonshire,England
Geddington,NN14,Northamptonshire,England
Glapthorn,PE8,Northamptonshire,England
Grafton Regis,NN12,Northamptonshire,England
Grafton Underwood,NN14,Northamptonshire,England
Grand Union Canal,,Northamptonshire,England
Great Addington,NN14,Northamptonshire,England
Great Billing,NN3,Northamptonshire,England
Great Brington,NN7,Northamptonshire,England
Great Cransley,NN14,Northamptonshire,England
Great Doddington,NN29,Northamptonshire,England
Great Gidding,,Northamptonshire,England
Great Harrowden,NN9,Northamptonshire,England
Great Houghton,NN4,Northamptonshire,England
Great Oakley,NN14,Northamptonshire,England
Great Ouse,,Northamptonshire,England
Great Oxendon,LE16,Northamptonshire,England
Great Purston,,Northamptonshire,England
Greatworth,OX17,Northamptonshire,England
Greens Norton,NN11,Northamptonshire,England
Grendon,NN7,Northamptonshire,England
Gretton,NN17,Northamptonshire,England
Grimscote,NN12,Northamptonshire,England
Guilsborough,NN6,Northamptonshire,England
Hackleton,NN7,Northamptonshire,England
Halse,NN13,Northamptonshire,England
Hanging Houghton,,Northamptonshire,England
Hannington,NN6,Northamptonshire,England
Hardingstone,NN4,Northamptonshire,England
Hardwick,NN9,Northamptonshire,England
Harlestone,NN7,Northamptonshire,England
Harpole,NN7,Northamptonshire,England
Harrington,NN6,Northamptonshire,England
Harringworth,NN17,Northamptonshire,England
Hartwell,NN7,Northamptonshire,England
Haselbech,NN6,Northamptonshire,England
Hatton Park,,Northamptonshire,England
Hellidon,NN11,Northamptonshire,England
Helmdon,NN13,Northamptonshire,England
Hemington,PE8,Northamptonshire,England
Higham Ferrers,NN10,Northamptonshire,England
Hinton,NN11,Northamptonshire,England
Hinton-in-the-Hedges,NN13,Northamptonshire,England
Holcot,NN6,Northamptonshire,England
Holdenby,NN6,Northamptonshire,England
Hollowell,NN6,Northamptonshire,England
Horton,NN7,Northamptonshire,England
Hulcote,,Northamptonshire,England
Irchester,NN29,Northamptonshire,England
Irthlingborough,NN9,Northamptonshire,England
Ise,,Northamptonshire,England
Isham,NN14,Northamptonshire,England
Islip,NN14,Northamptonshire,England
Kelmarsh,NN6,Northamptonshire,England
Kettering,NN15,Northamptonshire,England
Kilsby,CV23,Northamptonshire,England
Kings Sutton,,Northamptonshire,England
Kingsley Park,,Northamptonshire,England
Kingsthorpe,NN2,Northamptonshire,England
Kingsthorpe Hollow,,Northamptonshire,England
Kislingbury,NN7,Northamptonshire,England
Knuston,,Northamptonshire,England
Lamport,NN6,Northamptonshire,England
Laxton,NN17,Northamptonshire,England
Leam,,Northamptonshire,England
Lilbourne,CV23,Northamptonshire,England
Litchborough,NN12,Northamptonshire,England
Little Addington,NN14,Northamptonshire,England
Little Billing,NN3,Northamptonshire,England
Little Brington,NN7,Northamptonshire,England
Little Cransley,,Northamptonshire,England
Little Creaton,,Northamptonshire,England
Little Everdon,,Northamptonshire,England
Little Harrowden,NN9,Northamptonshire,England
Little Houghton,NN7,Northamptonshire,England
Little Irchester,,Northamptonshire,England
Little Oakley,NN18,Northamptonshire,England
Loddington,NN14,Northamptonshire,England
Long Buckby,NN6,Northamptonshire,England
Long Buckby Wharf,,Northamptonshire,England
Lower Benefield,PE8,Northamptonshire,England
Lower Boddington,NN11,Northamptonshire,England
Lower Catesby,,Northamptonshire,England
Lower End,NN7,Northamptonshire,England
Lower Middleton Cheney,,Northamptonshire,England
Lower Thorpe,OX17,Northamptonshire,England
Lower Weedon,,Northamptonshire,England
Lowick,NN14,Northamptonshire,England
Luddington in the Brook,PE8,Northamptonshire,England
Lutton,PE8,Northamptonshire,England
Maidford,NN12,Northamptonshire,England
Maidwell,NN6,Northamptonshire,England
Marston St Lawrence,OX17,Northamptonshire,England
Marston Trussell,LE16,Northamptonshire,England
Mears Ashby,NN6,Northamptonshire,England
Middleton,LE16,Northamptonshire,England
Middleton Cheney,OX17,Northamptonshire,England
Milthorpe,,Northamptonshire,England
Milton Malsor,NN7,Northamptonshire,England
Moreton Pinkney,NN11,Northamptonshire,England
Moulton,NN3,Northamptonshire,England
Moulton Park,,Northamptonshire,England
Muscott,,Northamptonshire,England
Naseby,NN6,Northamptonshire,England
Nassington,PE8,Northamptonshire,England
Nene,,Northamptonshire,England
Nether Heyford,NN7,Northamptonshire,England
New Barton,,Northamptonshire,England
New Duston,NN5,Northamptonshire,England
Newbottle,OX17,Northamptonshire,England
Newnham,NN11,Northamptonshire,England
Newton,CV23,Northamptonshire,England
Newton Bromswold,,Northamptonshire,England
Nobottle,NN7,Northamptonshire,England
Northampton,NN1,Northamptonshire,England
Northfield,,Northamptonshire,England
Norton,NN11,Northamptonshire,England
Old,NN6,Northamptonshire,England
Old Stratford,MK19,Northamptonshire,England
Orlingbury,NN14,Northamptonshire,England
Orton,NN14,Northamptonshire,England
Oundle,PE8,Northamptonshire,England
Overstone,NN6,Northamptonshire,England
Overthorpe,OX17,Northamptonshire,England
Papley,,Northamptonshire,England
Pattishall,NN12,Northamptonshire,England
Paulerspury,NN12,Northamptonshire,England
Piddington,NN7,Northamptonshire,England
Pilton,LE15,Northamptonshire,England
Pipewell,NN14,Northamptonshire,England
Pitsford,NN6,Northamptonshire,England
Pitsford Reservoir,,Northamptonshire,England
Plumpton,,Northamptonshire,England
Plumpton End,NN12,Northamptonshire,England
Polebrook,PE8,Northamptonshire,England
Polopit,,Northamptonshire,England
Potterspury,NN12,Northamptonshire,England
Preston Capes,NN11,Northamptonshire,England
Preston Deanery,NN7,Northamptonshire,England
Pury End,NN12,Northamptonshire,England
Puxley,,Northamptonshire,England
Pytchley,NN14,Northamptonshire,England
Quinbury End,,Northamptonshire,England
Quinton,NN7,Northamptonshire,England
Radstone,NN13,Northamptonshire,England
Raunds,NN9,Northamptonshire,England
Ravensthorpe,NN6,Northamptonshire,England
Ringstead,NN14,Northamptonshire,England
Road Weedon,,Northamptonshire,England
Roade,NN7,Northamptonshire,England
Rockingham,LE16,Northamptonshire,England
Rothersthorpe,NN7,Northamptonshire,England
Rothwell,NN14,Northamptonshire,England
Round Spinney,,Northamptonshire,England
Rushden,NN10,Northamptonshire,England
Rushton,NN14,Northamptonshire,England
Scaldwell,NN6,Northamptonshire,England
Shelfleys,,Northamptonshire,England
Shotley,,Northamptonshire,England
Shutlanger,NN12,Northamptonshire,England
Sibbertoft,LE16,Northamptonshire,England
Silverstone,NN12,Northamptonshire,England
Slapton,NN12,Northamptonshire,England
Slipton,NN14,Northamptonshire,England
Southwick,PE8,Northamptonshire,England
Spinney Hill,,Northamptonshire,England
Spratton,NN6,Northamptonshire,England
Stanford on Avon,NN6,Northamptonshire,England
Stanion,NN14,Northamptonshire,England
Stanwick,NN9,Northamptonshire,England
Staverton,NN11,Northamptonshire,England
Stoke Albany,LE16,Northamptonshire,England
Stoke Bruerne,NN12,Northamptonshire,England
Stoke Doyle,PE8,Northamptonshire,England
Strixton,NN29,Northamptonshire,England
Sudborough,NN14,Northamptonshire,England
Sulgrave,OX17,Northamptonshire,England
Sutton Bassett,LE16,Northamptonshire,England
Syresham,NN13,Northamptonshire,England
Sywell,NN6,Northamptonshire,England
Tansor,PE8,Northamptonshire,England
Teeton,NN6,Northamptonshire,England
The Green,,Northamptonshire,England
Thenford,OX17,Northamptonshire,England
Thornby,NN6,Northamptonshire,England
Thorpe Malsor,NN14,Northamptonshire,England
Thorpe Mandeville,OX17,Northamptonshire,England
Thorpe Underwood,,Northamptonshire,England
Thorpe Waterville,NN14,Northamptonshire,England
Thrapston,NN14,Northamptonshire,England
Thurning,PE8,Northamptonshire,England
Tiffield,NN12,Northamptonshire,England
Til,,Northamptonshire,England
Titchmarsh,NN14,Northamptonshire,England
Tove,,Northamptonshire,England
Towcester,NN12,Northamptonshire,England
Twywell,NN14,Northamptonshire,England
Upper Astrop,OX17,Northamptonshire,England
Upper Benefield,PE8,Northamptonshire,England
Upper Boddington,NN11,Northamptonshire,England
Upper Catesby,,Northamptonshire,England
Upper Heyford,,Northamptonshire,England
Upper Stowe,NN7,Northamptonshire,England
Upper Weedon,NN7,Northamptonshire,England
Upton,NN5,Northamptonshire,England
Wadenhoe,PE8,Northamptonshire,England
Wakerley,LE15,Northamptonshire,England
Walgrave,NN6,Northamptonshire,England
Walton Grounds,,Northamptonshire,England
Wappenham,NN12,Northamptonshire,England
Warkton,NN16,Northamptonshire,England
Warkworth,OX17,Northamptonshire,England
Warmington,OX17,Northamptonshire,England
Warmonds Hill,,Northamptonshire,England
Watford,NN6,Northamptonshire,England
Weedon Bec,NN7,Northamptonshire,England
Weedon Lois,NN12,Northamptonshire,England
Weekley,NN16,Northamptonshire,England
Weldon,NN17,Northamptonshire,England
Welford,NN6,Northamptonshire,England
Welland,,Northamptonshire,England
Wellingborough,NN8,Northamptonshire,England
Welton,NN11,Northamptonshire,England
West Farndon,NN11,Northamptonshire,England
West Haddon,NN6,Northamptonshire,England
Westhorp,,Northamptonshire,England
Weston,NN12,Northamptonshire,England
Weston by Welland,LE16,Northamptonshire,England
Weston Favell,NN3,Northamptonshire,England
Whilton,NN11,Northamptonshire,England
Whilton Locks,,Northamptonshire,England
Whiston,NN7,Northamptonshire,England
White Hills,,Northamptonshire,England
Whitfield,NN13,Northamptonshire,England
Whittlebury,NN12,Northamptonshire,England
Wicken,MK19,Northamptonshire,England
Wigsthorpe,NN14,Northamptonshire,England
Wilbarston,LE16,Northamptonshire,England
Wilby,NN8,Northamptonshire,England
Willow Brook,,Northamptonshire,England
Winwick,NN6,Northamptonshire,England
Wollaston,NN29,Northamptonshire,England
Wood Burcote,NN12,Northamptonshire,England
Woodend,NN12,Northamptonshire,England
Woodford,NN14,Northamptonshire,England
Woodford Halse,NN11,Northamptonshire,England
Woodnewton,PE8,Northamptonshire,England
Woodwell,,Northamptonshire,England
Wootton,NN4,Northamptonshire,England
Wothorpe,PE9,Northamptonshire,England
Yardley Gobion,NN12,Northamptonshire,England
Yardley Hastings,NN7,Northamptonshire,England
Yarwell,PE8,Northamptonshire,England
Yelvertoft,NN6,Northamptonshire,England
