,,County Antrim,Northern Ireland
Rathlin island,BT54,County Antrim,Northern Ireland
Revallagh,,County Antrim,Northern Ireland
Staffordstown,,County Antrim,Northern Ireland
Stonyford,,County Antrim,Northern Ireland
Straid,BT39,County Antrim,Northern Ireland
Stranocum,,County Antrim,Northern Ireland
Templepatrick,BT39,County Antrim,Northern Ireland
Templeshanbo,,County Antrim,Northern Ireland
The Diamond,,County Antrim,Northern Ireland
The Dry Arch,,County Antrim,Northern Ireland
The Five Roads,,County Antrim,Northern Ireland
The Spa,,County Antrim,Northern Ireland
Toome,,County Antrim,Northern Ireland
Toomebridge,BT41,County Antrim,Northern Ireland
Waterfoot,,County Antrim,Northern Ireland
Whiteabbey,,County Antrim,Northern Ireland
Whitehead,BT38,County Antrim,Northern Ireland
Whiteside Corner,,County Antrim,Northern Ireland
Woodburn,,County Antrim,Northern Ireland
Woodgreen,,County Antrim,Northern Ireland
