,,Fife,Scotland
Leven,KY8,Fife,Scotland
Leven Links,,Fife,Scotland
Limekilns,KY11,Fife,Scotland
Lindores,KY14,Fife,Scotland
Linktown,KY1,Fife,Scotland
Lochfitty Burn,,Fife,Scotland
Lochgelly,KY5,Fife,Scotland
Lochore,KY5,Fife,Scotland
Logie,KY15,Fife,Scotland
Low Torry,KY12,Fife,Scotland
Low Valleyfield,,Fife,Scotland
Lower Largo,KY8,Fife,Scotland
Lucklawhill,KY16,Fife,Scotland
Lumphinnans,KY4,Fife,Scotland
Luthrie,KY15,Fife,Scotland
Macedonia,,Fife,Scotland
Markinch,KY7,Fife,Scotland
Methil,KY8,Fife,Scotland
Methilhill,,Fife,Scotland
Milesmark,KY12,Fife,Scotland
Mills,,Fife,Scotland
Milton of Balgonie,KY7,Fife,Scotland
Monimail,KY15,Fife,Scotland
Monkstown,,Fife,Scotland
Moonzie,KY15,Fife,Scotland
Muiredge,,Fife,Scotland
Muirhead,KY15,Fife,Scotland
Newburgh,KY14,Fife,Scotland
Newliston,,Fife,Scotland
Newmills,,Fife,Scotland
Newport-on-Tay,DD6,Fife,Scotland
Newton of Balcormo,,Fife,Scotland
Newton of Falkland,KY15,Fife,Scotland
North Queensferry,KY11,Fife,Scotland
Oakley,KY12,Fife,Scotland
Ore,,Fife,Scotland
Orrock,,Fife,Scotland
Osnaburgh (Dairsie),,Fife,Scotland
Panhall,,Fife,Scotland
Parbroath,,Fife,Scotland
Parkhill,,Fife,Scotland
Parkneuk,,Fife,Scotland
Pathhead,KY1,Fife,Scotland
Pattiesmuir,,Fife,Scotland
Peat Inn,KY15,Fife,Scotland
Pitcorthie,,Fife,Scotland
Pitlessie,KY15,Fife,Scotland
Pitscottie,KY15,Fife,Scotland
Pittenweem,KY10,Fife,Scotland
Pitteuchar,,Fife,Scotland
Port Brae,,Fife,Scotland
Queensway,,Fife,Scotland
Radernie,,Fife,Scotland
Ramornie,,Fife,Scotland
Rathillet,KY15,Fife,Scotland
Rimbleton,,Fife,Scotland
Rosyth,KY11,Fife,Scotland
Saline,KY12,Fife,Scotland
Scoonie,,Fife,Scotland
Shires Mill,,Fife,Scotland
Sillerhole,,Fife,Scotland
Sinclairtown,,Fife,Scotland
Smeaton,,Fife,Scotland
Smithy Hill,,Fife,Scotland
South Parks,,Fife,Scotland
South Straiton,,Fife,Scotland
Springfield,KY15,Fife,Scotland
St Andrews,KY16,Fife,Scotland
St Monance,,Fife,Scotland
Star,KY7,Fife,Scotland
Steelend,,Fife,Scotland
Stenton,,Fife,Scotland
Strathkinness,KY16,Fife,Scotland
Strathmiglo,KY14,Fife,Scotland
Stravithie,KY16,Fife,Scotland
Tanshall,,Fife,Scotland
Tayport,DD6,Fife,Scotland
Templehall,,Fife,Scotland
Thornton,KY1,Fife,Scotland
Torryburn,KY12,Fife,Scotland
Townhill,KY12,Fife,Scotland
Upper Kenley,,Fife,Scotland
Upper Largo (Kirkton of Largo),,Fife,Scotland
Wellwood,KY12,Fife,Scotland
West Wemyss,KY1,Fife,Scotland
Windygates,,Fife,Scotland
Woodend,,Fife,Scotland
Woodhaven,DD6,Fife,Scotland
Woodside,KY7,Fife,Scotland
Wormit,DD6,Fife,Scotland
