,,Berkshire,England
Churchend,,Berkshire,England
Cippenham,SL1,Berkshire,England
Clapton,,Berkshire,England
Clay Hill,,Berkshire,England
Clewer Green,,Berkshire,England
Clewer New Town,,Berkshire,England
Clewer Village,SL4,Berkshire,England
Cockpole Green,RG10,Berkshire,England
Cold Ash,RG18,Berkshire,England
Cold Harbour,,Berkshire,England
Coley,,Berkshire,England
College Town,GU47,Berkshire,England
Colnbrook,SL3,Berkshire,England
Colne Brook,,Berkshire,England
Colthrop,,Berkshire,England
Combe,RG20,Berkshire,England
Compton,RG20,Berkshire,England
Cookham,SL6,Berkshire,England
Cookham Dean,SL6,Berkshire,England
Cookham Rise,SL6,Berkshire,England
Cox Green,,Berkshire,England
Cranbourne,SL4,Berkshire,England
Crazies Hill,RG10,Berkshire,England
Crockham Heath,,Berkshire,England
Crookham,RG19,Berkshire,England
Crown Wood,,Berkshire,England
Crowthorne,RG45,Berkshire,England
Curridge,RG18,Berkshire,England
Datchet,SL3,Berkshire,England
Datchet Common,,Berkshire,England
Dedworth,,Berkshire,England
Donnington,RG14,Berkshire,England
Dorney Reach,,Berkshire,England
Dowlesgreen,,Berkshire,England
Downend,RG20,Berkshire,England
Earley,,Berkshire,England
East Burnham,,Berkshire,England
East Fields,,Berkshire,England
East Garston,RG17,Berkshire,England
East Ilsley,RG20,Berkshire,England
Eastbury,RG17,Berkshire,England
Easthampstead,RG12,Berkshire,England
Eastheath,RG41,Berkshire,England
Easton,,Berkshire,England
Eddington,RG17,Berkshire,England
Egypt,,Berkshire,England
Elcot,,Berkshire,England
Eling,,Berkshire,England
Emmbrook,RG41,Berkshire,England
Emmer Green,RG4,Berkshire,England
Enborne,RG20,Berkshire,England
Englefield,RG7,Berkshire,England
Eton,SL4,Berkshire,England
Eton Wick,SL4,Berkshire,England
Farley Hill,RG7,Berkshire,England
Farnborough,OX12,Berkshire,England
Fawley,OX12,Berkshire,England
Fifield,SL4,Berkshire,England
Finchampstead,RG40,Berkshire,England
Fishery,,Berkshire,England
Foudry Brook,,Berkshire,England
Four Points,,Berkshire,England
Frilsham,RG18,Berkshire,England
Furze Platt,SL6,Berkshire,England
Gardeners Green,,Berkshire,England
Goldfinch Bottom,,Berkshire,England
Grand Union Canal,,Berkshire,England
Grazeley,RG7,Berkshire,England
Grazeley Green,,Berkshire,England
Great Hollands,,Berkshire,England
Great Lea Common,,Berkshire,England
Great Shefford,RG17,Berkshire,England
Greenham,RG14,Berkshire,England
Halfway,RG20,Berkshire,England
Hampstead Norreys,RG18,Berkshire,England
Hamstead Marshall,RG20,Berkshire,England
Hanworth,,Berkshire,England
Hare Hatch,RG10,Berkshire,England
Harmans Water,,Berkshire,England
Hawthorn Hill,RG42,Berkshire,England
Heathlands,,Berkshire,England
Hell Corner,,Berkshire,England
Hermitage,RG18,Berkshire,England
Highway,,Berkshire,England
Hillgreen,,Berkshire,England
Hoe Benham,,Berkshire,England
Holloway,,Berkshire,England
Holly Cross,,Berkshire,England
Holme Green,,Berkshire,England
Holyport,SL6,Berkshire,England
Honey Hill,,Berkshire,England
Hopgoods Green,,Berkshire,England
Horncastle,,Berkshire,England
Horton,SL3,Berkshire,England
Hungerford,RG17,Berkshire,England
Hungerford Green,,Berkshire,England
Hungerford Newtown,RG17,Berkshire,England
Hurley,SL6,Berkshire,England
Hurley Bottom,SL6,Berkshire,England
Hurst,RG10,Berkshire,England
Inkpen,RG17,Berkshire,England
Inkpen Common,,Berkshire,England
Jennetts Hill,,Berkshire,England
Kennet,,Berkshire,England
Kennet and Avon Canal,,Berkshire,England
Kiff Green,,Berkshire,England
Kiln Green,RG10,Berkshire,England
Kintbury,RG17,Berkshire,England
Knowl Hill,RG10,Berkshire,England
Lambourn,RG17,Berkshire,England
Lambourn Woodlands,RG17,Berkshire,England
Langley,SL3,Berkshire,England
Langley Common,,Berkshire,England
Leckhampstead,RG20,Berkshire,England
Leckhampstead Thicket,,Berkshire,England
Leverton,,Berkshire,England
Lilley,RG20,Berkshire,England
Little Heath,,Berkshire,England
Little Hungerford,RG18,Berkshire,England
Little Sandhurst,GU47,Berkshire,England
Littlefield Green,,Berkshire,England
Littlestead Green,,Berkshire,England
Littlewick Green,SL6,Berkshire,England
Loddon,,Berkshire,England
Longlane,RG18,Berkshire,England
Lower Basildon,,Berkshire,England
Lower Caversham,,Berkshire,England
Lower Earley,,Berkshire,England
Lower Green,,Berkshire,England
Lower Padworth,,Berkshire,England
Lynch Hill,,Berkshire,England
Maidenhead,SL6,Berkshire,England
Maidenhead Court,,Berkshire,England
Malpas,,Berkshire,England
Manor Park,,Berkshire,England
Marlow,SL7,Berkshire,England
Marsh Benham,,Berkshire,England
Marsh Gate,,Berkshire,England
Matthewsgreen,,Berkshire,England
Mell Green,,Berkshire,England
Merryhill Green,,Berkshire,England
Midgham,RG7,Berkshire,England
Midgham Green,,Berkshire,England
Mill End,RG9,Berkshire,England
Moneyrow Green,,Berkshire,England
Moss End,,Berkshire,England
New Town,,Berkshire,England
Newbury,RG14,Berkshire,England
Newell Green,RG42,Berkshire,England
Nodmore,,Berkshire,England
North Ascot,SL5,Berkshire,England
North End,RG20,Berkshire,England
North Heath,,Berkshire,England
North Street,RG7,Berkshire,England
North Town,,Berkshire,England
Nuptown,,Berkshire,England
Oakley Green,SL4,Berkshire,England
Oare,,Berkshire,England
Old Windsor,SL4,Berkshire,England
Owlsmoor,GU47,Berkshire,England
Ownham,,Berkshire,England
Padworth,RG7,Berkshire,England
Paley Street,SL6,Berkshire,England
Pangbourne,RG8,Berkshire,England
Peasemore,RG20,Berkshire,England
Pingewood,,Berkshire,England
Pinkneys Green,SL6,Berkshire,England
Popeswood,RG12,Berkshire,England
Poundgreen,,Berkshire,England
Poyle,SL3,Berkshire,England
Priestwood,RG42,Berkshire,England
Purley on Thames,RG8,Berkshire,England
Purton,,Berkshire,England
Ravenswood Village Settlement,,Berkshire,England
Reading,RG1,Berkshire,England
Remenham,RG9,Berkshire,England
Remenham Hill,RG9,Berkshire,England
Riseley,,Berkshire,England
Rotten Row,,Berkshire,England
Ruscombe,RG10,Berkshire,England
Ryeish Green,,Berkshire,England
Salt Hill,SL1,Berkshire,England
Sandhurst,GU47,Berkshire,England
Sanham Green,,Berkshire,England
Schoolgreen,,Berkshire,England
Scotland,,Berkshire,England
Shaw,RG14,Berkshire,England
Sheepdrove,,Berkshire,England
Sheffield Bottom,RG7,Berkshire,England
Shefford Woodlands,RG17,Berkshire,England
Shinfield,RG2,Berkshire,England
Shrubs Hill,,Berkshire,England
Shurlock Row,RG10,Berkshire,England
Sindlesham,RG41,Berkshire,England
Skinners Green,,Berkshire,England
Slough,SL1,Berkshire,England
South Ascot,SL5,Berkshire,England
South Fawley,OX12,Berkshire,England
South Field,,Berkshire,England
Southcote,,Berkshire,England
Southend,RG7,Berkshire,England
Speen,RG14,Berkshire,England
Spencers Wood,RG7,Berkshire,England
Spital,SL4,Berkshire,England
Stanford Dingley,RG7,Berkshire,England
Stanmore,RG20,Berkshire,England
Stockcross,RG20,Berkshire,England
Stratfield Mortimer,RG7,Berkshire,England
Streatley,RG8,Berkshire,England
Stubbings,,Berkshire,England
Stubbles,,Berkshire,England
Stud Green,SL6,Berkshire,England
Sulham,RG8,Berkshire,England
Sulhampstead,,Berkshire,England
Sulhampstead Abbots,,Berkshire,England
Sulhampstead Bannister Upper End,,Berkshire,England
Sunningdale,SL5,Berkshire,England
Sunninghill,SL5,Berkshire,England
Sunnymeads,,Berkshire,England
Sutton,,Berkshire,England
Swallowfield,RG7,Berkshire,England
Temple,,Berkshire,England
Templeton,,Berkshire,England
Thames,,Berkshire,England
Thatcham,RG18,Berkshire,England
The Holt,,Berkshire,England
The Mount,,Berkshire,England
The Ridges,,Berkshire,England
The Rise,,Berkshire,England
The Slade,,Berkshire,England
The Throat,,Berkshire,England
Theale,RG7,Berkshire,England
Three Mile Cross,RG7,Berkshire,England
Tickleback Row,,Berkshire,England
Tidmarsh,RG8,Berkshire,England
Tilehurst,RG31,Berkshire,England
Titcomb,,Berkshire,England
Tittenhurst,,Berkshire,England
Tittle Row,,Berkshire,England
Touchen-end,SL6,Berkshire,England
Trapshill,,Berkshire,England
Trash Green,,Berkshire,England
Tutts Clump,,Berkshire,England
Twyford,RG10,Berkshire,England
Ufton Green,,Berkshire,England
Ufton Nervet,RG7,Berkshire,England
Upper Basildon,RG8,Berkshire,England
Upper Bucklebury,RG7,Berkshire,England
Upper Green,RG20,Berkshire,England
Upper Lambourn,RG17,Berkshire,England
Upper Woolhampton,,Berkshire,England
Upton,SL1,Berkshire,England
"Village, The",,Berkshire,England
Waltham St Lawrence,RG10,Berkshire,England
Warfield,RG42,Berkshire,England
Wargrave,RG10,Berkshire,England
Warren Row,RG10,Berkshire,England
Wash Common,RG14,Berkshire,England
Wasing,RG7,Berkshire,England
Wawcott,,Berkshire,England
Welford,RG20,Berkshire,England
Wellhouse,,Berkshire,England
West End,,Berkshire,England
West Fields,,Berkshire,England
West Ilsley,RG20,Berkshire,England
West Woodhay,RG20,Berkshire,England
Westbrook,RG20,Berkshire,England
Weston,RG20,Berkshire,England
Westridge Green,,Berkshire,England
Westrop Green,,Berkshire,England
Whistley Green,RG10,Berkshire,England
White Waltham,SL6,Berkshire,England
Whitehouse Green,,Berkshire,England
Whiteknights,,Berkshire,England
Whitley,RG2,Berkshire,England
Whitley Wood,,Berkshire,England
Wick Hill,RG12,Berkshire,England
Wickham,RG20,Berkshire,England
Wickham Green,,Berkshire,England
Wickham Heath,RG20,Berkshire,England
Wildridings,,Berkshire,England
Winding Wood,,Berkshire,England
Windsor,SL4,Berkshire,England
Winkfield,SL4,Berkshire,England
Winkfield Row,RG42,Berkshire,England
Winnersh,RG41,Berkshire,England
Winterbourne,RG20,Berkshire,England
Wokingham,RG10,Berkshire,England
Wood End,,Berkshire,England
Woodlands Park,SL6,Berkshire,England
Woodlands St Mary,,Berkshire,England
Woodley,RG5,Berkshire,England
Woodley Green,,Berkshire,England
Woodside,SL4,Berkshire,England
Woodspeen,,Berkshire,England
Woolhampton,RG7,Berkshire,England
Woolley Green,,Berkshire,England
Wraysbury,TW19,Berkshire,England
Yattendon,RG18,Berkshire,England
