,,Greater Manchester,England
Dumplington,,Greater Manchester,England
Dunham Town,WA14,Greater Manchester,England
Dunham Woodhouses,,Greater Manchester,England
East Didsbury,,Greater Manchester,England
Eccles,M30,Greater Manchester,England
Ellesmere Park,,Greater Manchester,England
Fairfield,,Greater Manchester,England
Fallowfield,,Greater Manchester,England
Fern Bank,,Greater Manchester,England
Firswood,M21,Greater Manchester,England
Flixton,M41,Greater Manchester,England
Flowery Field,,Greater Manchester,England
Gee Cross,SK14,Greater Manchester,England
Godley,,Greater Manchester,England
Godley Hill,,Greater Manchester,England
Gorse Hill,,Greater Manchester,England
Gorton,M18,Greater Manchester,England
Greenside,,Greater Manchester,England
Guide Bridge,,Greater Manchester,England
Hale,WA15,Greater Manchester,England
Halebarns,WA15,Greater Manchester,England
Hardwick Green,,Greater Manchester,England
Harpurhey,M9,Greater Manchester,England
Hartshead Green,,Greater Manchester,England
Hartshead Pike,,Greater Manchester,England
Hattersley,,Greater Manchester,England
Haughton Green,M34,Greater Manchester,England
Hazelhurst,,Greater Manchester,England
Heyheads,,Greater Manchester,England
Heyrod,SK15,Greater Manchester,England
Higher Blackley,M9,Greater Manchester,England
Higher Broughton,M7,Greater Manchester,England
Hill Top,,Greater Manchester,England
Hollingworth,SK14,Greater Manchester,England
Hooley Hill,,Greater Manchester,England
Hulme,,Greater Manchester,England
Hurst,OL6,Greater Manchester,England
Hyde,SK14,Greater Manchester,England
Irlam,M44,Greater Manchester,England
Kersal,M7,Greater Manchester,England
Kingston,,Greater Manchester,England
Landslow Green,,Greater Manchester,England
Levenshulme,M12,Greater Manchester,England
Limehurst,,Greater Manchester,England
Linnyshaw,,Greater Manchester,England
Little Bolton,,Greater Manchester,England
Little Hulton,M38,Greater Manchester,England
Littlemoss,,Greater Manchester,England
Longsight,M12,Greater Manchester,England
Lower Broughton,M7,Greater Manchester,England
Lower Kersal,,Greater Manchester,England
Luzley,,Greater Manchester,England
Manchester,M1,Greater Manchester,England
"Manchester and Ashton Canal, Hollinwood Branch",,Greater Manchester,England
Manchester Ship Canal,,Greater Manchester,England
Matley,SK15,Greater Manchester,England
Micklehurst,OL5,Greater Manchester,England
Miles Platting,,Greater Manchester,England
Millbrook,SK15,Greater Manchester,England
Monton,,Greater Manchester,England
Moorside,OL4,Greater Manchester,England
Moss Nook,M22,Greater Manchester,England
Moss Side,,Greater Manchester,England
Mossbrow,,Greater Manchester,England
Mossley,OL5,Greater Manchester,England
Mossley Brow,,Greater Manchester,England
Moston,,Greater Manchester,England
Mottram in Longdendale,SK14,Greater Manchester,England
Mottram Rise,,Greater Manchester,England
Mudd,,Greater Manchester,England
New Moston,,Greater Manchester,England
Newall Green,,Greater Manchester,England
Newton,SK14,Greater Manchester,England
Newton Heath,,Greater Manchester,England
Newton Wood,,Greater Manchester,England
Newtown,WN5,Greater Manchester,England
Northenden,,Greater Manchester,England
Northern Moor,,Greater Manchester,England
Old Trafford,,Greater Manchester,England
Oldfield Brow,,Greater Manchester,England
Oldham,M35,Greater Manchester,England
Openshaw,,Greater Manchester,England
Ordsall,M5,Greater Manchester,England
Park Bridge,,Greater Manchester,England
Partington,M31,Greater Manchester,England
Patricroft,,Greater Manchester,England
Peel Green,,Greater Manchester,England
Peel Hall,,Greater Manchester,England
Pendlebury,M27,Greater Manchester,England
Pendleton,,Greater Manchester,England
Quick,,Greater Manchester,England
Rhodes,,Greater Manchester,England
Ridge Hill,,Greater Manchester,England
Roaches,,Greater Manchester,England
Roe Cross,,Greater Manchester,England
Roe Green,,Greater Manchester,England
Rosehill,,Greater Manchester,England
Roundthorn,,Greater Manchester,England
Rusholme,,Greater Manchester,England
Sale,M33,Greater Manchester,England
Salford,M27,Greater Manchester,England
Sedgley Park,,Greater Manchester,England
Seedley,M5,Greater Manchester,England
Sharston,,Greater Manchester,England
Simister,,Greater Manchester,England
Sinderland Green,,Greater Manchester,England
Smallshaw,,Greater Manchester,England
Stalybridge,SK15,Greater Manchester,England
Strangeways,,Greater Manchester,England
Stretford,M32,Greater Manchester,England
Sun Green,,Greater Manchester,England
Swinton,M27,Greater Manchester,England
Swinton Park,,Greater Manchester,England
Tame,,Greater Manchester,England
Taunton,,Greater Manchester,England
Timperley,WA14,Greater Manchester,England
Trafford Park,M17,Greater Manchester,England
Urmston,M41,Greater Manchester,England
Walkden,M28,Greater Manchester,England
Warburton,WA13,Greater Manchester,England
Wardley,M27,Greater Manchester,England
Warhill,,Greater Manchester,England
Waterloo,,Greater Manchester,England
Weaste,M5,Greater Manchester,England
Well Green,,Greater Manchester,England
West Didsbury,,Greater Manchester,England
West Gorton,,Greater Manchester,England
Westwood Park,,Greater Manchester,England
Whalley Range,,Greater Manchester,England
Winton,,Greater Manchester,England
Withington,M20,Greater Manchester,England
Wood End,,Greater Manchester,England
Woodhouse Park,,Greater Manchester,England
Woodhouses,,Greater Manchester,England
Woodlands,,Greater Manchester,England
Woods End,,Greater Manchester,England
Woolley Bridge,,Greater Manchester,England
Worsley,M28,Greater Manchester,England
Wythenshawe,M22,Greater Manchester,England
Yew Tree,,Greater Manchester,England
