,,Somerset,England
Clapton,TA18,Somerset,England
Clapton in Gordano,,Somerset,England
Clarence Park,,Somerset,England
Clatworthy,TA4,Somerset,England
Clatworthy Reservoir,,Somerset,England
Clavelshay,,Somerset,England
Claverham,,Somerset,England
Claverton,,Somerset,England
Claverton Down,,Somerset,England
Clayhanger,,Somerset,England
Clays End,,Somerset,England
Cleeve,,Somerset,England
Clevedon,,Somerset,England
Clewer,BS27,Somerset,England
Clifton,,Somerset,England
Cloford,BA11,Somerset,England
Cloford Common,,Somerset,England
Closworth,BA22,Somerset,England
Clutton,,Somerset,England
Clutton Hill,,Somerset,England
Coat,TA12,Somerset,England
Cockhill,,Somerset,England
Cocklake,BS28,Somerset,England
Cockwood,,Somerset,England
Codsend,,Somerset,England
Cole,BA10,Somerset,England
Coleford,BA3,Somerset,England
Coleford Water,,Somerset,England
Coley,,Somerset,England
Combe,,Somerset,England
Combe Down,,Somerset,England
Combe Florey,TA4,Somerset,England
Combe Hay,,Somerset,England
Combe St Nicholas,TA20,Somerset,England
Combe Throop,,Somerset,England
Combwich,TA5,Somerset,England
Comeytrowe,,Somerset,England
Compass,,Somerset,England
Compton Bishop,BS26,Somerset,England
Compton Common,,Somerset,England
Compton Dando,,Somerset,England
Compton Dundon,TA11,Somerset,England
Compton Durville,,Somerset,England
Compton Martin,,Somerset,England
Compton Pauncefoot,BA22,Somerset,England
Congresbury,,Somerset,England
Congresbury Yeo,,Somerset,England
Coombe,,Somerset,England
Coombses,,Somerset,England
Coppleham,,Somerset,England
Corfe,TA3,Somerset,England
Corston,,Somerset,England
Corton Denham,DT9,Somerset,England
Cossington,TA7,Somerset,England
Cote,TA9,Somerset,England
Cothelstone,TA4,Somerset,England
Coultings,TA5,Somerset,England
Coursley,,Somerset,England
Courtway,TA5,Somerset,England
Cowbridge,,Somerset,England
Cowslip Green,,Somerset,England
Coxbridge,,Somerset,England
Coxley,BA5,Somerset,England
Coxley Wick,,Somerset,England
Cranmore,BA4,Somerset,England
Creech Heathfield,,Somerset,England
Creech St Michael,TA3,Somerset,England
Crewkerne,TA18,Somerset,England
Cricket Malherbie,TA19,Somerset,England
Cricket St Thomas,TA20,Somerset,England
Crickham,,Somerset,England
Crimchard,,Somerset,England
Critchill,,Somerset,England
Crock Street,TA19,Somerset,England
Croscombe,BA5,Somerset,England
Cross,BS26,Somerset,England
Crowcombe,TA4,Somerset,England
Cucklington,BA9,Somerset,England
Cudworth,TA19,Somerset,England
Culm,,Somerset,England
Curland,TA3,Somerset,England
Curland Common,,Somerset,England
Curload,TA3,Somerset,England
Curry Mallet,TA3,Somerset,England
Curry Rivel,TA10,Somerset,England
Cushuish,TA2,Somerset,England
Cutcombe,TA24,Somerset,England
Darshill,,Somerset,England
Dillington,,Somerset,England
Dimmer,,Somerset,England
Dinder,BA5,Somerset,England
Dinghurst,,Somerset,England
Dinnington,TA17,Somerset,England
Dipford,,Somerset,England
Discove,,Somerset,England
Ditcheat,BA4,Somerset,England
Dodington,TA5,Somerset,England
Dolemeads,,Somerset,England
Dommett,,Somerset,England
Doniford,TA23,Somerset,England
Donyatt,TA19,Somerset,England
Double Hill,,Somerset,England
Doulting,BA4,Somerset,England
Doverhay,,Somerset,England
Dowlish Ford,,Somerset,England
Dowlish Wake,TA19,Somerset,England
Down End,TA6,Somerset,England
Downhead,BA4,Somerset,England
Downside,BA4,Somerset,England
Dowslands,,Somerset,England
Draycott,BS27,Somerset,England
Drayton,TA10,Somerset,England
Duddlestone,,Somerset,England
Dulcote,BA5,Somerset,England
Dulverton,TA22,Somerset,England
Dunball,TA6,Somerset,England
Dundon,TA11,Somerset,England
Dundon Hayes,,Somerset,England
Dundry,,Somerset,England
Dunkerton,,Somerset,England
Dunster,TA24,Somerset,England
Dunwear,,Somerset,England
Durleigh,TA5,Somerset,England
Durleigh Brook,,Somerset,England
Durnfield,,Somerset,England
Durston,TA3,Somerset,England
Dyche,,Somerset,England
East Bower,,Somerset,England
East Brent,TA9,Somerset,England
East Chinnock,BA22,Somerset,England
East Clevedon,,Somerset,England
East Coker,BA22,Somerset,England
East Combe,TA4,Somerset,England
East Compton,,Somerset,England
East Cranmore,BA4,Somerset,England
East Dundry,,Somerset,England
East End,,Somerset,England
East Harptree,,Somerset,England
East Hewish,,Somerset,England
East Horrington,BA5,Somerset,England
East Huntspill,TA9,Somerset,England
East Lambrook,TA13,Somerset,England
East Lydeard,,Somerset,England
East Lydford,TA11,Somerset,England
East Lyng,,Somerset,England
East Nynehead,,Somerset,England
East Pennard,BA4,Somerset,England
East Quantoxhead,TA5,Somerset,England
East Rolstone,BS24,Somerset,England
East Stoke,,Somerset,England
East Street,,Somerset,England
East Town,,Somerset,England
East Water,,Somerset,England
East Woodlands,,Somerset,England
Eastbrook,,Somerset,England
Eastertown,BS24,Somerset,England
Easton,BA5,Somerset,England
Easton Town,,Somerset,England
Easton-in-Gordano,,Somerset,England
Eastover,,Somerset,England
Ebdon,,Somerset,England
Edbrook,,Somerset,England
Edford,,Somerset,England
Edgarley,BA6,Somerset,England
Edgcott,,Somerset,England
Edington,TA7,Somerset,England
Edingworth,,Somerset,England
Edithmead,TA9,Somerset,England
Egford,,Somerset,England
Elborough,,Somerset,England
Ellicombe,,Somerset,England
Elliots Green,,Somerset,England
Elworthy,TA4,Somerset,England
Emborough,BA3,Somerset,England
Englishcombe,,Somerset,England
Enmore,TA5,Somerset,England
Escott,,Somerset,England
Evercreech,BA4,Somerset,England
Exe,,Somerset,England
Exford,TA24,Somerset,England
Exmoor,,Somerset,England
Exton,TA22,Somerset,England
Failand,,Somerset,England
Fairfield Park,,Somerset,England
Farleigh,,Somerset,England
Farleigh Hungerford,BA3,Somerset,England
Farley,,Somerset,England
Farmborough,BA3,Somerset,England
Farrington Gurney,,Somerset,England
Faulkland,BA3,Somerset,England
Feltham,,Somerset,England
Felton,,Somerset,England
Fennington,,Somerset,England
Fiddington,TA5,Somerset,England
Field,,Somerset,England
Fitzhead,TA4,Somerset,England
Five Bells,,Somerset,England
Fivehead,TA3,Somerset,England
Flax Bourton,,Somerset,England
Flaxpool,TA4,Somerset,England
Foddington,,Somerset,England
Ford,TA4,Somerset,England
Ford Street,TA21,Somerset,England
Fordgate,,Somerset,England
Forton,TA20,Somerset,England
Four Foot,,Somerset,England
Four Forks,TA5,Somerset,England
Fox Hill,,Somerset,England
Foxcote,,Somerset,England
Freshford,BA3,Somerset,England
Friarn,,Somerset,England
Frieze Hill,,Somerset,England
Frome,BA11,Somerset,England
Fromefield,,Somerset,England
Frost Hill,,Somerset,England
Fulford,TA2,Somerset,England
Fulwood,,Somerset,England
Furnham,,Somerset,England
Fyfett,TA20,Somerset,England
Galhampton,BA22,Somerset,England
Galmington,,Somerset,England
Girt,,Somerset,England
Glastonbury,BA6,Somerset,England
Goathurst,TA5,Somerset,England
Godney,,Somerset,England
Golsoncott,,Somerset,England
Goosenford,,Somerset,England
Gothelney Green,,Somerset,England
Gotton,,Somerset,England
Great Elm,BA11,Somerset,England
Green Ore,BA5,Somerset,England
Green Parlour,,Somerset,England
Greendown,,Somerset,England
Greenway,TA3,Somerset,England
Greinton,TA7,Somerset,England
Greyfield,,Somerset,England
Greylake,TA7,Somerset,England
Greylake Fosse,,Somerset,England
Gundenham,,Somerset,England
Gupworthy,,Somerset,England
Gurney Slade,BA3,Somerset,England
Hackness,,Somerset,England
Hadspen,,Somerset,England
Halcon,,Somerset,England
Hale,,Somerset,England
Hale Coombe,,Somerset,England
Hallatrow,,Somerset,England
Halse,TA4,Somerset,England
Halse Water,,Somerset,England
Halsway,,Somerset,England
Ham,TA3,Somerset,England
Ham Green,,Somerset,England
Ham Street,BA6,Somerset,England
Hambridge,TA10,Somerset,England
Hamp,,Somerset,England
Handy Cross,,Somerset,England
Hanham Green,,Somerset,England
Hapsford,,Somerset,England
Hardington,BA11,Somerset,England
Hardington Mandeville,BA22,Somerset,England
Hardington Marsh,BA22,Somerset,England
Hardington Moor,,Somerset,England
Hardway,BA10,Somerset,England
Hare,,Somerset,England
Hartcliffe,,Somerset,England
Hartford,,Somerset,England
Hartswell,,Somerset,England
Haselbury Plucknett,TA18,Somerset,England
Hastings,,Somerset,England
Hatch Beauchamp,TA3,Somerset,England
Hatch Green,TA3,Somerset,England
Havyatt,,Somerset,England
Havyatt Green,,Somerset,England
Hawkcombe,,Somerset,England
Haybridge,,Somerset,England
Haydon,DT9,Somerset,England
Haygrass,,Somerset,England
Haymoor End,,Somerset,England
Heale,,Somerset,England
Heath House,BS28,Somerset,England
Heathfield,TA4,Somerset,England
Hedging,TA7,Somerset,England
Hele,,Somerset,England
Helland,,Somerset,England
Hembridge,,Somerset,England
Hemington,BA3,Somerset,England
Henlade,TA3,Somerset,England
Henley,TA10,Somerset,England
Henstridge,BA8,Somerset,England
Henstridge Ash,BA8,Somerset,England
Henstridge Bowden,,Somerset,England
Henstridge Marsh,BA8,Somerset,England
Henton,BA5,Somerset,England
Herons Green,,Somerset,England
Hewish,BS24,Somerset,England
High Ham,TA10,Somerset,England
High Littleton,,Somerset,England
Highbridge,TA9,Somerset,England
Highbury,BA3,Somerset,England
Higher Alham,,Somerset,England
Higher Burrow,,Somerset,England
Higher Chillington,,Somerset,England
Higher Durston,,Somerset,England
Higher Holton,,Somerset,England
Higher Marsh,,Somerset,England
Higher Nyland,,Somerset,England
Higher Street,,Somerset,England
Higher Town,,Somerset,England
Higher Vexford,,Somerset,England
Higher Wambrook,,Somerset,England
Highridge,,Somerset,England
Highway,,Somerset,England
Hill Corner,,Somerset,England
Hill End,,Somerset,England
Hillcommon,,Somerset,England
Hillend,,Somerset,England
Hillfarrance,TA4,Somerset,England
Hinton,,Somerset,England
Hinton Blewett,,Somerset,England
Hinton Charterhouse,BA3,Somerset,England
Hinton St George,TA17,Somerset,England
Hobbs Wall,,Somerset,England
Hoccombe,,Somerset,England
Hockholler,,Somerset,England
Hockholler Green,,Somerset,England
Holcombe,BA3,Somerset,England
Holford,TA5,Somerset,England
Hollands,,Somerset,England
Hollow Brook,,Somerset,England
Holly Brook,,Somerset,England
Holman Clavel,,Somerset,England
Holnicote,,Somerset,England
Holton,BA9,Somerset,England
Holway,,Somerset,England
Holwell,BA11,Somerset,England
Holywell,,Somerset,England
Holywell Lake,TA21,Somerset,England
Honey Hall,,Somerset,England
Horn Hill,,Somerset,England
Hornblotton,,Somerset,England
Hornblotton Green,BA4,Somerset,England
Horner,,Somerset,England
Horner Water,,Somerset,England
Hornsbury,,Somerset,England
Horsecastle,,Somerset,England
Horsey,,Somerset,England
Horsington,BA8,Somerset,England
Horton,TA19,Somerset,England
Horton Cross,TA19,Somerset,England
Houndsmoor,,Somerset,England
Houndstone,,Somerset,England
Hounsley Batch,,Somerset,England
Howleigh,,Somerset,England
Howley,TA20,Somerset,England
Huish Champflower,TA4,Somerset,England
Huish Episcopi,TA10,Somerset,England
Hungerford,,Somerset,England
Hunstrete,,Somerset,England
Huntham,,Somerset,England
Huntscott,,Somerset,England
Huntspill,TA9,Somerset,England
Huntstile,,Somerset,England
Huntworth,TA7,Somerset,England
Hurcott,,Somerset,England
Hurst,,Somerset,England
Hutton,BS24,Somerset,England
Huxham Green,,Somerset,England
Hythe,,Somerset,England
Icelton,,Somerset,England
Ilchester,BA22,Somerset,England
Ilchester Mead,,Somerset,England
Ilford,,Somerset,England
Ilminster,TA19,Somerset,England
Ilton,TA19,Somerset,England
Inglesbatch,,Somerset,England
Innox Hill,,Somerset,England
Isle,,Somerset,England
Isle Abbotts,TA3,Somerset,England
Isle Brewers,TA3,Somerset,England
Iwood,,Somerset,England
Keenthorne,,Somerset,England
Keinton Mandeville,TA11,Somerset,England
Kelston,,Somerset,England
Kenn,,Somerset,England
Kenn Moor Gate,,Somerset,England
Kennet and Avon Canal,,Somerset,England
Kenny,,Somerset,England
Keward,,Somerset,England
Kewstoke,,Somerset,England
Keyford,,Somerset,England
Keynsham,,Somerset,England
Kibbear,,Somerset,England
Kilmersdon,BA3,Somerset,England
Kilton,TA5,Somerset,England
Kilve,TA5,Somerset,England
Kingdown,,Somerset,England
Kingsbridge,TA23,Somerset,England
Kingsbury Episcopi,TA12,Somerset,England
Kingsbury Regis,,Somerset,England
Kingsdon,TA11,Somerset,England
Kingston Seymour,,Somerset,England
Kingston St Mary,TA2,Somerset,England
Kingstone,TA19,Somerset,England
Kingsway,,Somerset,England
Kingswood,,Somerset,England
Kingweston,TA11,Somerset,England
Kittisford,TA21,Somerset,England
Knapp,TA3,Somerset,England
Knightcott,,Somerset,England
Knighton,TA5,Somerset,England
Knole,,Somerset,England
Knoll Green,,Somerset,England
Knott Oak,,Somerset,England
Knowle,,Somerset,England
Knowle St Giles,,Somerset,England
Lambridge,,Somerset,England
Lamyatt,BA4,Somerset,England
Langaller,,Somerset,England
Langford,,Somerset,England
Langford Budville,TA21,Somerset,England
Langford Green,,Somerset,England
Langham,,Somerset,England
Langley,,Somerset,England
Langley Marsh,TA4,Somerset,England
Langport,TA10,Somerset,England
Langridge,,Somerset,England
Lansdown,,Somerset,England
Larkhall,,Somerset,England
Latcham,,Somerset,England
Lattiford,BA9,Somerset,England
Launcherley,,Somerset,England
Laverley,,Somerset,England
Laverton,BA3,Somerset,England
Lawford,,Somerset,England
Leigh Common,BA9,Somerset,England
Leigh upon Mendip,BA3,Somerset,England
Leigh Woods,,Somerset,England
Leighland Chapel,,Somerset,England
Leighton,BA11,Somerset,England
Ley,,Somerset,England
Lillesdon,,Somerset,England
Lilstock,TA5,Somerset,England
Limington,BA22,Somerset,England
Limpley Stoke,BA3,Somerset,England
Liney,,Somerset,England
Link,,Somerset,England
Lipyeate,,Somerset,England
Listoke,,Somerset,England
Little Green,,Somerset,England
Little Hill,,Somerset,England
Little Keyford,,Somerset,England
Little Load,,Somerset,England
Little London,,Somerset,England
Little Norton,,Somerset,England
Little Weston,,Somerset,England
Littleton,TA11,Somerset,England
Litton,BA3,Somerset,England
Locking,BS24,Somerset,England
Locksbrook,,Somerset,England
Lodway,,Somerset,England
Long Ashton,,Somerset,England
Long Load,TA10,Somerset,England
Long Sutton,TA10,Somerset,England
Longhouse,,Somerset,England
Longstone,,Somerset,England
Lopen,TA13,Somerset,England
Lopen Head,,Somerset,England
Lottisham,,Somerset,England
Lovington,BA7,Somerset,England
Low Ham,TA10,Somerset,England
Lower Aisholt,TA5,Somerset,England
Lower Burrow,,Somerset,England
Lower Canada,,Somerset,England
Lower Durston,,Somerset,England
Lower Failand,,Somerset,England
Lower Godney,BA5,Somerset,England
Lower Knapp,,Somerset,England
Lower Langford,,Somerset,England
Lower Marsh,,Somerset,England
Lower Marston,,Somerset,England
Lower Merridge,,Somerset,England
Lower Milton,,Somerset,England
Lower Nyland,,Somerset,England
Lower Odcombe,,Somerset,England
Lower Roadwater,,Somerset,England
Lower Stratton,,Somerset,England
Lower Swainswick,,Somerset,England
Lower Vexford,TA4,Somerset,England
Lower Weacombe,,Somerset,England
Lower Weare,BS26,Somerset,England
Lower Westholme,,Somerset,England
Lower Weston,,Somerset,England
Lower Whatley,,Somerset,England
Lower Woolston,,Somerset,England
Lower Wraxall,,Somerset,England
Lowton,,Somerset,England
Loxton,BS26,Somerset,England
Luccombe,TA24,Somerset,England
Luckwell Bridge,TA24,Somerset,England
Ludney,,Somerset,England
Lufton,,Somerset,England
Lullington,BA11,Somerset,England
Lulsgate Bottom,,Somerset,England
Lusty,,Somerset,England
Luxborough,TA23,Somerset,England
Lyatts,,Somerset,England
Lydeard St Lawrence,TA4,Somerset,England
Lydford Fair Place,,Somerset,England
Lydford-on-Fosse,TA11,Somerset,England
Lydmarsh,,Somerset,England
Lye Cross,,Somerset,England
Lye Hole,,Somerset,England
Lympsham,BS24,Somerset,England
Lynch,,Somerset,England
Lyng,TA3,Somerset,England
Lyngford,,Somerset,England
Maiden Head,,Somerset,England
Maperton,BA9,Somerset,England
Mark,TA9,Somerset,England
Mark Causeway,TA9,Somerset,England
Marksbury,,Somerset,England
Marsh Mills,,Somerset,England
Marsh Street,TA24,Somerset,England
Marston Bigot,,Somerset,England
Marston Gate,,Somerset,England
Marston Magna,BA22,Somerset,England
Martock,TA12,Somerset,England
Maundown,TA4,Somerset,England
Meadgate,,Somerset,England
Meare,BA6,Somerset,England
Meare Green,,Somerset,England
Mearns,,Somerset,England
Melcombe,,Somerset,England
Mells,BA11,Somerset,England
Mells Green,,Somerset,England
Mendip Hills,,Somerset,England
Merridge,TA5,Somerset,England
Merriott,TA16,Somerset,England
Merriottsford,,Somerset,England
Mid Lambrook,,Somerset,England
Middle Bridge,,Somerset,England
Middle Burnham,,Somerset,England
Middle Chinnock,,Somerset,England
Middle Green,,Somerset,England
Middle Stoford,,Somerset,England
Middle Stoughton,,Somerset,England
Middletown,,Somerset,England
Middlezoy,TA7,Somerset,England
Midelney,,Somerset,England
Midford,,Somerset,England
Midford Brook,,Somerset,England
Midsomer Norton,BA3,Somerset,England
Midway,,Somerset,England
Milborne Port,DT9,Somerset,England
Milborne Wick,DT9,Somerset,England
Milton,,Somerset,England
Milton Clevedon,BA4,Somerset,England
Milverton,TA4,Somerset,England
Minehead,TA24,Somerset,England
Misterton,TA18,Somerset,England
Monksilver,TA4,Somerset,England
Monkton Combe,,Somerset,England
Monkton Heathfield,TA2,Somerset,England
Montacute,TA15,Somerset,England
Moolham,,Somerset,England
Moor,,Somerset,England
Moorland (Northmoor Green),,Somerset,England
Moorledge,,Somerset,England
Moorlinch,TA7,Somerset,England
Muchelney,TA10,Somerset,England
Muchelney Ham,,Somerset,England
Mudford,BA21,Somerset,England
Mudford Sock,,Somerset,England
Mudgley,BS28,Somerset,England
Nailsbourne,,Somerset,England
Nailsea,,Somerset,England
Nailwell,,Somerset,England
Nash,,Somerset,England
Nedge Hill,,Somerset,England
Neighbourne,,Somerset,England
Nempnett Thrubwell,,Somerset,England
Nether Stowey,TA5,Somerset,England
Netherclay,,Somerset,England
Nethercott,,Somerset,England
Nettlebridge,BA3,Somerset,England
New Buildings,,Somerset,England
New Cross,,Somerset,England
New England,,Somerset,England
New Town,,Somerset,England
Newbridge,,Somerset,England
Newbury,,Somerset,England
Newport,,Somerset,England
Newton,,Somerset,England
Newton St Loe,,Somerset,England
Newtown,,Somerset,England
Nimmer,,Somerset,England
North Barrow,BA22,Somerset,England
North Brewham,BA10,Somerset,England
North Cadbury,BA22,Somerset,England
North Cheriton,BA8,Somerset,England
North Coker,BA22,Somerset,England
North Curry,TA3,Somerset,England
North End,,Somerset,England
North Newton,TA7,Somerset,England
North Perrott,TA18,Somerset,England
North Petherton,TA6,Somerset,England
North Stoke,,Somerset,England
North Town,,Somerset,England
North Weston,,Somerset,England
North Wick,,Somerset,England
North Widcombe,,Somerset,England
North Wootton,BA4,Somerset,England
Northay,TA20,Somerset,England
Northend,,Somerset,England
Northfield,,Somerset,England
Northgate,,Somerset,England
Northmoor Corner,,Somerset,England
Northmoor Green (Moorland),,Somerset,England
Northover,BA22,Somerset,England
Northway,,Somerset,England
Northwick,,Somerset,England
Norton,,Somerset,England
Norton Fitzwarren,TA2,Somerset,England
Norton Hawkfield,,Somerset,England
Norton Hill,,Somerset,England
Norton Malreward,,Somerset,England
Norton St Philip,BA3,Somerset,England
Norton Sub Hamdon,TA14,Somerset,England
Nunney,BA11,Somerset,England
Nunney Catch,,Somerset,England
Nye,,Somerset,England
Nyland,,Somerset,England
Nynehead,TA21,Somerset,England
Nythe,TA7,Somerset,England
Oake,TA4,Somerset,England
Oake Green,,Somerset,England
