,,West Midlands,England
Littleworth End,,West Midlands,England
Lode Heath,,West Midlands,England
Lodge Green,,West Midlands,England
Lodge Hill,,West Midlands,England
London Fields,,West Midlands,England
Longbridge,B31,West Midlands,England
Longford,CV6,West Midlands,England
Lower Eastern Green,,West Midlands,England
Lower Gornal,DY3,West Midlands,England
Lower Illey,,West Midlands,England
Lower Stoke,,West Midlands,England
Lozells,,West Midlands,England
Lutley,,West Midlands,England
Lye,DY9,West Midlands,England
Lyndon Green,,West Midlands,England
Maney,B72,West Midlands,England
Manor House,,West Midlands,England
Marston Green,B37,West Midlands,England
Meer End,CV8,West Midlands,England
Mere Green,B74,West Midlands,England
Meriden,CV7,West Midlands,England
Mesty Croft,,West Midlands,England
Middle Bickenhill,,West Midlands,England
Middle Stoke,,West Midlands,England
Minworth,B76,West Midlands,England
Monkspath,,West Midlands,England
Moor Green,,West Midlands,England
Moor Hall,,West Midlands,England
Moseley,B13,West Midlands,England
Mushroom Green,,West Midlands,England
Nechells,,West Midlands,England
Netchells Green,,West Midlands,England
Netherton,DY2,West Midlands,England
New Oscott,,West Midlands,England
New Town,,West Midlands,England
Newton,,West Midlands,England
Newtown,,West Midlands,England
Northfield,B31,West Midlands,England
Norton,DY8,West Midlands,England
Norton Green,,West Midlands,England
Oakham,,West Midlands,England
Ocker Hill,,West Midlands,England
Old Hill,B64,West Midlands,England
Old Swinford,DY8,West Midlands,England
Oldbury,B68,West Midlands,England
Oldwich Lane,,West Midlands,England
Olton,B91,West Midlands,England
Over Green,,West Midlands,England
Overend,,West Midlands,England
Oxford Canal,,West Midlands,England
Pedmore,DY9,West Midlands,England
Pensnett,DY5,West Midlands,England
Perry,,West Midlands,England
Perry Barr,B42,West Midlands,England
Perry Beeches,,West Midlands,England
Perry Common,,West Midlands,England
Pickford,,West Midlands,England
Pickford Green,CV5,West Midlands,England
Pinley,,West Midlands,England
Portway,,West Midlands,England
Primrose Hill,,West Midlands,England
Princes End,DY4,West Midlands,England
Pype Hayes,,West Midlands,England
Quarry Bank,DY5,West Midlands,England
Queslett,B44,West Midlands,England
Quinton,B62,West Midlands,England
Radford,CV6,West Midlands,England
Reddicap Heath,,West Midlands,England
Reeves Green,,West Midlands,England
Ridgacre,,West Midlands,England
Rood End,,West Midlands,England
Roseville,,West Midlands,England
Rotten Row,,West Midlands,England
Rotton Park,,West Midlands,England
Roughley,B75,West Midlands,England
Round Oak,,West Midlands,England
Rowley Regis,B65,West Midlands,England
Ruiton,,West Midlands,England
Rumbush,,West Midlands,England
Saltley,B8,West Midlands,England
Sandwell,B64,West Midlands,England
Sedgemere,,West Midlands,England
Sedgley,DY3,West Midlands,England
Selly Oak,B29,West Midlands,England
Selly Park,B29,West Midlands,England
Shard End,,West Midlands,England
Sharmans Cross,,West Midlands,England
Sheldon,B26,West Midlands,England
Shenley Fields,,West Midlands,England
Shirley,B90,West Midlands,England
Shirley Heath,,West Midlands,England
Short Cross,,West Midlands,England
Short Heath,B23,West Midlands,England
Silver End,,West Midlands,England
Small Heath,,West Midlands,England
Smethwick,B66,West Midlands,England
Soho,,West Midlands,England
Solihull,B36,West Midlands,England
Solihull Lodge,B90,West Midlands,England
South Yardley,B26,West Midlands,England
Sowe,,West Midlands,England
Sparkbrook,,West Midlands,England
Sparkhill,,West Midlands,England
Spon End,CV1,West Midlands,England
Springfield,B13,West Midlands,England
Stambermill,,West Midlands,England
Stechford,B33,West Midlands,England
Stirchley,B30,West Midlands,England
Stivichall,CV3,West Midlands,England
Stockfield,,West Midlands,England
Stockland Green,,West Midlands,England
Stoke,CV2,West Midlands,England
Stoke Aldermoor,CV3,West Midlands,England
Stoke Heath,,West Midlands,England
Stone Cross,,West Midlands,England
Stonebridge,CV7,West Midlands,England
Stour,,West Midlands,England
Stour Bridge Canal,,West Midlands,England
Stratford-upon-Avon Canal,,West Midlands,England
Streetly,B74,West Midlands,England
Summer Hill,,West Midlands,England
Summerfield Park,,West Midlands,England
Sutton Coldfield,B74,West Midlands,England
Swan Village,,West Midlands,England
Tame,,West Midlands,England
Tame Valley Canal,,West Midlands,England
Tansley Hill,,West Midlands,England
Tat Bank,,West Midlands,England
Temple Balsall,,West Midlands,England
Ten Acres,,West Midlands,England
The Knowle,,West Midlands,England
The Straits,,West Midlands,England
The Village,,West Midlands,England
The Woods,,West Midlands,England
Thimble End,,West Midlands,England
Three Maypoles,,West Midlands,England
Tidbury Green,,West Midlands,England
Tile Cross,B33,West Midlands,England
Tile Hill,CV4,West Midlands,England
Tilehouse Green,,West Midlands,England
Tipton,DY4,West Midlands,England
Tipton Green,,West Midlands,England
Tividale,DY4,West Midlands,England
Toll End,,West Midlands,England
Tower Hill,,West Midlands,England
Tudor Hill,,West Midlands,England
Turves Green,,West Midlands,England
Tyburn,B24,West Midlands,England
Tyseley,,West Midlands,England
Ulverley Green,,West Midlands,England
Upper Eastern Green,CV5,West Midlands,England
Upper Gornal,DY3,West Midlands,England
Upper Stoke,CV2,West Midlands,England
Upper Witton,,West Midlands,England
"Vale, The",,West Midlands,England
Vauxhall,,West Midlands,England
Wake Green,,West Midlands,England
Wallbrook,,West Midlands,England
Walmley,B76,West Midlands,England
Walsal End,,West Midlands,England
Walsall,WS1,West Midlands,England
Walsgrave on Sowe,CV2,West Midlands,England
Ward End,B8,West Midlands,England
Warley Woods,,West Midlands,England
Warstock,B14,West Midlands,England
Washwood Heath,B8,West Midlands,England
Watford Gap,,West Midlands,England
Wednesbury,WS10,West Midlands,England
Wednesbury Oak,,West Midlands,England
Weoley Castle,B29,West Midlands,England
West Bromwich,B70,West Midlands,England
West Heath,B38,West Midlands,England
Whiteheath Gate,,West Midlands,England
Whitehouse Common,,West Midlands,England
Whitley,CV3,West Midlands,England
Whitmore Park,CV6,West Midlands,England
Whoberley,CV5,West Midlands,England
Willenhall,CV3,West Midlands,England
Winson Green,,West Midlands,England
Withymoor Village,,West Midlands,England
Witton,,West Midlands,England
Wollescote,,West Midlands,England
Wolverhampton,WV1,West Midlands,England
Wood End,CV2,West Midlands,England
Wood Green,,West Midlands,England
Woodcock Hill,,West Midlands,England
Woodgate,,West Midlands,England
Woodgate Valley,,West Midlands,England
Woodsetton,DY1,West Midlands,England
Woodside,DY5,West Midlands,England
Woodway Park,CV2,West Midlands,England
Wootton Green,,West Midlands,England
Worcester and Birmingham Canal,,West Midlands,England
Wordsley,DY8,West Midlands,England
Worlds End,,West Midlands,England
Wyken,CV2,West Midlands,England
Wylde Green,B72,West Midlands,England
Yardley,B25,West Midlands,England
Yardley Wood,B14,West Midlands,England
Yew Tree,,West Midlands,England
