,,West Yorkshire,England
Crosland Edge,,West Yorkshire,England
Crosland Hill,,West Yorkshire,England
Crosland Moor,HD4,West Yorkshire,England
Cross Gates,LS15,West Yorkshire,England
Cross Green,LS9,West Yorkshire,England
Cross Roads,,West Yorkshire,England
Crossflatts,,West Yorkshire,England
Crossley Hall,,West Yorkshire,England
Crow Nest,,West Yorkshire,England
Cullingworth,BD13,West Yorkshire,England
Cutsyke,,West Yorkshire,England
Daisy Hill,,West Yorkshire,England
Dalton,HD5,West Yorkshire,England
Damems,,West Yorkshire,England
Darrington,WF8,West Yorkshire,England
Dean Lane Head,,West Yorkshire,England
Deighton,,West Yorkshire,England
Denby Dale,HD8,West Yorkshire,England
Denholme,BD13,West Yorkshire,England
Denholme Clough,BD13,West Yorkshire,England
Denholme Edge,,West Yorkshire,England
Denholme Gate,,West Yorkshire,England
Denton,LS29,West Yorkshire,England
Dewsbury,WF12,West Yorkshire,England
Dewsbury Moor,WF13,West Yorkshire,England
Dockroyd,,West Yorkshire,England
Dogley Lane,,West Yorkshire,England
Dormanstown,,West Yorkshire,England
Drighlington,BD11,West Yorkshire,England
Drub,,West Yorkshire,England
Dudley Hill,BD4,West Yorkshire,England
Dunkeswick,LS17,West Yorkshire,England
Dunsdale,,West Yorkshire,England
Durkar,WF4,West Yorkshire,England
Earlsheaton,,West Yorkshire,England
Easington,,West Yorkshire,England
East Ardsley,WF3,West Yorkshire,England
East Bierley,,West Yorkshire,England
East Carlton,,West Yorkshire,England
East Garforth,,West Yorkshire,England
East Hardwick,WF8,West Yorkshire,England
East Keswick,LS17,West Yorkshire,England
East Loftus,,West Yorkshire,England
East Moor,,West Yorkshire,England
East Morton,BD20,West Yorkshire,England
East Rigton,LS17,West Yorkshire,England
Eastburn,,West Yorkshire,England
Eccleshill,,West Yorkshire,England
Eccup,LS16,West Yorkshire,England
Eccup Reservoir,,West Yorkshire,England
Edgerton,,West Yorkshire,England
Egypt,,West Yorkshire,England
Eldwick,BD16,West Yorkshire,England
Emley,HD8,West Yorkshire,England
Esholt,,West Yorkshire,England
Eston,,West Yorkshire,England
Exley Head,,West Yorkshire,England
Fagley,,West Yorkshire,England
Far Royds,,West Yorkshire,England
Farnley,LS12,West Yorkshire,England
Farnley Bank,,West Yorkshire,England
Farnley Tyas,HD4,West Yorkshire,England
Farsley,LS28,West Yorkshire,England
Farsley Beck Bottom,,West Yorkshire,England
Fartown,,West Yorkshire,England
Fearnville,LS8,West Yorkshire,England
Featherstone,WF7,West Yorkshire,England
Fell Lane,,West Yorkshire,England
Fenay Bridge,HD8,West Yorkshire,England
Ferrybridge,WF11,West Yorkshire,England
Fitzwilliam,WF9,West Yorkshire,England
Fixby,,West Yorkshire,England
Flanshaw,,West Yorkshire,England
Flappit Spring,,West Yorkshire,England
Flockton,WF4,West Yorkshire,England
Flockton Green,WF4,West Yorkshire,England
Flockton Moor,,West Yorkshire,England
Flush House,,West Yorkshire,England
Flushdyke,,West Yorkshire,England
Foulby,,West Yorkshire,England
Four Lane Ends,,West Yorkshire,England
Fox Royd,,West Yorkshire,England
Frizinghall,,West Yorkshire,England
Fulneck,,West Yorkshire,England
Fulstone,,West Yorkshire,England
Gamble Hill,,West Yorkshire,England
Garden Village,,West Yorkshire,England
Garforth,LS25,West Yorkshire,England
Gawthorpe,WF5,West Yorkshire,England
Gerrick,,West Yorkshire,England
Gildersome,LS27,West Yorkshire,England
Gildersome Street,,West Yorkshire,England
Gilstead,,West Yorkshire,England
Gipton,LS8,West Yorkshire,England
Gipton Wood,,West Yorkshire,England
Girlington,,West Yorkshire,England
Glass Houghton,,West Yorkshire,England
Gledhow,LS8,West Yorkshire,England
Golcar,HD7,West Yorkshire,England
Gomersal,BD19,West Yorkshire,England
Goose Eye,,West Yorkshire,England
Goosehill,,West Yorkshire,England
Grange Moor,WF4,West Yorkshire,England
Grangetown,,West Yorkshire,England
Great Cliff,,West Yorkshire,England
Great Horton,,West Yorkshire,England
Great Preston,LS26,West Yorkshire,England
Green Clough,,West Yorkshire,England
Green Hill,,West Yorkshire,England
Green Side,,West Yorkshire,England
Greengates,,West Yorkshire,England
Greenside,,West Yorkshire,England
Grove Town,,West Yorkshire,England
Guard House,,West Yorkshire,England
Guisborough,,West Yorkshire,England
Guiseley,LS20,West Yorkshire,England
Hade Edge,,West Yorkshire,England
Haigh Moor,,West Yorkshire,England
Hainworth,BD21,West Yorkshire,England
Hainworth Shaw,,West Yorkshire,England
Halifax,HX1,West Yorkshire,England
Hall Bower,,West Yorkshire,England
Hall Green,,West Yorkshire,England
Halton,LS15,West Yorkshire,England
Halton Moor,LS15,West Yorkshire,England
Hanging Heaton,,West Yorkshire,England
Harden,BD16,West Yorkshire,England
Harecroft,,West Yorkshire,England
Harehills,LS8,West Yorkshire,England
Harewood,LS17,West Yorkshire,England
Harewood Hill,,West Yorkshire,England
Hartshead,,West Yorkshire,England
Havercroft,WF4,West Yorkshire,England
Hawksworth,LS20,West Yorkshire,England
Haworth,BD22,West Yorkshire,England
Headingley,,West Yorkshire,England
Healey,,West Yorkshire,England
Heath Common,,West Yorkshire,England
Heaton,,West Yorkshire,England
Heaton Royds,,West Yorkshire,England
Heaton Shay,,West Yorkshire,England
Heckmondwike,WF16,West Yorkshire,England
Helme,,West Yorkshire,England
Hemsworth,WF9,West Yorkshire,England
Henshaw,,West Yorkshire,England
Hepworth,HD7,West Yorkshire,England
Hermit Hole,,West Yorkshire,England
Hessle,,West Yorkshire,England
Hey Green,,West Yorkshire,England
High Ackworth,WF7,West Yorkshire,England
High Flatts,,West Yorkshire,England
High Green,,West Yorkshire,England
Highburton,HD8,West Yorkshire,England
Hightown,,West Yorkshire,England
Hill Side,,West Yorkshire,England
Hill Top,WF2,West Yorkshire,England
Hillfoot,,West Yorkshire,England
Hinchcliffe Mill,,West Yorkshire,England
Hogley Green,,West Yorkshire,England
Holbeck,LS11,West Yorkshire,England
Hole,,West Yorkshire,England
Hollin Park,,West Yorkshire,England
Hollingthorpe,,West Yorkshire,England
Hollinthorpe,,West Yorkshire,England
Holmbridge,,West Yorkshire,England
Holme,HD7,West Yorkshire,England
Holme Wood,,West Yorkshire,England
Holmfirth,HD7,West Yorkshire,England
Holt Head,,West Yorkshire,England
Holt Park,LS16,West Yorkshire,England
Honley,HD7,West Yorkshire,England
Honley Moor,,West Yorkshire,England
Hopetown,,West Yorkshire,England
Horbury,WF4,West Yorkshire,England
Horbury Bridge,,West Yorkshire,England
Horbury Junction,,West Yorkshire,England
Horsforth,LS18,West Yorkshire,England
Horsforth Woodside,,West Yorkshire,England
Hough Side,,West Yorkshire,England
Houses Hill,,West Yorkshire,England
Howden Clough,,West Yorkshire,England
Huddersfield,HD1,West Yorkshire,England
Hungate,,West Yorkshire,England
Hunslet,LS10,West Yorkshire,England
Hunslet Carr,,West Yorkshire,England
Hunsworth,,West Yorkshire,England
Hutton Gate,,West Yorkshire,England
Hutton Village,,West Yorkshire,England
Idle,,West Yorkshire,England
Idle Moor,,West Yorkshire,England
Ilkley,LS29,West Yorkshire,England
Ingrow,BD21,West Yorkshire,England
Intake,,West Yorkshire,England
Ireland Wood,LS16,West Yorkshire,England
Jackson Bridge,,West Yorkshire,England
Jaw Hill,,West Yorkshire,England
Keelham,,West Yorkshire,England
Keighley,BD21,West Yorkshire,England
Kelcliffe,,West Yorkshire,England
Kettlethorpe,WF2,West Yorkshire,England
Kiddal Lane End,LS15,West Yorkshire,England
Killingbeck,LS14,West Yorkshire,England
Kilton,,West Yorkshire,England
Kilton Thorpe,,West Yorkshire,England
Kinsley,WF9,West Yorkshire,England
Kippax,LS25,West Yorkshire,England
Kirkburton,HD8,West Yorkshire,England
Kirkhamgate,WF2,West Yorkshire,England
Kirkheaton,HD5,West Yorkshire,England
Kirkleatham,,West Yorkshire,England
Kirkstall,LS5,West Yorkshire,England
Kirkthorpe,WF1,West Yorkshire,England
Kitchenroyd,,West Yorkshire,England
Knottingley,WF11,West Yorkshire,England
Knowle Park,,West Yorkshire,England
Knowsthorpe,,West Yorkshire,England
Lackenby,,West Yorkshire,England
Lady Wood,,West Yorkshire,England
Laisterdyke,BD4,West Yorkshire,England
Lane Bottom,,West Yorkshire,England
Lane End,,West Yorkshire,England
Lane Ends,,West Yorkshire,England
Lane Head,HD8,West Yorkshire,England
Larkfield,,West Yorkshire,England
Lawns,,West Yorkshire,England
Lawnswood,LS16,West Yorkshire,England
Laycock,BD22,West Yorkshire,England
Lazenby,,West Yorkshire,England
Ledsham,LS25,West Yorkshire,England
Ledston,WF10,West Yorkshire,England
Ledston Luck,,West Yorkshire,England
Lee Moor,,West Yorkshire,England
Leeds,LS1,West Yorkshire,England
Leeds and Liverpool Canal,,West Yorkshire,England
Leeming,BD22,West Yorkshire,England
Lepton,HD8,West Yorkshire,England
Lepton Edge,,West Yorkshire,England
Leventhorpe,,West Yorkshire,England
Leymoor,,West Yorkshire,England
Lidget Green,,West Yorkshire,England
Lidgett Park,,West Yorkshire,England
Lindley,HD3,West Yorkshire,England
Lingards Wood,,West Yorkshire,England
Lingbob,,West Yorkshire,England
Lingdale,,West Yorkshire,England
Linthwaite,HD7,West Yorkshire,England
Linton,LS22,West Yorkshire,England
Little Horton,,West Yorkshire,England
Little Lepton,,West Yorkshire,England
Little London,LS7,West Yorkshire,England
Little Preston,,West Yorkshire,England
Little Thorpe,,West Yorkshire,England
Littletown,,West Yorkshire,England
Liversedge,WF15,West Yorkshire,England
Liverton,,West Yorkshire,England
Liverton Mines,,West Yorkshire,England
Lockwood,HD1,West Yorkshire,England
Lodge Hill,,West Yorkshire,England
Lofthouse,WF3,West Yorkshire,England
Lofthouse Gate,WF3,West Yorkshire,England
Loftus,,West Yorkshire,England
Long Lee,,West Yorkshire,England
Longley,,West Yorkshire,England
Longwood,,West Yorkshire,England
Longwood Edge,,West Yorkshire,England
Loscoe,,West Yorkshire,England
Low Ackworth,,West Yorkshire,England
Low Fold,,West Yorkshire,England
Low Green,,West Yorkshire,England
Low Moor,BD12,West Yorkshire,England
Lower Altofts,,West Yorkshire,England
Lower Cumberworth,,West Yorkshire,England
Lower Grange,,West Yorkshire,England
Lower Hopton,,West Yorkshire,England
Lower Houses,,West Yorkshire,England
Lower Mickletown,,West Yorkshire,England
Lower Soothill,,West Yorkshire,England
Lower Town,,West Yorkshire,England
Lumb,HX6,West Yorkshire,England
Lumb Foot,,West Yorkshire,England
Lupset,WF2,West Yorkshire,England
Manningham,,West Yorkshire,England
Manor Park,,West Yorkshire,England
Manston,,West Yorkshire,England
Manywells Height,,West Yorkshire,England
Margrove Park,,West Yorkshire,England
Marsden,HD7,West Yorkshire,England
Marsh,HD1,West Yorkshire,England
Marske-By-The-Sea,,West Yorkshire,England
Meal Hill,,West Yorkshire,England
Meanwood,LS7,West Yorkshire,England
Meltham,HD7,West Yorkshire,England
Meltham Mills,,West Yorkshire,England
Menston,LS29,West Yorkshire,England
Merchant Fields,,West Yorkshire,England
Methley,LS26,West Yorkshire,England
Methley Junction,,West Yorkshire,England
Methley Lanes,,West Yorkshire,England
Micklefield,LS25,West Yorkshire,England
Micklethwaite,,West Yorkshire,England
Mickletown,LS26,West Yorkshire,England
Middlestown,WF4,West Yorkshire,England
Middleton,LS10,West Yorkshire,England
Midgley,HX2,West Yorkshire,England
Miles Hill,,West Yorkshire,England
Mill Shaw,,West Yorkshire,England
Milnsbridge,HD3,West Yorkshire,England
Milnthorpe,,West Yorkshire,England
Mirfield,WF14,West Yorkshire,England
Moldgreen,HD5,West Yorkshire,England
Monkhill,,West Yorkshire,England
Monkswood,,West Yorkshire,England
Moor Allerton,LS17,West Yorkshire,England
Moor Edge,,West Yorkshire,England
Moor End,,West Yorkshire,England
Moor Head,,West Yorkshire,England
Moor Side,,West Yorkshire,England
Moor Top,,West Yorkshire,England
Moorhead,,West Yorkshire,England
Moorsholm,,West Yorkshire,England
Moorside,,West Yorkshire,England
Moorthorpe,,West Yorkshire,England
Moortown,LS17,West Yorkshire,England
Morley,LS27,West Yorkshire,England
Mount,,West Yorkshire,England
Mount Pleasant,,West Yorkshire,England
Mountain,,West Yorkshire,England
Mytholmes,,West Yorkshire,England
Nab Hill,,West Yorkshire,England
Nab Wood,,West Yorkshire,England
Nether Yeadon,,West Yorkshire,England
Netherby,,West Yorkshire,England
Netherley,,West Yorkshire,England
Netheroyd Hill,,West Yorkshire,England
Netherthong,HD7,West Yorkshire,England
Netherton,HD4,West Yorkshire,England
Nettleton Hill,,West Yorkshire,England
New Brighton,,West Yorkshire,England
New Brotton,,West Yorkshire,England
New Crofton,WF4,West Yorkshire,England
New Farnley,LS12,West Yorkshire,England
New Fryston,WF10,West Yorkshire,England
New Holland,,West Yorkshire,England
New Marske,,West Yorkshire,England
New Micklefield,,West Yorkshire,England
New Mill,HD7,West Yorkshire,England
New Road Side,,West Yorkshire,England
New Scarbro,,West Yorkshire,England
New Sharlston,,West Yorkshire,England
New Skelton,,West Yorkshire,England
New Town,,West Yorkshire,England
New Wortley,,West Yorkshire,England
Newall,,West Yorkshire,England
Newmillerdam,WF2,West Yorkshire,England
Newsam Green,,West Yorkshire,England
Newsholme,,West Yorkshire,England
Newsome,HD4,West Yorkshire,England
Newstead,,West Yorkshire,England
Newton Hill,,West Yorkshire,England
Newton under Roseberry,,West Yorkshire,England
Noon Nick,,West Yorkshire,England
Normanby,,West Yorkshire,England
Normanton,WF6,West Yorkshire,England
Norr,BD15,West Yorkshire,England
Norristhorpe,,West Yorkshire,England
North Elmsall,WF9,West Yorkshire,England
North Featherstone,,West Yorkshire,England
North Skelton,,West Yorkshire,England
Northorpe,,West Yorkshire,England
Notton,WF4,West Yorkshire,England
Oakenshaw,BD12,West Yorkshire,England
Oakes,HD3,West Yorkshire,England
Oakwell,,West Yorkshire,England
Oakwood,LS8,West Yorkshire,England
Oakworth,BD22,West Yorkshire,England
Odsal,,West Yorkshire,England
Old Bramhope,,West Yorkshire,England
Old Dolphin,,West Yorkshire,England
Old Micklefield,LS25,West Yorkshire,England
Old Snydale,,West Yorkshire,England
Oldfield,BD22,West Yorkshire,England
Ormesby,,West Yorkshire,England
Osmondthorpe,LS9,West Yorkshire,England
Osset Spa,,West Yorkshire,England
Ossett,WF5,West Yorkshire,England
Ossett Street Side,,West Yorkshire,England
Otley,LS21,West Yorkshire,England
Oulton,LS26,West Yorkshire,England
Ousel Hole,,West Yorkshire,England
Outwood,WF1,West Yorkshire,England
Ouzlewell Green,,West Yorkshire,England
Overthorpe,,West Yorkshire,England
Overton,,West Yorkshire,England
Overtown,,West Yorkshire,England
Owlet,,West Yorkshire,England
Oxenhope,BD22,West Yorkshire,England
Paddock,HD1,West Yorkshire,England
Painthorpe,,West Yorkshire,England
Park Gate,,West Yorkshire,England
Park Head,,West Yorkshire,England
Park Mill,,West Yorkshire,England
Park Villas,,West Yorkshire,England
Parklands,,West Yorkshire,England
Parlington,,West Yorkshire,England
Peas Acre,,West Yorkshire,England
Pendas Fields,,West Yorkshire,England
Pickles Hill,,West Yorkshire,England
Pledwick,,West Yorkshire,England
Pole Moor,,West Yorkshire,England
Pontefract,WF8,West Yorkshire,England
Pool,LS21,West Yorkshire,England
Portobello,,West Yorkshire,England
Potternewton,LS7,West Yorkshire,England
Potterton,,West Yorkshire,England
Pottery Field,,West Yorkshire,England
Priesthorpe,,West Yorkshire,England
Priestthorpe,,West Yorkshire,England
Prince Royd,,West Yorkshire,England
Pudsey,LS28,West Yorkshire,England
Purston Jaglin,WF7,West Yorkshire,England
Quarmby,HD3,West Yorkshire,England
Queensbury,BD13,West Yorkshire,England
Ravenscliffe,,West Yorkshire,England
Ravensthorpe,WF13,West Yorkshire,England
Rawdon,LS19,West Yorkshire,England
Rawdon Carrs,,West Yorkshire,England
Rawfolds,,West Yorkshire,England
Rawthorpe,,West Yorkshire,England
Red Hill,,West Yorkshire,England
Redcar,,West Yorkshire,England
Richmond Hill,LS9,West Yorkshire,England
Riddlesden,BD20,West Yorkshire,England
Roberttown,WF15,West Yorkshire,England
Robin Hood,LS26,West Yorkshire,England
Rodley,,West Yorkshire,England
Rothwell,LS26,West Yorkshire,England
Rothwell Haigh,,West Yorkshire,England
Roundhay,LS8,West Yorkshire,England
Rowley Hill,,West Yorkshire,England
Royd Moor,,West Yorkshire,England
Roydhouse,,West Yorkshire,England
Royds Green,,West Yorkshire,England
Ryecroft,,West Yorkshire,England
Ryhill,WF4,West Yorkshire,England
Salendine Nook,HD3,West Yorkshire,England
Saltaire,BD18,West Yorkshire,England
Sandal,WF2,West Yorkshire,England
Sandal Magna,,West Yorkshire,England
Sandford,,West Yorkshire,England
Sandhills,,West Yorkshire,England
Sandy Lane,BD15,West Yorkshire,England
Savile Town,WF12,West Yorkshire,England
Sawood,,West Yorkshire,England
Scaling,,West Yorkshire,England
Scapegoat Hill,HD7,West Yorkshire,England
Scarcroft,LS14,West Yorkshire,England
Scholemoor,,West Yorkshire,England
Scholes,BD19,West Yorkshire,England
Scholey Hill,,West Yorkshire,England
School Green,,West Yorkshire,England
Scissett,HD8,West Yorkshire,England
Scotgate,,West Yorkshire,England
Seacroft,LS14,West Yorkshire,England
Shadwell,LS17,West Yorkshire,England
Sharlston,WF4,West Yorkshire,England
Sharlston Common,,West Yorkshire,England
Shaw,,West Yorkshire,England
Shay Gate,,West Yorkshire,England
Sheepridge,,West Yorkshire,England
Sheepscar,LS7,West Yorkshire,England
Shelley,HD8,West Yorkshire,England
Shelley Woodhouse,,West Yorkshire,England
Shepherd Hill,,West Yorkshire,England
Shepley,HD8,West Yorkshire,England
Shibden Head,,West Yorkshire,England
Shipley,BD17,West Yorkshire,England
Silsden,BD20,West Yorkshire,England
Simpson Green,,West Yorkshire,England
Skelmanthorpe,HD8,West Yorkshire,England
Skelton,,West Yorkshire,England
Skinningrove,,West Yorkshire,England
Slack,,West Yorkshire,England
Slaithwaite,HD7,West Yorkshire,England
Slapewath,,West Yorkshire,England
Slippery Ford,,West Yorkshire,England
Snow Hill,,West Yorkshire,England
Snow Lea,,West Yorkshire,England
Snydale,,West Yorkshire,England
South Bank,,West Yorkshire,England
South Crosland,,West Yorkshire,England
South Elmsall,WF9,West Yorkshire,England
South Hiendley,S72,West Yorkshire,England
South Kirkby,WF9,West Yorkshire,England
South Ossett,,West Yorkshire,England
Spen,,West Yorkshire,England
Staincliffe,WF13,West Yorkshire,England
Stanbury,BD22,West Yorkshire,England
Stanks,,West Yorkshire,England
Stanley,WF3,West Yorkshire,England
Stanley Ferry,,West Yorkshire,England
Stanningley,LS28,West Yorkshire,England
Stead,,West Yorkshire,England
Steeton,BD20,West Yorkshire,England
Stockbridge,,West Yorkshire,England
Stourton,LS10,West Yorkshire,England
Stranghow,,West Yorkshire,England
Strawberry Hill,,West Yorkshire,England
Streethouse,WF7,West Yorkshire,England
Swain House,,West Yorkshire,England
Swarcliffe,LS14,West Yorkshire,England
Swartha,,West Yorkshire,England
Swillington,LS26,West Yorkshire,England
Swillington Common,,West Yorkshire,England
Swincliffe,,West Yorkshire,England
Swinnow Moor,,West Yorkshire,England
Tandem,,West Yorkshire,England
Tarn,,West Yorkshire,England
Teesville,,West Yorkshire,England
Thackley,,West Yorkshire,England
Thackley End,,West Yorkshire,England
The Fall,,West Yorkshire,England
Thick Hollins,,West Yorkshire,England
Thongsbridge,,West Yorkshire,England
Thornbury,,West Yorkshire,England
Thorncliff,,West Yorkshire,England
Thorner,LS14,West Yorkshire,England
Thornes,WF2,West Yorkshire,England
Thornhill,WF12,West Yorkshire,England
Thornhill Edge,,West Yorkshire,England
Thornhill Lees,WF12,West Yorkshire,England
Thornton,BD13,West Yorkshire,England
Thorp Arch,LS23,West Yorkshire,England
Thorpe Audlin,WF8,West Yorkshire,England
Thorpe Edge,,West Yorkshire,England
Thorpe on The Hill,WF3,West Yorkshire,England
Thunder Bridge,,West Yorkshire,England
Thurstonland,HD7,West Yorkshire,England
Thwaites,,West Yorkshire,England
Thwaites Brow,,West Yorkshire,England
Tingley,WF3,West Yorkshire,England
Tinshill,LS16,West Yorkshire,England
Toftshaw,,West Yorkshire,England
Tong,BD4,West Yorkshire,England
Tong Park,,West Yorkshire,England
Tong Street,BD4,West Yorkshire,England
Topcliffe,,West Yorkshire,England
Totties,,West Yorkshire,England
Town End,,West Yorkshire,England
Town Head,,West Yorkshire,England
Troydale,,West Yorkshire,England
Tyersal,BD4,West Yorkshire,England
Under Bank,,West Yorkshire,England
Undercliffe,,West Yorkshire,England
Upleatham,,West Yorkshire,England
Upper Armley,,West Yorkshire,England
Upper Batley,,West Yorkshire,England
Upper Cumberworth,,West Yorkshire,England
Upper Denby,HD8,West Yorkshire,England
Upper Green,,West Yorkshire,England
Upper Heaton,,West Yorkshire,England
Upper Hopton,WF14,West Yorkshire,England
Upper Marsh,,West Yorkshire,England
Upper Moor Side,,West Yorkshire,England
Upper Town,,West Yorkshire,England
Upperthong,HD7,West Yorkshire,England
Upton,WF9,West Yorkshire,England
Utley,BD20,West Yorkshire,England
Victoria,,West Yorkshire,England
Wakefield,WF1,West Yorkshire,England
Walton,LS23,West Yorkshire,England
Warmfield,WF1,West Yorkshire,England
Warrenby,,West Yorkshire,England
Washpit,,West Yorkshire,England
Water Fryston,,West Yorkshire,England
Weardley,LS17,West Yorkshire,England
Weeton,LS17,West Yorkshire,England
Weetwood,LS16,West Yorkshire,England
Well Heads,,West Yorkshire,England
Wellhouse,,West Yorkshire,England
Wellington Hill,,West Yorkshire,England
Wellroyd,,West Yorkshire,England
Wentbridge,WF8,West Yorkshire,England
