,,Cumbria,England
Calthwaite,CA11,Cumbria,England
Calvo,CA5,Cumbria,England
Camerton,CA14,Cumbria,England
Canal Foot,,Cumbria,England
Cardew,,Cumbria,England
Cardewlees,,Cumbria,England
Cardurnock,CA5,Cumbria,England
Cargo,CA6,Cumbria,England
Cark,LA11,Cumbria,England
Carleton,CA1,Cumbria,England
Carleton Hall,,Cumbria,England
Carlisle,CA1,Cumbria,England
Carr Bank,,Cumbria,England
Cartmel,LA11,Cumbria,England
Cartmel Fell,LA11,Cumbria,England
Carwinley,,Cumbria,England
Casterton,LA6,Cumbria,England
Castle Carrock,CA4,Cumbria,England
Castlerigg,,Cumbria,England
Castletown,,Cumbria,England
Cat Bank,,Cumbria,England
Catholes,,Cumbria,England
Catlowdy,CA6,Cumbria,England
Catterlen,CA11,Cumbria,England
Causeway End,,Cumbria,England
Cautley,LA10,Cumbria,England
Chalkfoot,,Cumbria,England
Chapel,,Cumbria,England
Chapel Stile,LA22,Cumbria,England
Chapels,,Cumbria,England
Chestnut Hill,,Cumbria,England
Church Brough,,Cumbria,England
Churchtown,,Cumbria,England
Clappersgate,LA22,Cumbria,England
Clawthorpe,LA6,Cumbria,England
Cleator,CA23,Cumbria,England
Cleator Moor,CA25,Cumbria,England
Cliburn,CA10,Cumbria,England
Clifton,CA10,Cumbria,England
Cocker,,Cumbria,England
Cockermouth,CA13,Cumbria,England
Cockley Beck,LA20,Cumbria,England
Colby,CA16,Cumbria,England
Colt Park,,Cumbria,England
Colthouse,,Cumbria,England
Colton,LA12,Cumbria,England
Common End,,Cumbria,England
Coniston,LA21,Cumbria,England
Coniston Water,,Cumbria,England
Corby Hill,,Cumbria,England
Corney,LA19,Cumbria,England
Cotehill,CA4,Cumbria,England
Cotes,LA8,Cumbria,England
Coulderton,,Cumbria,England
Coupland,CA16,Cumbria,England
Cow Green Reservoir,,Cumbria,England
Cowen Head,,Cumbria,England
Cowgill,LA10,Cumbria,England
Crackenthorpe,CA16,Cumbria,England
Crake,,Cumbria,England
Crewgarth,,Cumbria,England
Croasdale,CA23,Cumbria,England
Croftlands,,Cumbria,England
Crofton,,Cumbria,England
Croglin,CA4,Cumbria,England
Crook,LA8,Cumbria,England
Crookdake,,Cumbria,England
Crooklands,LA7,Cumbria,England
Crosby,CA15,Cumbria,England
Crosby Garrett,CA17,Cumbria,England
Crosby Ravensworth,CA10,Cumbria,England
Crosby Villa,,Cumbria,England
Crosby-on-Eden,,Cumbria,England
Croslands Park,,Cumbria,England
Crosscanonby,CA15,Cumbria,England
Crosscrake,,Cumbria,England
Crossgates,,Cumbria,England
Crossgill,,Cumbria,England
Crosslands,,Cumbria,England
Crosthwaite,LA8,Cumbria,England
Crummock Water,,Cumbria,England
Culgaith,CA10,Cumbria,England
Cumbrian Mountains,,Cumbria,England
Cumdivock,,Cumbria,England
Cummersdale,CA2,Cumbria,England
Cumrew,CA4,Cumbria,England
Cumwhinton,CA4,Cumbria,England
Cumwhitton,CA4,Cumbria,England
Currock,,Cumbria,England
Dacre,CA11,Cumbria,England
Dacre Beck,,Cumbria,England
Dale,,Cumbria,England
Dale Bottom,,Cumbria,England
Dalston,CA5,Cumbria,England
Dalton,,Cumbria,England
Dalton-In-Furness,LA15,Cumbria,England
Dean,CA14,Cumbria,England
Deanscales,CA13,Cumbria,England
Dearham,CA15,Cumbria,England
Dee,,Cumbria,England
Deepthwaite,,Cumbria,England
Dendron,LA13,Cumbria,England
Dent,LA10,Cumbria,England
Denton Holme,,Cumbria,England
Derwent,,Cumbria,England
Derwent Water,,Cumbria,England
Distington,CA14,Cumbria,England
Dockray,CA11,Cumbria,England
Dovenby,CA13,Cumbria,England
Down Hall,,Cumbria,England
Dragley Beck,,Cumbria,England
Drigg,CA19,Cumbria,England
Drumburgh,CA5,Cumbria,England
Drybeck,CA16,Cumbria,England
Dubwath,,Cumbria,England
Duddon,,Cumbria,England
Duddon Bridge,LA18,Cumbria,England
Dufton,CA16,Cumbria,England
Dundraw,CA7,Cumbria,England
Dunnerholme,,Cumbria,England
Dunningwell,,Cumbria,England
Durdar,CA2,Cumbria,England
Eaglesfield,CA13,Cumbria,England
Eamont,,Cumbria,England
Eamont Bridge,CA10,Cumbria,England
East Curthwaite,,Cumbria,England
Easton,CA6,Cumbria,England
Eccle Riggs,,Cumbria,England
Edderside,CA15,Cumbria,England
Eden,CA10,Cumbria,England
Eden Mount,,Cumbria,England
Edenhall,CA11,Cumbria,England
Edentown,,Cumbria,England
Egremont,CA22,Cumbria,England
Ehen,,Cumbria,England
Ellen,,Cumbria,England
Ellenborough,CA15,Cumbria,England
Ellonby,CA11,Cumbria,England
Elterwater,LA22,Cumbria,England
Embleton,CA13,Cumbria,England
Endmoor,LA8,Cumbria,England
Ennerdale Bridge,CA23,Cumbria,England
Ennerdale Water,,Cumbria,England
Esk,,Cumbria,England
Eskdale Green,CA19,Cumbria,England
Etterby,,Cumbria,England
Ewanrigg,,Cumbria,England
Fair Hill,,Cumbria,England
Far Arnside,,Cumbria,England
Far End,,Cumbria,England
Far Sawrey,,Cumbria,England
Farlam,CA8,Cumbria,England
Farleton,LA6,Cumbria,England
Faugh,CA4,Cumbria,England
Fell End,,Cumbria,England
Fell Side,,Cumbria,England
Felldyke,,Cumbria,England
Fenton,,Cumbria,England
Ferney Green,,Cumbria,England
Field Broughton,LA11,Cumbria,England
Fingland,CA5,Cumbria,England
Finsthwaite,LA12,Cumbria,England
Firbank,LA10,Cumbria,England
Fletchertown,CA5,Cumbria,England
Flimby,CA15,Cumbria,England
Flitholme,,Cumbria,England
Flookburgh,LA11,Cumbria,England
Force Forge,LA12,Cumbria,England
Force Mills,,Cumbria,England
Forest Head,CA8,Cumbria,England
Fothergill,,Cumbria,England
Foulbog Sike,,Cumbria,England
Foulbridge,,Cumbria,England
Foxfield,LA20,Cumbria,England
Frizington,CA26,Cumbria,England
Gairn Burn,,Cumbria,England
Gaisgill,,Cumbria,England
Gaitsgill,CA5,Cumbria,England
Galligill,,Cumbria,England
Gamblesby,CA10,Cumbria,England
Gamelsby,,Cumbria,England
Garlands,,Cumbria,England
Garnett Bridge,LA8,Cumbria,England
Garrigill,CA9,Cumbria,England
Garsdale,,Cumbria,England
Garsdale Head,LA10,Cumbria,England
Garth Row,,Cumbria,England
Gatebeck,LA8,Cumbria,England
Gatesgarth,,Cumbria,England
Gawthrop,LA10,Cumbria,England
Gawthwaite,LA12,Cumbria,England
Gelt,,Cumbria,England
Gilcrux,CA5,Cumbria,England
Gilgarran,CA14,Cumbria,England
Gillbank,,Cumbria,England
Gilpin,,Cumbria,England
Gilsland,CA6,Cumbria,England
Glasson,CA5,Cumbria,England
Glassonby,CA10,Cumbria,England
Gleaston,LA12,Cumbria,England
Glendermackin,,Cumbria,England
Glenridding,CA11,Cumbria,England
Godrill Beck,,Cumbria,England
Goodyhills,,Cumbria,England
Goose Green,,Cumbria,England
Gosforth,CA20,Cumbria,England
Grains Gill,,Cumbria,England
Grange,CA12,Cumbria,England
Grange-Over-Sands,LA11,Cumbria,England
Grasmere,LA22,Cumbria,England
Grassgarth,,Cumbria,England
Grayrigg,LA8,Cumbria,England
Grayson Green,,Cumbria,England
Great Asby,CA16,Cumbria,England
Great Blencow,,Cumbria,England
Great Broughton,CA13,Cumbria,England
Great Clifton,CA14,Cumbria,England
Great Corby,CA4,Cumbria,England
Great Crosthwaite,,Cumbria,England
Great Langdale Beck,,Cumbria,England
Great Musgrave,CA17,Cumbria,England
Great Ormside,CA16,Cumbria,England
Great Orton,CA5,Cumbria,England
Great Salkeld,CA11,Cumbria,England
Great Strickland,CA10,Cumbria,England
Great Urswick,LA12,Cumbria,England
Green Bank,,Cumbria,England
Green Head,,Cumbria,England
Green Quarter,,Cumbria,England
Greengarth Hall,,Cumbria,England
Greengill,,Cumbria,England
Greenholme,CA10,Cumbria,England
Greenodd,LA12,Cumbria,England
Greenrow,,Cumbria,England
Greenside,,Cumbria,England
Greenwell,,Cumbria,England
Greta,,Cumbria,England
Greysouthen,CA13,Cumbria,England
Greystoke,CA11,Cumbria,England
Greystoke Gill,,Cumbria,England
Greystone,,Cumbria,England
Grinsdale,CA5,Cumbria,England
Grisdale,,Cumbria,England
Grizdale Beck,,Cumbria,England
Grizebeck,LA17,Cumbria,England
Grizedale,LA22,Cumbria,England
Grizedale Forest,,Cumbria,England
Gullom Holme,,Cumbria,England
Hackthorpe,CA10,Cumbria,England
Haile,CA22,Cumbria,England
Hale,,Cumbria,England
Halfpenny,,Cumbria,England
Hall Dunnerdale,LA20,Cumbria,England
Hall Santon,,Cumbria,England
Hall Waberthwaite,,Cumbria,England
Hallbankgate,CA8,Cumbria,England
Hallthwaites,,Cumbria,England
Haltcliff Bridge,,Cumbria,England
Hampsfield,,Cumbria,England
Hardendale,,Cumbria,England
Haresceugh,CA10,Cumbria,England
Harker,CA6,Cumbria,England
Harker Marsh,,Cumbria,England
Harraby,,Cumbria,England
Harras,,Cumbria,England
Harrington,,Cumbria,England
Harriston,,Cumbria,England
Hartbarrow,,Cumbria,England
Hartley,CA17,Cumbria,England
Hartsop,CA10,Cumbria,England
Haverigg,LA18,Cumbria,England
Haverthwaite,LA12,Cumbria,England
Hawcoat,LA14,Cumbria,England
Hawes Water Beck,,Cumbria,England
Haweswater Reservoir,,Cumbria,England
Hawk Hill,,Cumbria,England
Hawksdale,,Cumbria,England
Hawkshead,LA22,Cumbria,England
Hawkshead Hill,,Cumbria,England
Haws Bank,,Cumbria,England
Hayton,CA4,Cumbria,England
Hazelslack,,Cumbria,England
Headless Cross,,Cumbria,England
Heads Nook,CA4,Cumbria,England
Heaning,,Cumbria,England
Heathwaite,,Cumbria,England
Heggle Lane,,Cumbria,England
Helbeck,,Cumbria,England
Helmside,,Cumbria,England
Helton,CA10,Cumbria,England
Hensingham,CA28,Cumbria,England
Hesket Newmarket,CA7,Cumbria,England
Hethersgill,CA6,Cumbria,England
Hetherside,,Cumbria,England
Heversham,LA7,Cumbria,England
Hewer Hill,,Cumbria,England
High Bankhill,,Cumbria,England
High Biggins,,Cumbria,England
High Cark,,Cumbria,England
High Casterton,,Cumbria,England
High Cunsey,,Cumbria,England
High Green,,Cumbria,England
High Harrington,CA14,Cumbria,England
High Hesket,CA4,Cumbria,England
High Hill,,Cumbria,England
High Ireby,CA5,Cumbria,England
High Longthwaite,,Cumbria,England
High Lorton,CA13,Cumbria,England
High Newton,LA11,Cumbria,England
High Nibthwaite,LA12,Cumbria,England
High Oaks,,Cumbria,England
High Park,,Cumbria,England
High Row,,Cumbria,England
High Scales,,Cumbria,England
High Sellafield,,Cumbria,England
High Side,,Cumbria,England
High Walton,,Cumbria,England
High Water Head,,Cumbria,England
High Whinnow,,Cumbria,England
High Wray,LA22,Cumbria,England
Highbridge,,Cumbria,England
Highlaws,CA5,Cumbria,England
Highmoor,,Cumbria,England
Hilton,CA16,Cumbria,England
Hincaster,LA7,Cumbria,England
Hindpool,,Cumbria,England
Hoff,CA16,Cumbria,England
Holker,LA11,Cumbria,England
Hollins,,Cumbria,England
Holme,LA6,Cumbria,England
Holme Mills,,Cumbria,England
Holme St Cuthbert,,Cumbria,England
Holmrook,CA19,Cumbria,England
Holmwrangle,,Cumbria,England
Hopebeck,,Cumbria,England
Hornsby,CA4,Cumbria,England
Houghton,CA3,Cumbria,England
How,CA4,Cumbria,England
Howgate,,Cumbria,England
Howgill,,Cumbria,England
Howtown,,Cumbria,England
Hubbersty Head,,Cumbria,England
Hunsonby,CA10,Cumbria,England
Hurst,,Cumbria,England
Hutton,CA11,Cumbria,England
Hutton End,CA11,Cumbria,England
Hutton Roof,CA11,Cumbria,England
Hycemoor,LA19,Cumbria,England
Hyton,LA19,Cumbria,England
Ickenthwaite,,Cumbria,England
Ings,LA8,Cumbria,England
Ireby,CA5,Cumbria,England
Ireleth,LA16,Cumbria,England
Irt,,Cumbria,England
Irthing,,Cumbria,England
Irthington,CA6,Cumbria,England
Isel,,Cumbria,England
Ivegill,CA4,Cumbria,England
Johnby,CA11,Cumbria,England
Kaber,CA17,Cumbria,England
Kearstwick,LA6,Cumbria,England
Keekle,,Cumbria,England
Keld,CA10,Cumbria,England
Kelleth,CA10,Cumbria,England
Kells,,Cumbria,England
Kelsick,CA5,Cumbria,England
Kendal,LA8,Cumbria,England
Kent,,Cumbria,England
Kentmere,LA8,Cumbria,England
Kentrigg,,Cumbria,England
Kents Bank,LA11,Cumbria,England
Keswick,CA12,Cumbria,England
Kidburngill,,Cumbria,England
Killington,LA6,Cumbria,England
Kilnhill,,Cumbria,England
King Water,,Cumbria,England
Kingside Hill,,Cumbria,England
Kingstown,CA3,Cumbria,England
Kinkry Hill,,Cumbria,England
Kirkandrews-on-Eden,,Cumbria,England
Kirkbampton,CA5,Cumbria,England
Kirkborough,,Cumbria,England
Kirkbride,CA5,Cumbria,England
Kirkby Lonsdale,LA6,Cumbria,England
Kirkby Stephen,CA17,Cumbria,England
Kirkby Thore,CA10,Cumbria,England
Kirkby-in-Furness,LA17,Cumbria,England
Kirkcambeck,CA8,Cumbria,England
Kirkhouse,,Cumbria,England
Kirkland,CA10,Cumbria,England
Kirkland Guards,,Cumbria,England
Kirklinton,CA6,Cumbria,England
Kirkoswald,CA10,Cumbria,England
Kirksanton,LA18,Cumbria,England
Kiskin,,Cumbria,England
Knipe Fold,,Cumbria,England
Knock,CA16,Cumbria,England
Knowefield,,Cumbria,England
Lady Hall,LA18,Cumbria,England
Laithes,CA11,Cumbria,England
Lakeside,LA12,Cumbria,England
Lambfoot,,Cumbria,England
Lamonby,CA11,Cumbria,England
Lamplugh,CA14,Cumbria,England
Lancaster Canal,,Cumbria,England
Lane End,LA19,Cumbria,England
Lane Ends,,Cumbria,England
Lanercost,,Cumbria,England
Langrigg,CA5,Cumbria,England
Langstrath Beck,,Cumbria,England
Langstrath Gill,,Cumbria,England
Langwathby,CA10,Cumbria,England
Laversdale,CA6,Cumbria,England
Lazonby,CA10,Cumbria,England
Lea Yeat,LA10,Cumbria,England
Leadgate,CA9,Cumbria,England
Leasgill,LA7,Cumbria,England
Leece,LA12,Cumbria,England
Legburthwaite,,Cumbria,England
Lenacre,,Cumbria,England
Lessonhall,CA7,Cumbria,England
Levens,LA8,Cumbria,England
Leys,,Cumbria,England
Lickle,,Cumbria,England
Liddle Water,,Cumbria,England
Lindal in Furness,LA12,Cumbria,England
Lindale,LA11,Cumbria,England
Ling Cove Beck,,Cumbria,England
Lingmell Beck,,Cumbria,England
Linstock,CA6,Cumbria,England
Little Asby,,Cumbria,England
Little Bampton,CA7,Cumbria,England
Little Blencow,,Cumbria,England
Little Braithwaite,,Cumbria,England
Little Broughton,CA13,Cumbria,England
Little Clifton,CA14,Cumbria,England
Little Corby,CA4,Cumbria,England
Little Langdale,,Cumbria,England
Little Musgrave,CA17,Cumbria,England
Little Ormside,,Cumbria,England
Little Orton,CA5,Cumbria,England
Little Salkeld,CA10,Cumbria,England
Little Strickland,CA10,Cumbria,England
Little Town,CA12,Cumbria,England
Little Urswick,LA12,Cumbria,England
Liza,,Cumbria,England
Lockhills,,Cumbria,England
Logan Beck,,Cumbria,England
Long Marton,CA16,Cumbria,England
Longburgh,CA5,Cumbria,England
Longcroft,,Cumbria,England
Longdale,,Cumbria,England
Longdales,,Cumbria,England
Longlands,,Cumbria,England
Longpark,,Cumbria,England
Longsowerby,,Cumbria,England
Longthwaite,,Cumbria,England
Longtown,CA6,Cumbria,England
Loppergarth,,Cumbria,England
Low Biggins,,Cumbria,England
Low Borrowbridge,,Cumbria,England
Low Braithwaite,CA4,Cumbria,England
Low Cotehill,,Cumbria,England
Low Hesket,CA4,Cumbria,England
Low Knipe,,Cumbria,England
Low Lorton,,Cumbria,England
Low Moresby,,Cumbria,England
Low Newton,,Cumbria,England
Low Row,CA8,Cumbria,England
Low Walton,,Cumbria,England
Low Whinnow,,Cumbria,England
Low Wood,LA12,Cumbria,England
Lowca,,Cumbria,England
Lower Hawthwaite,LA20,Cumbria,England
Loweswater,CA13,Cumbria,England
Lowgill,LA8,Cumbria,England
Lowick,LA12,Cumbria,England
Lowick Bridge,,Cumbria,England
Lowick Green,,Cumbria,England
Lowther,CA10,Cumbria,England
Ludderburn,,Cumbria,England
Lune,,Cumbria,England
Lupton,LA6,Cumbria,England
Lyne,,Cumbria,England
Mains,,Cumbria,England
Mansergh,LA6,Cumbria,England
Mansriggs,LA12,Cumbria,England
Marthwaite,,Cumbria,England
Martindale,,Cumbria,England
Marton,LA12,Cumbria,England
Maryport,CA15,Cumbria,England
Matterdale End,CA11,Cumbria,England
Maulds Meaburn,CA10,Cumbria,England
Mawbray,CA15,Cumbria,England
Meal Bank,LA9,Cumbria,England
Mealrigg,,Cumbria,England
Mealsgate,CA5,Cumbria,England
Meathop,LA11,Cumbria,England
Melkinthorpe,CA10,Cumbria,England
Mellguards,,Cumbria,England
Melmerby,CA10,Cumbria,England
Micklethwaite,CA7,Cumbria,England
Middlesceugh,,Cumbria,England
Middleshaw,LA8,Cumbria,England
Middleton,LA6,Cumbria,England
Middleton Place,,Cumbria,England
Middletown,CA22,Cumbria,England
Midgeholme,CA6,Cumbria,England
Milburn,CA10,Cumbria,England
Mill Side,,Cumbria,England
Millbeck,CA12,Cumbria,England
Millgillhead,,Cumbria,England
Millholme,LA8,Cumbria,England
Millhouse,CA7,Cumbria,England
Millness,,Cumbria,England
Millom,LA18,Cumbria,England
Millthrop,LA10,Cumbria,England
Milnthorpe,LA7,Cumbria,England
Milton,CA8,Cumbria,England
Mintsfeet,,Cumbria,England
Mirehouse,,Cumbria,England
Mite Houses,,Cumbria,England
Moat,CA6,Cumbria,England
Mockerkin,CA13,Cumbria,England
Monkhill,,Cumbria,England
Moor Park,,Cumbria,England
Moor Row,CA24,Cumbria,England
Moorclose,,Cumbria,England
Moorend,,Cumbria,England
Moorhouse,CA5,Cumbria,England
Moresby Parks,,Cumbria,England
Morland,CA10,Cumbria,England
Morton,,Cumbria,England
Mosedale,CA11,Cumbria,England
Mosedale Beck,,Cumbria,England
Moss Side,,Cumbria,England
Mossbay,,Cumbria,England
Mossedge,,Cumbria,England
Mosser,,Cumbria,England
Mosser Mains,,Cumbria,England
Motherby,CA11,Cumbria,England
Mungrisdale,CA11,Cumbria,England
Murton,CA16,Cumbria,England
Nateby,CA17,Cumbria,England
Natland,LA9,Cumbria,England
Nealhouse,,Cumbria,England
Near Sawrey,LA22,Cumbria,England
Nenthall,CA9,Cumbria,England
Nenthead,CA9,Cumbria,England
Nepgill,,Cumbria,England
Nether Row,,Cumbria,England
Nether Wasdale,,Cumbria,England
Nether Welton,,Cumbria,England
Netherby,CA6,Cumbria,England
Netherton,,Cumbria,England
Nethertown,CA22,Cumbria,England
New Cowper,,Cumbria,England
New Hutton,LA8,Cumbria,England
New Mill,,Cumbria,England
Newbarns,LA13,Cumbria,England
Newbiggin,CA10,Cumbria,England
Newbiggin-on-Lune,CA17,Cumbria,England
Newby,CA10,Cumbria,England
Newby Bridge,LA12,Cumbria,England
Newby East,CA4,Cumbria,England
Newby Head,,Cumbria,England
Newby West,CA2,Cumbria,England
Newland,,Cumbria,England
Newland Beck,,Cumbria,England
Newland Bottom,,Cumbria,England
Newlands,,Cumbria,England
Newton,LA13,Cumbria,England
Newton Arlosh,CA5,Cumbria,England
Newton Reigny,CA11,Cumbria,England
Newton Rigg,,Cumbria,England
Newtown,CA6,Cumbria,England
Nook,CA6,Cumbria,England
North Dykes,,Cumbria,England
North End,,Cumbria,England
North Row,,Cumbria,England
North Scale,LA14,Cumbria,England
North Side,,Cumbria,England
North Stainmore,CA17,Cumbria,England
North Walney,,Cumbria,England
Nunclose,,Cumbria,England
Oakshaw Ford,CA6,Cumbria,England
Old Carlisle,,Cumbria,England
Old Hutton,LA8,Cumbria,England
Old Tebay,,Cumbria,England
Old Town,LA6,Cumbria,England
Oldfield,,Cumbria,England
Ormathwaite,,Cumbria,England
Ormsgill,,Cumbria,England
Orthwaite,,Cumbria,England
Orton,CA10,Cumbria,England
Orton Rigg,,Cumbria,England
Oughterby,CA5,Cumbria,England
Oughterside,,Cumbria,England
Oulton,CA7,Cumbria,England
Ousby,CA10,Cumbria,England
Outcast,,Cumbria,England
Outgate,LA22,Cumbria,England
Outhgill,CA17,Cumbria,England
Oxen Park,LA12,Cumbria,England
Oxenholme,LA9,Cumbria,England
Pallaflat,,Cumbria,England
Papcastle,CA13,Cumbria,England
Pardshaw,CA13,Cumbria,England
Pardshaw Hall,,Cumbria,England
Park Broom,,Cumbria,England
Park Head,,Cumbria,England
Parkgate,,Cumbria,England
Parkhead,,Cumbria,England
Parkside,,Cumbria,England
Parsonby,CA5,Cumbria,England
Parton,CA28,Cumbria,England
Pategill,,Cumbria,England
Patterdale,CA11,Cumbria,England
Patton Bridge,,Cumbria,England
Pelutho,CA5,Cumbria,England
Pennington,LA12,Cumbria,England
Penny Bridge,LA12,Cumbria,England
Penrith,CA11,Cumbria,England
Penruddock,CA11,Cumbria,England
Petteril,,Cumbria,England
Pica,CA14,Cumbria,England
Plantation Bridge,,Cumbria,England
Plumbland,CA5,Cumbria,England
Plumpton,CA11,Cumbria,England
Plumpton Foot,,Cumbria,England
Poaka Beck,,Cumbria,England
Ponsonby,CA20,Cumbria,England
Pooley Bridge,CA10,Cumbria,England
Port Carlisle,CA5,Cumbria,England
Portinscale,CA12,Cumbria,England
Powhill,,Cumbria,England
Prior Rigg,,Cumbria,England
Prospect,,Cumbria,England
Quality Corner,,Cumbria,England
Raby,,Cumbria,England
Raisbeck,CA10,Cumbria,England
Raise,,Cumbria,England
Rampside,LA13,Cumbria,England
Ratten Row,,Cumbria,England
Raughton,,Cumbria,England
Rauhgton Head,,Cumbria,England
Ravenglass,CA18,Cumbria,England
Ravenstonedale,CA17,Cumbria,England
Ravenstown,,Cumbria,England
