,,Devon,England
Cookbury,EX22,Devon,England
Cookbury Wick,,Devon,England
Coombe,EX23,Devon,England
Coombelake,,Devon,England
Copplestone,EX17,Devon,England
Cornwood,PL21,Devon,England
Cornworthy,TQ9,Devon,England
Cory,,Devon,England
Coryton,EX20,Devon,England
Cotford,,Devon,England
Cotleigh,EX14,Devon,England
Cotmaton,,Devon,England
Cott,,Devon,England
Cotteylands,,Devon,England
Cottwood,,Devon,England
Countess Wear,EX2,Devon,England
Countisbury,EX35,Devon,England
Court Barton,EX17,Devon,England
Cove,EX16,Devon,England
Cowley,EX4,Devon,England
Cowleymoor,,Devon,England
Crabtree,PL3,Devon,England
Craddock,EX15,Devon,England
Cranford,EX39,Devon,England
Crapstone,PL20,Devon,England
Crawley,,Devon,England
Creacombe,EX16,Devon,England
Crediton,EX17,Devon,England
Crockernwell,EX6,Devon,England
Crockers,,Devon,England
Crook,,Devon,England
Cross,,Devon,England
Cross Green,PL15,Devon,England
Cross Roads,,Devon,England
Crowden,,Devon,England
Crowder Park,,Devon,England
Crownhill,PL5,Devon,England
Croyde,EX33,Devon,England
Croyde Bay,,Devon,England
Cruwys Morchard,EX16,Devon,England
Cudlipptown,,Devon,England
Cullompton,EX15,Devon,England
Culm,,Devon,England
Culm Davy,,Devon,England
Culmstock,EX15,Devon,England
Culverlane,,Devon,England
Curtisknowle,,Devon,England
Daccombe,TQ12,Devon,England
Dainton,,Devon,England
Dalch,,Devon,England
Dalwood,EX13,Devon,England
Darracott,,Devon,England
Dart,,Devon,England
Dartington,TQ9,Devon,England
Dartmeet,TQ13,Devon,England
Dartmoor,,Devon,England
Dartmouth,TQ6,Devon,England
Dawlish,EX7,Devon,England
Dawlish Warren,,Devon,England
Dean,TQ11,Devon,England
Dean Cross,,Devon,England
Dean Prior,TQ11,Devon,England
Denbury,TQ12,Devon,England
Derby,,Devon,England
Derriford,PL6,Devon,England
Derril,,Devon,England
Derriton,,Devon,England
Devonport,PL1,Devon,England
Diddywell,,Devon,England
Didworthy,TQ10,Devon,England
Dinworthy,EX22,Devon,England
Dippertown,,Devon,England
Dipple,,Devon,England
Diptford,TQ9,Devon,England
Dittisham,TQ6,Devon,England
Doccombe,TQ13,Devon,England
Docton,,Devon,England
Dodbrooke,,Devon,England
Doddiscombsleigh,EX6,Devon,England
Dodscott,,Devon,England
Dog Village,EX5,Devon,England
Dolton,EX19,Devon,England
Dousland,PL20,Devon,England
Dowland,EX19,Devon,England
Down St Mary,EX17,Devon,England
Down Thomas,PL9,Devon,England
Downicary,,Devon,England
Drakeland Corner,PL7,Devon,England
Drayford,,Devon,England
Drewsteignton,EX6,Devon,England
Dubbs Cross,,Devon,England
Duerdon,,Devon,England
Dulford,EX15,Devon,England
Dumpinghill,,Devon,England
Dunchideock,EX6,Devon,England
Dunkeswell,EX14,Devon,England
Dunsford,EX6,Devon,England
Dunstone,PL8,Devon,England
Dunterton,PL19,Devon,England
Duryard,,Devon,England
East Allington,TQ9,Devon,England
East Anstey,EX16,Devon,England
East Buckland,EX32,Devon,England
East Budleigh,EX9,Devon,England
East Butterleigh,,Devon,England
East Charleton,TQ7,Devon,England
East Cornworthy,TQ9,Devon,England
East Dart,,Devon,England
East Down,EX31,Devon,England
East Ilkerton,,Devon,England
East Kimber,,Devon,England
East Knowstone,,Devon,England
East Leigh,EX17,Devon,England
East Mere,EX16,Devon,England
East Ogwell,TQ12,Devon,England
East Panson,PL15,Devon,England
East Portlemouth,TQ8,Devon,England
East Prawle,TQ7,Devon,England
East Putford,EX22,Devon,England
East Stowford,,Devon,England
East Village,EX17,Devon,England
East Week,,Devon,England
East Worlington,EX17,Devon,England
East-the-Water,EX39,Devon,England
Eastacombe,,Devon,England
Eastacott,,Devon,England
Eastdon,,Devon,England
Eastdown,,Devon,England
Eastington,EX17,Devon,England
Eastleigh,EX39,Devon,England
Easton,TQ13,Devon,England
Ebberly Hill,,Devon,England
Ebford,EX3,Devon,England
Eckworthy,,Devon,England
Eddystone Rocks,,Devon,England
Edginswell,TQ2,Devon,England
Edistone,EX39,Devon,England
Efford,EX17,Devon,England
Eggbuckland,PL6,Devon,England
Eggesford Station,,Devon,England
Elburton,PL9,Devon,England
Ellacombe,,Devon,England
Ellerhayes,,Devon,England
Elmscott,EX39,Devon,England
Elston,,Devon,England
Elstone,EX37,Devon,England
Elwell,,Devon,England
Enis,,Devon,England
Erme,,Devon,England
Ermington,PL21,Devon,England
Ernesettle,PL5,Devon,England
Estover,PL6,Devon,England
Eworthy,EX21,Devon,England
Exbourne,EX20,Devon,England
Exe,,Devon,England
Exebridge,,Devon,England
Exeter,EX10,Devon,England
Exeter Canal,,Devon,England
Exminster,EX6,Devon,England
Exmouth,EX8,Devon,England
Exton,EX3,Devon,England
Exwick,EX4,Devon,England
Fairmile,EX11,Devon,England
Fairy Cross,EX39,Devon,England
Farringdon,EX5,Devon,England
Farway,EX13,Devon,England
Farway Marsh,,Devon,England
Feniton,EX14,Devon,England
Fenny Bridges,EX14,Devon,England
Filham,,Devon,England
Filleigh,EX17,Devon,England
Fishleigh,,Devon,England
Fishleigh Castle,,Devon,England
Fluxton,,Devon,England
Folly Cross,,Devon,England
Folly Gate,EX20,Devon,England
Ford,EX39,Devon,England
Forda,,Devon,England
Forder Green,TQ13,Devon,England
Fordton Mill,,Devon,England
Fordwater,,Devon,England
Foreland Point,,Devon,England
Forestreet,,Devon,England
Four Elms,,Devon,England
Fremington,EX31,Devon,England
Frenchbeer,TQ13,Devon,England
Frithelstock,EX38,Devon,England
Frithelstock Stone,EX38,Devon,England
Frittiscombe,,Devon,England
Frost,,Devon,England
Fullabrook,,Devon,England
Furley,EX13,Devon,England
Furze,,Devon,England
Galmpton,TQ5,Devon,England
Gammaton,,Devon,England
Gammaton Moor,,Devon,England
Gappah,,Devon,England
Garlandhayes,,Devon,England
Garliford,,Devon,England
Gatherley,,Devon,England
George Nympton,EX36,Devon,England
Georgeham,EX33,Devon,England
Germansweek,EX21,Devon,England
Gidleigh,TQ13,Devon,England
Gittisham,EX14,Devon,England
Glenholt,,Devon,England
Godwell,,Devon,England
Golden Park,,Devon,England
Goldworthy,EX39,Devon,England
Goodleigh,EX32,Devon,England
Goodrington,TQ4,Devon,England
Goodstone,,Devon,England
Gooseford,,Devon,England
Goosemoor,,Devon,England
Goosewell,PL9,Devon,England
Gosford,,Devon,England
Goveton,TQ7,Devon,England
Grand Western Canal,,Devon,England
Gratton,,Devon,England
Great Torrington,EX38,Devon,England
Great Weeke,,Devon,England
Green Down,,Devon,England
Green Gate,,Devon,England
Green Lane,,Devon,England
Greenham,TA21,Devon,England
Grenofen,,Devon,England
Grilstone,,Devon,England
Grinacombe Moor,,Devon,England
Guineaford,,Devon,England
Gulworthy,PL19,Devon,England
Gunn,EX32,Devon,England
Haccombe,TQ12,Devon,England
Haddacott,,Devon,England
Hagginton Hill,,Devon,England
Hakeford,,Devon,England
Halberton,EX16,Devon,England
Half Moon Village,,Devon,England
Hallsands,TQ7,Devon,England
Hallspill,,Devon,England
Halsfordwood,,Devon,England
Halsinger,EX33,Devon,England
Halwell,TQ9,Devon,England
Halwill,EX21,Devon,England
Halwill Junction,EX21,Devon,England
Ham,,Devon,England
Hamlet,EX14,Devon,England
Hampton,,Devon,England
Hand and Pen,,Devon,England
Hannaford,,Devon,England
Hansel,,Devon,England
Harberton,TQ9,Devon,England
Harbertonford,TQ9,Devon,England
Harbourneford,TQ10,Devon,England
Harcombe,EX10,Devon,England
Harcombe Bottom,,Devon,England
Hardisworthy,,Devon,England
Harford,PL21,Devon,England
Harleston,,Devon,England
Harpford,EX10,Devon,England
Harracott,,Devon,England
Harrowbeer,,Devon,England
Hartland,EX39,Devon,England
Hartland Point,,Devon,England
Hartley,PL3,Devon,England
Hatch,,Devon,England
Hatherleigh,EX20,Devon,England
Hawkchurch,EX13,Devon,England
Hawkerland,EX10,Devon,England
Hawkridge,,Devon,England
Hawley Bottom,,Devon,England
Hayne,,Devon,England
Haytor Vale,TQ13,Devon,England
Haytown,,Devon,England
Hazelwood,,Devon,England
Headon,,Devon,England
Heanton Punchardon,EX31,Devon,England
Heasley Mill,EX36,Devon,England
Heath Cross,,Devon,England
Heathercombe,,Devon,England
Heathfield,TQ12,Devon,England
Heathstock,,Devon,England
Heavitree,,Devon,England
Heddon,,Devon,England
Hele,EX34,Devon,England
Hemerdon,,Devon,England
Hemyock,EX15,Devon,England
Henaford,,Devon,England
Henford,EX21,Devon,England
Hennock,TQ13,Devon,England
Henstridge,,Devon,England
Hexworthy,PL20,Devon,England
Heybrook Bay,PL9,Devon,England
High Bickington,EX37,Devon,England
High Bray,EX32,Devon,England
High Bullen,EX38,Devon,England
Highampton,EX21,Devon,England
Higher Ashton,EX6,Devon,England
Higher Brixham,TQ5,Devon,England
Higher Burrowtown,,Devon,England
Higher Cheriton,EX14,Devon,England
Higher Clovelly,,Devon,England
Higher Gabwell,TQ1,Devon,England
Higher Metcombe,,Devon,England
Higher Molland,,Devon,England
Higher Muddiford,,Devon,England
Higher Prestacott,,Devon,England
Higher Rocombe Barton,,Devon,England
Higher Slade,,Devon,England
Higher Tale,EX14,Devon,England
Higher Warcombe,,Devon,England
Higher Weaver,,Devon,England
Highweek,TQ12,Devon,England
Highwood,,Devon,England
Highworthy,,Devon,England
Hillerton,,Devon,England
Hillfield,,Devon,England
Hillhead,TQ5,Devon,England
Hillmoor,,Devon,England
Hillside,,Devon,England
Hiscott,EX31,Devon,England
Hittisleigh Barton,,Devon,England
Hoaroak Water,,Devon,England
Hockworthy,TA21,Devon,England
Holbeton,PL8,Devon,England
Holcombe,EX7,Devon,England
Holcombe Rogus,TA21,Devon,England
Hole,,Devon,England
Holemoor,,Devon,England
Holewater,,Devon,England
Hollacombe,EX22,Devon,England
Hollacombe Hill,,Devon,England
Hollicombe,,Devon,England
Hollis Green,,Devon,England
Hollis Head,,Devon,England
Hollocombe,EX18,Devon,England
Hollocombe Town,,Devon,England
Holmacott,,Devon,England
Holmsleigh Green,,Devon,England
Holne,TQ13,Devon,England
Holsworthy,EX22,Devon,England
Holsworthy Beacon,EX22,Devon,England
Holy City,,Devon,England
Holyford,,Devon,England
Honeychurch,EX20,Devon,England
Honicknowle,PL5,Devon,England
Honiton,EX14,Devon,England
Hoo Meavy,,Devon,England
Hooe,PL9,Devon,England
Hook,,Devon,England
Hookway,EX17,Devon,England
Hoops,,Devon,England
Hopworthy,,Devon,England
Horndon,PL19,Devon,England
Horns Cross,EX39,Devon,England
Horrabridge,PL20,Devon,England
Horsebridge,PL19,Devon,England
Horsebrook,,Devon,England
Horwood,EX39,Devon,England
Huddisford,,Devon,England
Hugglepit,,Devon,England
Huish,EX20,Devon,England
Hulham,,Devon,England
Humber,,Devon,England
Huntsham,EX16,Devon,England
Huntshaw,,Devon,England
Huntshaw Water,,Devon,England
Hutcherleigh,,Devon,England
Huxham,,Devon,England
Icy Park,,Devon,England
Iddesleigh,EX19,Devon,England
Ide,EX2,Devon,England
Ideford,TQ13,Devon,England
Ilfracombe,EX34,Devon,England
Ilsington,TQ13,Devon,England
Ingleigh Green,,Devon,England
Inner Hope,,Devon,England
Instow,EX39,Devon,England
Inwardleigh,EX20,Devon,England
Ipplepen,TQ12,Devon,England
Ivybridge,PL21,Devon,England
Jack-in-the-Green,,Devon,England
Jacobstowe,EX20,Devon,England
Jurston,,Devon,England
Kellacott,,Devon,England
Kellaton,TQ7,Devon,England
Kelly,PL16,Devon,England
Kemacott,,Devon,England
Kenn,EX6,Devon,England
Kennerleigh,EX17,Devon,England
Kennford,EX6,Devon,England
Kentisbeare,EX15,Devon,England
Kentisbury,EX31,Devon,England
Kentisbury Ford,EX31,Devon,England
Kenton,EX6,Devon,England
Kernborough,,Devon,England
Kersbrook,,Devon,England
Kerscott,,Devon,England
Kerswell,EX15,Devon,England
Killington,,Devon,England
Kilmington,EX13,Devon,England
Kimworthy,,Devon,England
Kingford,,Devon,England
Kingsbridge,TQ7,Devon,England
Kingscott,EX38,Devon,England
Kingsdon,,Devon,England
Kingsett,,Devon,England
Kingsheanton,,Devon,England
Kingskerswell,TQ12,Devon,England
Kingsteignton,TQ12,Devon,England
Kingston,TQ7,Devon,England
Kingswear,TQ6,Devon,England
Kitbridge,,Devon,England
Knightacott,EX31,Devon,England
Knighton,PL9,Devon,England
Knotty Corner,,Devon,England
Knowle,EX17,Devon,England
Knowles Hill,,Devon,England
Knowstone,EX36,Devon,England
Laira,PL3,Devon,England
Lake,,Devon,England
Lamerton,PL19,Devon,England
Lana,EX22,Devon,England
Landcross,EX39,Devon,England
Landhill,,Devon,England
Landkey,EX32,Devon,England
Landkey Newland,,Devon,England
Landscove,TQ13,Devon,England
Lane End,,Devon,England
Langaford,,Devon,England
Langage,,Devon,England
Langford,EX15,Devon,England
Langford Green,,Devon,England
Langridgeford,EX37,Devon,England
Langstone,,Devon,England
Langtree,EX38,Devon,England
Langtree Week,,Devon,England
Lapford,EX17,Devon,England
Lapford Cross,,Devon,England
Larkbeare,,Devon,England
Lea,,Devon,England
Ledstone,,Devon,England
Lee,EX34,Devon,England
Lee Mill,,Devon,England
Lee Moor,PL7,Devon,England
Leeford,,Devon,England
Leigh,,Devon,England
Leigham,PL6,Devon,England
Lettaford,TQ13,Devon,England
Lew,,Devon,England
Lewdown,EX20,Devon,England
Lewthorn Cross,,Devon,England
Lewtrenchard,EX20,Devon,England
Liddaton,,Devon,England
Lifton,PL16,Devon,England
Liftondown,PL15,Devon,England
Lincombe,TQ9,Devon,England
Little Bray,,Devon,England
Little Dart,,Devon,England
Little Knowle,,Devon,England
Little Silver,,Devon,England
Little Torrington,EX38,Devon,England
Littleborough,,Devon,England
Littleham,EX39,Devon,England
Littlehempston,TQ9,Devon,England
Littletown,,Devon,England
Livermead,,Devon,England
Liverton,TQ12,Devon,England
Livingshayes,,Devon,England
Lobb,,Devon,England
Lobhillcross,,Devon,England
Loddiswell,TQ7,Devon,England
Longbridge,,Devon,England
Longcause,,Devon,England
Longcombe,,Devon,England
Longcross,PL19,Devon,England
Longdown,EX6,Devon,England
Lopwell,,Devon,England
Lovaton,,Devon,England
Lower Ashton,EX6,Devon,England
Lower Cator,,Devon,England
Lower Cheriton,,Devon,England
Lower Creedy,,Devon,England
Lower Dean,,Devon,England
Lower Gabwell,TQ12,Devon,England
Lower Holditch,,Devon,England
Lower Hookner,,Devon,England
Lower Lovacott,,Devon,England
Lower Loxhore,,Devon,England
Lower Ridge,,Devon,England
Lower Slade,,Devon,England
Lower Tale,,Devon,England
Lower Town,,Devon,England
Lower Twitchen,,Devon,England
Lower Wear,,Devon,England
Lower Yelland,,Devon,England
Lowertown,,Devon,England
Loxbeare,EX16,Devon,England
Loxhore,EX31,Devon,England
Loxhore Cott,,Devon,England
Ludbrook,,Devon,England
Lumburn,,Devon,England
Lundy,,Devon,England
Luppitt,EX14,Devon,England
Lupridge,,Devon,England
Lurley,,Devon,England
Luson,,Devon,England
Lustleigh,TQ13,Devon,England
Lustleigh Cleave,,Devon,England
Luton,EX14,Devon,England
Lutsford,,Devon,England
Lutton,PL21,Devon,England
Luxton,,Devon,England
Lydcott,EX32,Devon,England
Lydford,EX20,Devon,England
Lympstone,EX8,Devon,England
Lynbridge,,Devon,England
Lynmouth,EX35,Devon,England
Lynton,EX35,Devon,England
Mackham,,Devon,England
Madford,EX15,Devon,England
Maidencombe,TQ1,Devon,England
Maidenhayne,,Devon,England
Malborough,TQ7,Devon,England
Malmsmead,EX35,Devon,England
Manadon,,Devon,England
Manaton,TQ13,Devon,England
Manley,,Devon,England
Mannamead,PL3,Devon,England
Manor Bourne,,Devon,England
Mariansleigh,EX36,Devon,England
Marldon,TQ3,Devon,England
Marsh,EX14,Devon,England
Marsh Green,EX5,Devon,England
Martinhoe,EX31,Devon,England
Martinhoe Cross,,Devon,England
Marwood,EX31,Devon,England
Mary Tavy,PL19,Devon,England
Mead,,Devon,England
Meadwell,,Devon,England
Meavy,PL20,Devon,England
Meeth,EX20,Devon,England
Meethe,,Devon,England
Meldon,EX20,Devon,England
Membland,,Devon,England
Membury,EX13,Devon,England
Merrifield,TQ7,Devon,England
Merrivale,PL19,Devon,England
Merton,EX20,Devon,England
Meshaw,EX36,Devon,England
Metcombe,,Devon,England
Michelcombe,,Devon,England
Middle Luxton,,Devon,England
Middle Marwood,,Devon,England
Middle Rocombe,,Devon,England
Middlecott,,Devon,England
Middlemoor,,Devon,England
Milber,TQ12,Devon,England
Mile End,,Devon,England
Milford,EX39,Devon,England
Millbrook,,Devon,England
Millhayes,,Devon,England
Millhill,,Devon,England
Millmoor,,Devon,England
Milltown,EX31,Devon,England
Millway Rise,,Devon,England
Milton Abbot,PL19,Devon,England
Milton Coombe,,Devon,England
Milton Damerel,EX22,Devon,England
Milton Green,,Devon,England
Milton Hill,,Devon,England
Modbury,PL21,Devon,England
Mogworthy,,Devon,England
Mole,,Devon,England
Molland,EX36,Devon,England
Monkerton,,Devon,England
Monkleigh,EX39,Devon,England
Monkokehampton,EX19,Devon,England
Monkton,EX14,Devon,England
Monkton Wyld,,Devon,England
Moor Cross,,Devon,England
Moorhayne,,Devon,England
Moortown,,Devon,England
Morchard Bishop,EX17,Devon,England
Morchard Road,,Devon,England
Morebath,EX16,Devon,England
Moreleigh,TQ9,Devon,England
Moretonhampstead,TQ13,Devon,England
Morte Point,,Devon,England
Mortehoe,EX34,Devon,England
Mothecombe,,Devon,England
Mount Gould,PL4,Devon,England
Mount Lane,,Devon,England
Mount Pleasant,,Devon,England
Mouth Mill,,Devon,England
Muddiford,EX31,Devon,England
