,,Oxfordshire,England
Cleeve,RG8,Oxfordshire,England
Cleveley,,Oxfordshire,England
Clifton,OX15,Oxfordshire,England
Clifton Hampden,OX14,Oxfordshire,England
Cogges,,Oxfordshire,England
Cold Harbour,,Oxfordshire,England
Collins End,,Oxfordshire,England
Combe,,Oxfordshire,England
Compton Beauchamp,SN6,Oxfordshire,England
Cookley Green,RG9,Oxfordshire,England
Cornwell,OX7,Oxfordshire,England
Coscote,,Oxfordshire,England
Cote,OX18,Oxfordshire,England
Cothill,OX13,Oxfordshire,England
Cottisford,NN13,Oxfordshire,England
Cowleaze Corner,,Oxfordshire,England
Cowley,OX4,Oxfordshire,England
Crawley,,Oxfordshire,England
Crocker End,,Oxfordshire,England
Cropredy,OX17,Oxfordshire,England
Cross Lanes,,Oxfordshire,England
Crowell,,Oxfordshire,England
Crowell Hill,,Oxfordshire,England
Crowmarsh Gifford,OX10,Oxfordshire,England
Crowsley,,Oxfordshire,England
Cuddesdon,OX44,Oxfordshire,England
Culham,OX14,Oxfordshire,England
Cumnor,OX2,Oxfordshire,England
Cumnor Hill,,Oxfordshire,England
Curbridge,,Oxfordshire,England
Cutteslowe,,Oxfordshire,England
Cuxham,OX9,Oxfordshire,England
Dean,OX7,Oxfordshire,England
Dean Court,,Oxfordshire,England
Deddington,OX15,Oxfordshire,England
Delly End,,Oxfordshire,England
Denchworth,OX12,Oxfordshire,England
Denton,OX44,Oxfordshire,England
Didcot,OX11,Oxfordshire,England
Dorchester,OX10,Oxfordshire,England
Dorn,,Oxfordshire,England
Draycot,,Oxfordshire,England
Drayton,OX14,Oxfordshire,England
Drayton St Leonard,OX10,Oxfordshire,England
Dry Sandford,OX13,Oxfordshire,England
Ducklington,,Oxfordshire,England
Duns Tew,,Oxfordshire,England
Dunsden Green,RG4,Oxfordshire,England
Dunthrop,,Oxfordshire,England
Duxford,,Oxfordshire,England
Easington,OX9,Oxfordshire,England
East Adderbury,,Oxfordshire,England
East Challow,OX12,Oxfordshire,England
East End,,Oxfordshire,England
East Ginge,OX12,Oxfordshire,England
East Hagbourne,OX11,Oxfordshire,England
East Hanney,OX12,Oxfordshire,England
East Hendred,OX12,Oxfordshire,England
East Lockinge,,Oxfordshire,England
Eastend,OX7,Oxfordshire,England
Eaton,OX13,Oxfordshire,England
Eaton Hastings,SN7,Oxfordshire,England
Elsfield,OX3,Oxfordshire,England
Emmington,OX9,Oxfordshire,England
Enslow,,Oxfordshire,England
Enstone,OX7,Oxfordshire,England
Epwell,OX15,Oxfordshire,England
Evenlode,GL56,Oxfordshire,England
Ewelme,OX10,Oxfordshire,England
Exlade Street,RG8,Oxfordshire,England
Eynsham,OX8,Oxfordshire,England
Faringdon,SN7,Oxfordshire,England
Farmoor,OX2,Oxfordshire,England
Fawler,OX7,Oxfordshire,England
Fawley Bottom,,Oxfordshire,England
Fencott,OX5,Oxfordshire,England
Fernham,SN7,Oxfordshire,England
Fewcott,,Oxfordshire,England
Field Assarts,,Oxfordshire,England
Fifield,OX7,Oxfordshire,England
Filchampstead,,Oxfordshire,England
Filkins,GL7,Oxfordshire,England
Finmere,MK18,Oxfordshire,England
Finstock,OX7,Oxfordshire,England
Fordwells,,Oxfordshire,England
Forest Hill,OX33,Oxfordshire,England
Forty Green,,Oxfordshire,England
Foscot,OX7,Oxfordshire,England
Foxcombe Hill,,Oxfordshire,England
Freeland,,Oxfordshire,England
Frilford,OX13,Oxfordshire,England
Frilford Heath,,Oxfordshire,England
Fringford,,Oxfordshire,England
Fritwell,,Oxfordshire,England
Fulbrook,OX18,Oxfordshire,England
Fulwell,OX7,Oxfordshire,England
Fyfield,GL7,Oxfordshire,England
Gagingwell,OX7,Oxfordshire,England
Gainfield,,Oxfordshire,England
Gallowstree Common,RG4,Oxfordshire,England
Garford,OX13,Oxfordshire,England
Garsington,OX44,Oxfordshire,England
Gibralter,,Oxfordshire,England
Glyme,,Oxfordshire,England
Glympton,OX20,Oxfordshire,England
Golden Balls,,Oxfordshire,England
Goosey,SN7,Oxfordshire,England
Goring,RG8,Oxfordshire,England
Goring Heath,,Oxfordshire,England
Gosford,,Oxfordshire,England
Grafton,OX18,Oxfordshire,England
Grandpont,,Oxfordshire,England
Great Bourton,OX17,Oxfordshire,England
Great Coxwell,SN7,Oxfordshire,England
Great Haseley,OX44,Oxfordshire,England
Great Holcombe,,Oxfordshire,England
Great Milton,OX44,Oxfordshire,England
Great Rollright,OX7,Oxfordshire,England
Great Tew,OX7,Oxfordshire,England
Greenend,,Oxfordshire,England
Greenfield,RG9,Oxfordshire,England
Greys Green,RG9,Oxfordshire,England
Grimsbury,OX16,Oxfordshire,England
Grove,OX12,Oxfordshire,England
Hailey,OX10,Oxfordshire,England
Hampton Gay,,Oxfordshire,England
Hampton Poyle,OX5,Oxfordshire,England
Hanwell,OX17,Oxfordshire,England
Harcourt Hill,,Oxfordshire,England
Hardwick,,Oxfordshire,England
Harpsden,RG9,Oxfordshire,England
Harpsden Bottom,,Oxfordshire,England
Harwell,OX11,Oxfordshire,England
Hatford,SN7,Oxfordshire,England
Headington,OX3,Oxfordshire,England
Headington Hill,,Oxfordshire,England
Hempton,OX15,Oxfordshire,England
Hempton Wainhill,,Oxfordshire,England
Henley-on-Thames,RG9,Oxfordshire,England
Hensington,,Oxfordshire,England
Henton,OX9,Oxfordshire,England
Henwood,,Oxfordshire,England
Hethe,,Oxfordshire,England
Heythrop,OX7,Oxfordshire,England
High Cogges,,Oxfordshire,England
Highfield,,Oxfordshire,England
Highmoor,,Oxfordshire,England
Highmoor Brook,,Oxfordshire,England
Highmoor Cross,RG9,Oxfordshire,England
Hill Bottom,,Oxfordshire,England
Hinton Waldrist,SN7,Oxfordshire,England
Holton,OX33,Oxfordshire,England
Holwell,OX18,Oxfordshire,England
Hook End,,Oxfordshire,England
Hook Norton,OX15,Oxfordshire,England
Horley,OX15,Oxfordshire,England
Hornton,OX15,Oxfordshire,England
Horspath,OX33,Oxfordshire,England
Horton-cum-Studley,OX33,Oxfordshire,England
Huntercombe End,,Oxfordshire,England
Ickford,,Oxfordshire,England
Idbury,OX7,Oxfordshire,England
Iffley,OX4,Oxfordshire,England
Ipsden,OX10,Oxfordshire,England
Islip,OX5,Oxfordshire,England
Kelmscot,,Oxfordshire,England
Kencot,,Oxfordshire,England
Kennington,OX1,Oxfordshire,England
Kiddington,OX20,Oxfordshire,England
Kidlington,OX5,Oxfordshire,England
Kidmore End,RG4,Oxfordshire,England
Kingston Bagpuize,OX13,Oxfordshire,England
Kingston Blount,OX9,Oxfordshire,England
Kingston Lisle,OX12,Oxfordshire,England
Kingston Stert,,Oxfordshire,England
Kingstone Winslow,,Oxfordshire,England
Kirtlington,OX5,Oxfordshire,England
Kitebrook,,Oxfordshire,England
Knighton,,Oxfordshire,England
Langford,GL7,Oxfordshire,England
Langley,,Oxfordshire,England
Latchford,,Oxfordshire,England
Launton,,Oxfordshire,England
Leach,,Oxfordshire,England
Leafield,,Oxfordshire,England
Ledwell,OX7,Oxfordshire,England
Letcombe Bassett,OX12,Oxfordshire,England
Letcombe Regis,OX12,Oxfordshire,England
Lew,OX18,Oxfordshire,England
Lewknor,OX9,Oxfordshire,England
Lidstone,OX7,Oxfordshire,England
Little Bourton,OX17,Oxfordshire,England
Little Chesterton,,Oxfordshire,England
Little Clanfield,OX18,Oxfordshire,England
Little Coxwell,SN7,Oxfordshire,England
Little Haseley,OX44,Oxfordshire,England
Little London,,Oxfordshire,England
Little Milton,OX44,Oxfordshire,England
Little Minster,,Oxfordshire,England
Little Rollright,,Oxfordshire,England
Little Tew,OX7,Oxfordshire,England
Little Wittenham,OX14,Oxfordshire,England
Littlemore,OX4,Oxfordshire,England
Littleworth,OX33,Oxfordshire,England
Long Hanborough,,Oxfordshire,England
Long Wittenham,OX14,Oxfordshire,England
Longcot,SN7,Oxfordshire,England
Longworth,OX13,Oxfordshire,England
Lower Arncott,,Oxfordshire,England
Lower Assendon,RG9,Oxfordshire,England
Lower End,,Oxfordshire,England
Lower Heyford,,Oxfordshire,England
Lower Highmoor,,Oxfordshire,England
Lower Radley,,Oxfordshire,England
Lower Shiplake,RG9,Oxfordshire,England
Lower Tadmarton,,Oxfordshire,England
Lower Wainhill,,Oxfordshire,England
Lyford,OX12,Oxfordshire,England
Lyneham,OX7,Oxfordshire,England
Mackney,,Oxfordshire,England
Maidensgrove,,Oxfordshire,England
Mapledurham,,Oxfordshire,England
Marcham,OX13,Oxfordshire,England
Marsh Baldon,OX44,Oxfordshire,England
Marston,MK18,Oxfordshire,England
Mays Green,,Oxfordshire,England
Meadside,,Oxfordshire,England
Merton,,Oxfordshire,England
Middle Assendon,RG9,Oxfordshire,England
Middle Aston,,Oxfordshire,England
Middle Barton,OX7,Oxfordshire,England
Middleton Stoney,,Oxfordshire,England
Milcombe,OX15,Oxfordshire,England
Mill Brook,,Oxfordshire,England
Millend,,Oxfordshire,England
Milton,OX14,Oxfordshire,England
Milton Common,OX33,Oxfordshire,England
Milton Heights,,Oxfordshire,England
Milton Hill,OX13,Oxfordshire,England
Milton under Wychwood,,Oxfordshire,England
Minster Lovell,,Oxfordshire,England
Mixbury,NN13,Oxfordshire,England
Mollington,OX17,Oxfordshire,England
Moreton,OX9,Oxfordshire,England
Moulsford,OX10,Oxfordshire,England
Mount Skippett,,Oxfordshire,England
Murcot,,Oxfordshire,England
Murcott,OX5,Oxfordshire,England
Neat Enstone,,Oxfordshire,England
Neithrop,,Oxfordshire,England
Nether Worton,OX7,Oxfordshire,England
Nethercote,OX17,Oxfordshire,England
Nethercott,OX5,Oxfordshire,England
Netherton,OX13,Oxfordshire,England
Nettlebed,RG9,Oxfordshire,England
New Botley,,Oxfordshire,England
New Cross,,Oxfordshire,England
New Headington,,Oxfordshire,England
New Hinksey,,Oxfordshire,England
New Marston,,Oxfordshire,England
New Town,,Oxfordshire,England
New Yatt,,Oxfordshire,England
Newbridge,,Oxfordshire,England
Newington,OX10,Oxfordshire,England
Newland,,Oxfordshire,England
Newton Morrell,,Oxfordshire,England
Newton Purcell,MK18,Oxfordshire,England
Newtown,,Oxfordshire,England
Noke,OX3,Oxfordshire,England
North Aston,,Oxfordshire,England
North Hinksey Village,,Oxfordshire,England
North Leigh,,Oxfordshire,England
North Moreton,OX11,Oxfordshire,England
North Newington,OX15,Oxfordshire,England
North Stoke,OX10,Oxfordshire,England
North Weston,,Oxfordshire,England
Northbrook,,Oxfordshire,England
Northcourt,,Oxfordshire,England
Northmoor,,Oxfordshire,England
Nuffield,RG9,Oxfordshire,England
Nuneham Courtenay,OX44,Oxfordshire,England
Nuney Green,,Oxfordshire,England
Oakley,,Oxfordshire,England
Oakley Wood,,Oxfordshire,England
Ock,,Oxfordshire,England
Oddington,OX5,Oxfordshire,England
Old Chalford,,Oxfordshire,England
Old Woodstock,,Oxfordshire,England
Osney,OX2,Oxfordshire,England
Over Kiddington,OX20,Oxfordshire,England
Over Norton,OX7,Oxfordshire,England
Over Worton,OX7,Oxfordshire,England
Oxford,OX1,Oxfordshire,England
Oxford Canal,,Oxfordshire,England
Park Corner,RG9,Oxfordshire,England
Park Town,,Oxfordshire,England
Piddington,,Oxfordshire,England
Pishill,RG9,Oxfordshire,England
Pishill Bank,,Oxfordshire,England
Play Hatch,RG4,Oxfordshire,England
Poffley End,,Oxfordshire,England
Port Hill,,Oxfordshire,England
Postcombe,OX9,Oxfordshire,England
Preston Crowmarsh,,Oxfordshire,England
Pusey,SN7,Oxfordshire,England
Pyrton,OX9,Oxfordshire,England
Rack End,,Oxfordshire,England
Radcot,OX18,Oxfordshire,England
Radford,OX7,Oxfordshire,England
Radfordbridge,,Oxfordshire,England
Radley,OX14,Oxfordshire,England
Radley Park,,Oxfordshire,England
Ramsden,OX7,Oxfordshire,England
Ray,,Oxfordshire,England
Risinghurst,,Oxfordshire,England
Roke,,Oxfordshire,England
Rokemarsh,,Oxfordshire,England
Rose Hill,,Oxfordshire,England
Rotherfield Greys,RG9,Oxfordshire,England
Rotherfield Peppard,RG9,Oxfordshire,England
Rousham,,Oxfordshire,England
Rowstock,OX11,Oxfordshire,England
Ruscote,,Oxfordshire,England
Salford,OX7,Oxfordshire,England
Sandford St Martin,OX7,Oxfordshire,England
Sandford-on-Thames,OX4,Oxfordshire,England
Sandhills,,Oxfordshire,England
Sandleigh,OX13,Oxfordshire,England
Sarsden,OX7,Oxfordshire,England
Sarsden Halt,,Oxfordshire,England
Satwell,,Oxfordshire,England
Scotland End,,Oxfordshire,England
Seacourt Stream,,Oxfordshire,England
Shellingford,SN7,Oxfordshire,England
Shenington,OX15,Oxfordshire,England
Shillingford,OX10,Oxfordshire,England
Shilton,OX18,Oxfordshire,England
Shiplake,RG9,Oxfordshire,England
Shiplake Bottom,,Oxfordshire,England
Shiplake Row,,Oxfordshire,England
Shippon,OX13,Oxfordshire,England
Shipton under Wychwood,,Oxfordshire,England
Shipton-on-Cherwell,OX5,Oxfordshire,England
Shirburn,OX9,Oxfordshire,England
Shores Green,,Oxfordshire,England
Shorthampton,,Oxfordshire,England
Shrivenham,SN6,Oxfordshire,England
Shutford,OX15,Oxfordshire,England
Sibford Ferris,OX15,Oxfordshire,England
Sibford Gower,OX15,Oxfordshire,England
Signet,OX18,Oxfordshire,England
Slade End,,Oxfordshire,England
Somerton,,Oxfordshire,England
Sonning,RG4,Oxfordshire,England
Sonning Common,RG4,Oxfordshire,England
Sonning Eye,RG4,Oxfordshire,England
Souldern,,Oxfordshire,England
South Hinksey,OX1,Oxfordshire,England
South Leigh,,Oxfordshire,England
South Moreton,OX11,Oxfordshire,England
South Newington,OX15,Oxfordshire,England
South Stoke,RG8,Oxfordshire,England
South Weston,OX9,Oxfordshire,England
Southcoombe,,Oxfordshire,England
Southend,,Oxfordshire,England
Southmoor,,Oxfordshire,England
Southrop,GL7,Oxfordshire,England
Sparsholt,OX12,Oxfordshire,England
Spelsbury,OX7,Oxfordshire,England
Stadhampton,OX44,Oxfordshire,England
Standlake,,Oxfordshire,England
Stanford in the Vale,SN7,Oxfordshire,England
Stanton Harcourt,,Oxfordshire,England
Stanton St John,OX33,Oxfordshire,England
Steeple Aston,,Oxfordshire,England
Steeple Barton,,Oxfordshire,England
Steventon,OX13,Oxfordshire,England
Stoke Lyne,,Oxfordshire,England
Stoke Row,RG9,Oxfordshire,England
Stoke Talmage,OX9,Oxfordshire,England
Stonesfield,,Oxfordshire,England
Stonor,RG9,Oxfordshire,England
Stratton Audley,,Oxfordshire,England
Summertown,OX2,Oxfordshire,England
Sunningwell,OX13,Oxfordshire,England
Sunnymead,OX2,Oxfordshire,England
Sutton,,Oxfordshire,England
Sutton Courtenay,OX14,Oxfordshire,England
Sutton Wick,OX14,Oxfordshire,England
Swalcliffe,OX15,Oxfordshire,England
Swere,,Oxfordshire,England
Swerford,OX15,Oxfordshire,England
Swinbrook,OX18,Oxfordshire,England
Swinford,,Oxfordshire,England
Sydenham,OX9,Oxfordshire,England
Tackley,OX5,Oxfordshire,England
Tadley,,Oxfordshire,England
Tadmarton,OX15,Oxfordshire,England
Taston,OX7,Oxfordshire,England
Taynton,OX18,Oxfordshire,England
Temple Cowley,,Oxfordshire,England
Tetsworth,OX9,Oxfordshire,England
Thame,OX9,Oxfordshire,England
Thames,,Oxfordshire,England
The Colony,,Oxfordshire,England
The Green,,Oxfordshire,England
The Platt,,Oxfordshire,England
Thrupp,OX5,Oxfordshire,England
Tiddington,OX9,Oxfordshire,England
Tokers Green,RG4,Oxfordshire,England
Toot Baldon,OX44,Oxfordshire,England
Towersey,OX9,Oxfordshire,England
Townsend,,Oxfordshire,England
Trench Green,,Oxfordshire,England
Tubney,OX13,Oxfordshire,England
Turners Court,,Oxfordshire,England
Twyford,MK18,Oxfordshire,England
Uffington,SN7,Oxfordshire,England
Upper Arncott,,Oxfordshire,England
Upper Heyford,,Oxfordshire,England
Upper Milton,,Oxfordshire,England
Upper Wardington,OX17,Oxfordshire,England
Upper Wolvercote,,Oxfordshire,England
Upperton,,Oxfordshire,England
Upton,OX11,Oxfordshire,England
Walcot,,Oxfordshire,England
Wallingford,OX10,Oxfordshire,England
Walton Manor,,Oxfordshire,England
Wantage,OX12,Oxfordshire,England
Warborough,OX10,Oxfordshire,England
Wardington,OX17,Oxfordshire,England
Warpsgrove,,Oxfordshire,England
Watchfield,SN6,Oxfordshire,England
Water Eaton,OX5,Oxfordshire,England
Waterperry,OX33,Oxfordshire,England
Waterstock,OX33,Oxfordshire,England
Watlington,OX9,Oxfordshire,England
Weald,OX18,Oxfordshire,England
Well Place,,Oxfordshire,England
Wendlebury,,Oxfordshire,England
West Adderbury,,Oxfordshire,England
West Challow,OX12,Oxfordshire,England
West End,,Oxfordshire,England
West Ginge,OX12,Oxfordshire,England
West Hagbourne,OX11,Oxfordshire,England
West Hanney,OX12,Oxfordshire,England
West Hendred,OX12,Oxfordshire,England
West Lockinge,OX12,Oxfordshire,England
Westbury,NN13,Oxfordshire,England
Westcot,,Oxfordshire,England
Westcott Barton,OX7,Oxfordshire,England
Westend,,Oxfordshire,England
Westhall Hill,,Oxfordshire,England
Weston-on-the-Green,,Oxfordshire,England
Westwell,OX18,Oxfordshire,England
Wheatley,OX33,Oxfordshire,England
Whistlow,,Oxfordshire,England
Whitchurch Hill,RG8,Oxfordshire,England
Whitchurch-on-Thames,,Oxfordshire,England
Whiteoak Green,,Oxfordshire,England
Wigginton,OX15,Oxfordshire,England
Wigginton Heath,,Oxfordshire,England
Wildmoor,,Oxfordshire,England
Williamscot,OX17,Oxfordshire,England
Windrush,OX18,Oxfordshire,England
Winterbrook,,Oxfordshire,England
Witheridge Hill,,Oxfordshire,England
Witney,OX8,Oxfordshire,England
Wolvercote,OX2,Oxfordshire,England
Woodcote,RG8,Oxfordshire,England
Woodeaton,OX3,Oxfordshire,England
Woodfield,,Oxfordshire,England
Woodgreen,,Oxfordshire,England
Woodlands,,Oxfordshire,England
Woodleys,OX20,Oxfordshire,England
Woodstock,OX20,Oxfordshire,England
Woodway,,Oxfordshire,England
Woolstone,SN7,Oxfordshire,England
Wootton,OX1,Oxfordshire,England
Worsham,,Oxfordshire,England
Worton,,Oxfordshire,England
Wroxton,OX15,Oxfordshire,England
Wytham,OX2,Oxfordshire,England
Yarnton,OX5,Oxfordshire,England
Yelford,,Oxfordshire,England
