,,Staffordshire,England
Coton Hayes,,Staffordshire,England
Coton Hill,,Staffordshire,England
Coton in the Clay,DE6,Staffordshire,England
Cotonwood,,Staffordshire,England
Cotton,,Staffordshire,England
Cotwalton,ST15,Staffordshire,England
Coven,WV9,Staffordshire,England
Coven Heath,,Staffordshire,England
Coven Lawn,,Staffordshire,England
Coventry Canal,,Staffordshire,England
Crackley,,Staffordshire,England
Cracow Moss,,Staffordshire,England
Crakemarsh,,Staffordshire,England
Cranberry,ST21,Staffordshire,England
Crateford,,Staffordshire,England
Creighton,,Staffordshire,England
Cresswell,ST11,Staffordshire,England
Creswell,,Staffordshire,England
Creswell Green,,Staffordshire,England
Cross Green,,Staffordshire,England
Cross Heath,,Staffordshire,England
Crossgate,,Staffordshire,England
Crowborough,,Staffordshire,England
Crowdecote,SK17,Staffordshire,England
Croxall,WS13,Staffordshire,England
Croxden,ST14,Staffordshire,England
Croxton,ST21,Staffordshire,England
Croxtonbank,ST21,Staffordshire,England
Curborough,,Staffordshire,England
Dagdale,,Staffordshire,England
Dales Green,,Staffordshire,England
Dam Mill,,Staffordshire,England
Dane,,Staffordshire,England
Dapple Heath,,Staffordshire,England
Darlaston,,Staffordshire,England
Darlaston Green,,Staffordshire,England
Darnford,,Staffordshire,England
Daw End,,Staffordshire,England
Dayhills,,Staffordshire,England
Denford,,Staffordshire,England
Denstone,ST14,Staffordshire,England
Derrington,ST18,Staffordshire,England
Dilhorne,ST10,Staffordshire,England
Dimsdale,,Staffordshire,England
Dods Leigh,,Staffordshire,England
Dogingtree Estate,,Staffordshire,England
Doley,,Staffordshire,England
Dosthill,B77,Staffordshire,England
Doveridge,DE6,Staffordshire,England
Doxey,,Staffordshire,England
Draycott in the Clay,DE6,Staffordshire,England
Draycott in the Moors,ST10,Staffordshire,England
Drayton Bassett,B78,Staffordshire,England
Dresden,,Staffordshire,England
Drointon,ST18,Staffordshire,England
Dunkirk,,Staffordshire,England
Dunsley,,Staffordshire,England
Dunstal,,Staffordshire,England
Dunstall,DE13,Staffordshire,England
Dunstall Hill,,Staffordshire,England
Dunston,ST18,Staffordshire,England
Dunston Heath,,Staffordshire,England
Dunwood,,Staffordshire,England
Eccleshall,ST21,Staffordshire,England
Ecton,SK17,Staffordshire,England
Edial,WS7,Staffordshire,England
Edingale,B79,Staffordshire,England
Efflinch,,Staffordshire,England
Elford,B79,Staffordshire,England
Ellastone,DE6,Staffordshire,England
Ellenhall,ST21,Staffordshire,England
Elmhurst,WS13,Staffordshire,England
Endon,ST9,Staffordshire,England
Endon Bank,,Staffordshire,England
Enville,DY7,Staffordshire,England
Essington,WV11,Staffordshire,England
Etchinghill,,Staffordshire,England
Etruria,,Staffordshire,England
Ettingshall,WV4,Staffordshire,England
Fairoak,ST21,Staffordshire,England
Fallings Heath,,Staffordshire,England
Far Hoarcross,,Staffordshire,England
Farewell,WS13,Staffordshire,England
Farley,ST10,Staffordshire,England
Fauld,,Staffordshire,England
Fawfieldhead,SK17,Staffordshire,England
Fazeley,B78,Staffordshire,England
Featherstone,WV10,Staffordshire,England
Fegg Hayes,,Staffordshire,England
Fenton,ST4,Staffordshire,England
Fenton Low,,Staffordshire,England
Field,ST14,Staffordshire,England
Finney Green,,Staffordshire,England
Fisherwick,,Staffordshire,England
Fishley,,Staffordshire,England
Flash,SK17,Staffordshire,England
Florence,,Staffordshire,England
Fole,ST14,Staffordshire,England
Footherley,,Staffordshire,England
Ford,,Staffordshire,England
Ford Green,,Staffordshire,England
Fordhouses,WV10,Staffordshire,England
Forebridge,,Staffordshire,England
Forsbrook,ST11,Staffordshire,England
Forton,TF10,Staffordshire,England
Four Ashes,WV10,Staffordshire,England
Four Crosses,WS11,Staffordshire,England
Foxley,,Staffordshire,England
Foxt,ST10,Staffordshire,England
Fradley,WS13,Staffordshire,England
Fradley Junction,,Staffordshire,England
Fradswell,ST18,Staffordshire,England
Freehay,,Staffordshire,England
Froghall,ST10,Staffordshire,England
Fulford,ST15,Staffordshire,England
Gailey,ST19,Staffordshire,England
Gailey Wharf,,Staffordshire,England
Gallows Green,,Staffordshire,England
Garmelow,,Staffordshire,England
Garshall Green,ST18,Staffordshire,England
Gayton,ST18,Staffordshire,England
Gentleshaw,WS15,Staffordshire,England
Giggetty,,Staffordshire,England
Gillow Heath,ST8,Staffordshire,England
Gillway,,Staffordshire,England
Glascote,B77,Staffordshire,England
Glutton Bridge,,Staffordshire,England
Gnosall,ST20,Staffordshire,England
Gnosall Heath,ST20,Staffordshire,England
Godleybrook,,Staffordshire,England
Goldenhill,ST6,Staffordshire,England
Goldthorn Park,,Staffordshire,England
Goosemoor,,Staffordshire,England
Goosemoor Green,,Staffordshire,England
Gorsley Ley,,Staffordshire,England
Gorst Hill,,Staffordshire,England
Gorsty Hill,,Staffordshire,England
Goscote,,Staffordshire,England
Gospel Ash,,Staffordshire,England
Gospel End Village,,Staffordshire,England
Gratwich,ST14,Staffordshire,England
Great Bridgeford,ST18,Staffordshire,England
Great Chell,,Staffordshire,England
Great Gate,,Staffordshire,England
Great Haywood,ST18,Staffordshire,England
Great Moor,,Staffordshire,England
Great Saredon,,Staffordshire,England
Great Wyrley,WS6,Staffordshire,England
Green Heath,,Staffordshire,England
Greenhead,,Staffordshire,England
Greensforge,,Staffordshire,England
Grindley,ST14,Staffordshire,England
Grindon,ST13,Staffordshire,England
Grub Street,,Staffordshire,England
Gunstone,,Staffordshire,England
Hademore,WS14,Staffordshire,England
Hadley End,DE13,Staffordshire,England
Hales,TF9,Staffordshire,England
Halfpenny Green,DY7,Staffordshire,England
Halmer End,ST7,Staffordshire,England
Hammerwich,WS7,Staffordshire,England
Hamstall Ridware,WS15,Staffordshire,England
Hanbury,DE13,Staffordshire,England
Hanbury Woodend,DE13,Staffordshire,England
Hanchurch,ST4,Staffordshire,England
Handsacre,WS15,Staffordshire,England
Hanford,ST4,Staffordshire,England
Hanley,,Staffordshire,England
Hansley Cross,,Staffordshire,England
Harden,,Staffordshire,England
Hardings Booth,,Staffordshire,England
Hardings Wood,ST7,Staffordshire,England
Hardwick,,Staffordshire,England
Haregate,,Staffordshire,England
Harlaston,B79,Staffordshire,England
Harriseahead,ST7,Staffordshire,England
Hartington,SK17,Staffordshire,England
Hartley Green,,Staffordshire,England
Hartshill,,Staffordshire,England
Hartwell,,Staffordshire,England
Hatherton,WS11,Staffordshire,England
Haughton,ST18,Staffordshire,England
Haunton,B79,Staffordshire,England
Hawks Green,,Staffordshire,England
Hawthorns,,Staffordshire,England
Hayes,,Staffordshire,England
Hazelslade,WS12,Staffordshire,England
Hazles,,Staffordshire,England
Hazlescross,,Staffordshire,England
Heath End,,Staffordshire,England
Heath Hayes,WS12,Staffordshire,England
Heath Town,WV10,Staffordshire,England
Heatley,,Staffordshire,England
Heaton,SK11,Staffordshire,England
Hednesford,WS12,Staffordshire,England
Heighley,,Staffordshire,England
Hem Heath,,Staffordshire,England
Heron Cross,,Staffordshire,England
High Heath,TF9,Staffordshire,England
High Offley,ST20,Staffordshire,England
High Onn,ST20,Staffordshire,England
High Onn Wharf,,Staffordshire,England
High Town,,Staffordshire,England
Highbridge,,Staffordshire,England
Highfields,,Staffordshire,England
Highlanes,,Staffordshire,England
Hilderstone,ST15,Staffordshire,England
Hill Chorlton,ST5,Staffordshire,England
Hill Ridware,WS15,Staffordshire,England
Hill Top,,Staffordshire,England
Hilton,WV15,Staffordshire,England
Himley,DY3,Staffordshire,England
Hints,B78,Staffordshire,England
Hixon,ST18,Staffordshire,England
Hoar Cross,DE13,Staffordshire,England
Hobble End,,Staffordshire,England
Hockley,,Staffordshire,England
Hodgefield,,Staffordshire,England
Hollies Common,,Staffordshire,England
Hollington,DE6,Staffordshire,England
Hollins,,Staffordshire,England
Hollinsclough,SK17,Staffordshire,England
Holly Bank,,Staffordshire,England
Hollybush,,Staffordshire,England
Holmcroft,,Staffordshire,England
Holt Hill,,Staffordshire,England
Hookgate,TF9,Staffordshire,England
Hope,,Staffordshire,England
Hopedale,,Staffordshire,England
Hopton,ST18,Staffordshire,England
Hopton Heath,,Staffordshire,England
Hopwas,B78,Staffordshire,England
Horninglow,DE13,Staffordshire,England
Horse Bridge,ST9,Staffordshire,England
Horsebrook,ST19,Staffordshire,England
Horton,ST13,Staffordshire,England
Huddlesford,,Staffordshire,England
Hulme,,Staffordshire,England
Hulme End,SK17,Staffordshire,England
Huntington,WS12,Staffordshire,England
Huntley,,Staffordshire,England
Hyde Lea,ST18,Staffordshire,England
Ilam,DE6,Staffordshire,England
Ingestre,ST18,Staffordshire,England
Ipstones,ST10,Staffordshire,England
Iverley,,Staffordshire,England
Jack Hayes,,Staffordshire,England
Jugbank,,Staffordshire,England
Keele,ST5,Staffordshire,England
Kerry Hill,,Staffordshire,England
Kettlebrook,B77,Staffordshire,England
Kiddemore Green,ST19,Staffordshire,England
Kidsgrove,ST7,Staffordshire,England
Kingsley,ST10,Staffordshire,England
Kingsley Holt,,Staffordshire,England
Kingsley Moor,,Staffordshire,England
Kingstone,ST14,Staffordshire,England
Kingswood Common,,Staffordshire,England
Kinver,DY7,Staffordshire,England
Knenhall,,Staffordshire,England
Knightley,,Staffordshire,England
Knightley Dale,,Staffordshire,England
Knotbury,,Staffordshire,England
Knowl Bank,,Staffordshire,England
Knowl Wall,ST4,Staffordshire,England
Knutton,,Staffordshire,England
Knypersley,ST8,Staffordshire,England
Landywood,WS6,Staffordshire,England
Lane Ends,,Staffordshire,England
Lane Green,WV8,Staffordshire,England
Lane Head,,Staffordshire,England
Laney Green,,Staffordshire,England
Lapley,ST19,Staffordshire,England
Lask Edge,,Staffordshire,England
Lawnhead,ST20,Staffordshire,England
Lea Heath,,Staffordshire,England
Leadendale,,Staffordshire,England
Leamonsley,,Staffordshire,England
Leamore,,Staffordshire,England
Leek,ST13,Staffordshire,England
Leekbrook,,Staffordshire,England
Leighswood,,Staffordshire,England
Levedale,ST18,Staffordshire,England
Leycett,ST5,Staffordshire,England
Leyfields,,Staffordshire,England
Leys,,Staffordshire,England
Lichfield,WS13,Staffordshire,England
Light Oaks,,Staffordshire,England
Lightwood,ST3,Staffordshire,England
Little Aston,,Staffordshire,England
Little Bloxwich,,Staffordshire,England
Little Bridgeford,ST18,Staffordshire,England
Little Chell,,Staffordshire,England
Little Hay,WS14,Staffordshire,England
Little Haywood,ST18,Staffordshire,England
Little Heath,,Staffordshire,England
Little Ingestre,,Staffordshire,England
Little Madeley,,Staffordshire,England
Little Onn,,Staffordshire,England
Little Saredon,,Staffordshire,England
Little Stoke,,Staffordshire,England
Little Sugnall,,Staffordshire,England
Little Wyrley,WS3,Staffordshire,England
Littlewood,,Staffordshire,England
Littleworth,WS12,Staffordshire,England
Loggerheads,TF9,Staffordshire,England
Lonco Brook,,Staffordshire,England
Long Compton,ST18,Staffordshire,England
Longbridge Hayes,,Staffordshire,England
Longdon,WS15,Staffordshire,England
Longdon Green,,Staffordshire,England
Longnor,SK17,Staffordshire,England
Longport,,Staffordshire,England
Longridge,,Staffordshire,England
Longsdon,ST9,Staffordshire,England
Longshaw,,Staffordshire,England
Longton,ST3,Staffordshire,England
Low Hill,WV10,Staffordshire,England
Lowe Hill,,Staffordshire,England
Lower Bradley,,Staffordshire,England
Lower Elkstone,,Staffordshire,England
Lower Ellastone,,Staffordshire,England
Lower Green,WV9,Staffordshire,England
Lower Hatton,,Staffordshire,England
Lower Knightley,,Staffordshire,England
Lower Leigh,,Staffordshire,England
Lower Nobut,,Staffordshire,England
Lower Penn,WV4,Staffordshire,England
Lower Stonnall,,Staffordshire,England
Lower Tean,ST10,Staffordshire,England
Loxley Green,,Staffordshire,England
Lupin,,Staffordshire,England
Lyme Brook,,Staffordshire,England
Lynn,,Staffordshire,England
Madeley,CW3,Staffordshire,England
Madeley Heath,CW3,Staffordshire,England
Maer,ST5,Staffordshire,England
Mapleton,DE6,Staffordshire,England
Marchington,ST14,Staffordshire,England
Marchington Woodlands,ST14,Staffordshire,England
Marsh Green,,Staffordshire,England
Marston,ST18,Staffordshire,England
Mavesyn Ridware,WS15,Staffordshire,England
May Bank,,Staffordshire,England
Mayfield,DE6,Staffordshire,England
Meaford,,Staffordshire,England
Mease,,Staffordshire,England
Meece Brook,,Staffordshire,England
Meerbrook,ST13,Staffordshire,England
Meese,,Staffordshire,England
Meir,ST3,Staffordshire,England
Meir Heath,,Staffordshire,England
Merridale,,Staffordshire,England
Merry Hill,WV4,Staffordshire,England
Middle Cliff,,Staffordshire,England
Middle Hill,,Staffordshire,England
Middle Madeley,,Staffordshire,England
Middle Mayfield,,Staffordshire,England
Middleport,,Staffordshire,England
Middleton Green,ST10,Staffordshire,England
Mile Oak,,Staffordshire,England
Miles Green,,Staffordshire,England
Milford,ST17,Staffordshire,England
Mill Green,TF9,Staffordshire,England
Milldale,,Staffordshire,England
Millmeece,ST21,Staffordshire,England
Milton,,Staffordshire,England
Milwich,ST18,Staffordshire,England
Mitton,ST19,Staffordshire,England
Mobberley,,Staffordshire,England
Moddershall,ST15,Staffordshire,England
Moneystone,,Staffordshire,England
Monmore Green,,Staffordshire,England
Moor Green,,Staffordshire,England
Moreton,,Staffordshire,England
Morrey,DE13,Staffordshire,England
Morridge Side,,Staffordshire,England
Morrilow Heath,,Staffordshire,England
Moseley,,Staffordshire,England
Moss Pit,,Staffordshire,England
Mossgate,,Staffordshire,England
Mount Pleasant,,Staffordshire,England
Moxley,,Staffordshire,England
Mucklestone,TF9,Staffordshire,England
Muckley Corner,,Staffordshire,England
Napley,,Staffordshire,England
Napley Heath,,Staffordshire,England
Needwood,,Staffordshire,England
Nether Stowe,,Staffordshire,England
Netherland Green,,Staffordshire,England
Nethertown,,Staffordshire,England
New Invention,,Staffordshire,England
New Street,,Staffordshire,England
New Town,,Staffordshire,England
Newbolds,,Staffordshire,England
Newborough,DE13,Staffordshire,England
Newbridge,,Staffordshire,England
Newcastle under Lyme,,Staffordshire,England
Newchapel,ST7,Staffordshire,England
Newchurch,,Staffordshire,England
Newfield,,Staffordshire,England
Newlands,,Staffordshire,England
Newpool,,Staffordshire,England
Newstead,,Staffordshire,England
Newton,,Staffordshire,England
Newton Hurst,,Staffordshire,England
Newtown,SK17,Staffordshire,England
Norbury,DE6,Staffordshire,England
Norbury Junction,,Staffordshire,England
Normacot,,Staffordshire,England
Northwood,,Staffordshire,England
Norton Bridge,ST15,Staffordshire,England
Norton Canes,WS11,Staffordshire,England
Norton East,,Staffordshire,England
Norton Green,,Staffordshire,England
Norton-in-the-Moors,,Staffordshire,England
Nurton,WV6,Staffordshire,England
Nurton Hill,,Staffordshire,England
Oak Hill,,Staffordshire,England
Oakamoor,ST10,Staffordshire,England
Oaken,WV8,Staffordshire,England
Oakley,,Staffordshire,England
Offleyhay,,Staffordshire,England
Offleymarsh,,Staffordshire,England
Offleyrock,,Staffordshire,England
Old Fallings,,Staffordshire,England
Old Perton,,Staffordshire,England
Oldfallow,,Staffordshire,England
Oldfurnace,,Staffordshire,England
Olive Green,,Staffordshire,England
Onecote,ST13,Staffordshire,England
Orgreave,DE13,Staffordshire,England
Orslow,TF10,Staffordshire,England
Orton,,Staffordshire,England
Otherton,,Staffordshire,England
Oulton,ST15,Staffordshire,England
Oulton Grange,,Staffordshire,England
Oulton Heath,,Staffordshire,England
Oultoncross,,Staffordshire,England
Ounsdale,,Staffordshire,England
Outlands,ST20,Staffordshire,England
Outwoods,,Staffordshire,England
Overley,,Staffordshire,England
Overmoor,,Staffordshire,England
Overton,,Staffordshire,England
Oxford,,Staffordshire,England
Oxley,WV10,Staffordshire,England
Packmoor,,Staffordshire,England
Painleyhill,,Staffordshire,England
Palfrey,,Staffordshire,England
Palmers Cross,,Staffordshire,England
Park End,,Staffordshire,England
Park Lane,,Staffordshire,England
Park Village,,Staffordshire,England
Parkfield,,Staffordshire,England
Parkside,,Staffordshire,England
Pasford,,Staffordshire,England
Pasturefields,,Staffordshire,England
Pattingham,WV6,Staffordshire,England
Pelsall,WS3,Staffordshire,England
Pelsall Wood,,Staffordshire,England
Pendeford,WV8,Staffordshire,England
Penk,,Staffordshire,England
Penkhull,,Staffordshire,England
Penkridge,ST19,Staffordshire,England
Penn,WV4,Staffordshire,England
Perry Crofts,,Staffordshire,England
Pershall,ST21,Staffordshire,England
Perton,WV6,Staffordshire,England
Pheasey,,Staffordshire,England
Pillaton,,Staffordshire,England
Pipe Gate,TF9,Staffordshire,England
Pipe Ridware,WS15,Staffordshire,England
Pipehill,,Staffordshire,England
Pitts Hill,,Staffordshire,England
Plardiwick,,Staffordshire,England
Pleck,,Staffordshire,England
Podmoor,,Staffordshire,England
Podmore,ST21,Staffordshire,England
Poolend,,Staffordshire,England
Poolfold,,Staffordshire,England
Porthill,,Staffordshire,England
Portobello,,Staffordshire,England
"Potteries, The",,Staffordshire,England
Prestwood,,Staffordshire,England
Priestfield,,Staffordshire,England
Prospect Village,,Staffordshire,England
Pye Green,WS12,Staffordshire,England
Quarry Heath,,Staffordshire,England
Quarry Hill,,Staffordshire,England
Queensville,,Staffordshire,England
Quixhill,,Staffordshire,England
Radmore Wood,,Staffordshire,England
Rake End,,Staffordshire,England
Rakes Dale,,Staffordshire,England
Rakeway,,Staffordshire,England
Ramshorn,ST10,Staffordshire,England
Rangemore,DE13,Staffordshire,England
Ranton,ST18,Staffordshire,England
Ranton Green,,Staffordshire,England
Ravenscliffe,,Staffordshire,England
Ravenshall,,Staffordshire,England
Rawnsley,,Staffordshire,England
Red Bull,,Staffordshire,England
Red Street,ST5,Staffordshire,England
Redhill,,Staffordshire,England
Rickerscote,,Staffordshire,England
Ridgeway,,Staffordshire,England
Rileyhill,WS13,Staffordshire,England
Risingbrook,,Staffordshire,England
Robin Hill,,Staffordshire,England
Rocester,ST14,Staffordshire,England
Roche Grange,,Staffordshire,England
Rock End,,Staffordshire,England
Rodbaston,ST21,Staffordshire,England
Rolleston on Dove,DE13,Staffordshire,England
Rough Close,ST15,Staffordshire,England
Rough Hay,,Staffordshire,England
Roughcote,,Staffordshire,England
Rowley Park,,Staffordshire,England
Rownall,,Staffordshire,England
Rudyard,ST13,Staffordshire,England
Rudyard Reservoir,,Staffordshire,England
Rugeley,WS15,Staffordshire,England
Rumer Hill,,Staffordshire,England
Rushall,,Staffordshire,England
Rushall Canal,,Staffordshire,England
Rushton Spencer,SK11,Staffordshire,England
Ryecroft Gate,,Staffordshire,England
Salt,ST18,Staffordshire,England
Sandborough,,Staffordshire,England
Sandfields,,Staffordshire,England
Sandford Hill,,Staffordshire,England
Sandon,ST18,Staffordshire,England
Sandonbank,,Staffordshire,England
Sandyford,,Staffordshire,England
Saverley Green,,Staffordshire,England
Scot Hay,,Staffordshire,England
Scotlands,,Staffordshire,England
Scounslow Green,,Staffordshire,England
Seabridge,,Staffordshire,England
Seighford,ST18,Staffordshire,England
Seisdon,WV5,Staffordshire,England
Shaffalong,,Staffordshire,England
Shallowford,,Staffordshire,England
Shareshill,WV10,Staffordshire,England
